ticker,forecastType,reportType,endDate,publishDate,actPubtime,updateTime,NIncAPChgrLL,NIncAPChgrUPL,intime
002182,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 15:40:58,2019-10-23 16:11:35,100.3,118.51,1
002454,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 15:45:05,2019-10-23 16:11:35,13.66,42.08,1
002205,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 16:45:05,2019-10-23 17:07:22,0.0,49.44,1
002362,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 16:49:35,2019-10-23 18:10:16,76.49,152.13,1
002278,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 17:40:52,2019-10-23 19:06:28,40.0,60.0,1
002800,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 17:59:34,2019-10-23 20:14:28,364.76,536.89,1
002562,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 18:01:07,2019-10-23 19:06:28,100.0,140.0,1
002579,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 18:39:34,2019-10-23 20:14:28,59.4,83.92,1
002049,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:02:59,2019-10-23 20:14:28,15.0,45.0,1
002733,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:20:34,2019-10-23 21:04:40,80.42,133.49,1
002241,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:20:34,2019-10-23 21:04:40,35.0,55.0,1
002965,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:21:04,2019-10-24 08:12:05,6.48,17.13,1
002389,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:22:35,2019-10-23 21:04:40,10.0,50.0,1
000715,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:28:34,2019-10-23 21:04:40,29.58,80.53,1
002335,22,A,2019-12-31,2019-10-24 09:00:00,2019-10-23 20:30:04,2019-10-23 21:04:40,40.0,90.0,1
300715,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 15:38:35,2019-10-24 17:08:35,70.0,100.0,1
002028,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 15:50:34,2019-10-24 18:12:43,50.0,100.0,1
002395,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 15:58:34,2019-10-24 17:08:35,30.0,80.0,1
002634,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 16:04:35,2019-10-24 20:15:03,75.0,125.0,1
002357,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 16:06:34,2019-10-24 19:05:39,120.0,170.0,1
002191,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 18:04:35,2019-10-24 21:04:19,20.0,30.0,1
002367,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 18:04:35,2019-10-24 22:07:36,1443.63,1572.26,1
002020,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 18:55:35,2019-10-24 22:07:36,40.0,50.0,1
002809,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:05:35,2019-10-24 23:04:33,60.0,100.0,1
002576,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:08:34,2019-10-24 21:04:19,48.71,98.02,1
002130,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:14:34,2019-10-24 21:04:19,900.0,950.0,1
002821,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:18:34,2019-10-24 23:04:33,25.0,40.0,1
002963,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:30:34,2019-10-25 09:08:09,24.03,48.84,1
002224,22,A,2019-12-31,2019-10-25 09:00:00,2019-10-24 19:38:34,2019-10-24 22:07:36,10.0,60.0,1
002835,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 15:54:34,2019-10-25 17:07:46,655.8,907.73,1
002514,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 15:55:34,2019-10-25 17:07:46,0.0,50.0,1
002544,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 16:45:05,2019-10-25 18:18:04,300.0,350.0,1
002841,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 17:45:35,2019-10-25 20:16:13,45.0,70.0,1
002669,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 18:06:34,2019-10-25 22:11:01,50.0,80.0,1
002296,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 18:15:04,2019-10-25 20:16:13,152.41,224.52,1
000411,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 20:08:35,2019-10-25 21:06:49,38.52,81.14,1
002416,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 20:24:34,2019-10-25 21:06:50,445.12,499.05,1
000906,22,A,2019-12-31,2019-10-26 09:00:00,2019-10-25 20:38:36,2019-11-18 17:36:54,56.9,76.91,1
603227,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 15:02:39,2019-10-27 19:06:39,70.0,110.0,1
002568,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:05:04,2019-10-27 20:17:38,130.0,160.0,1
002451,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:08:35,2019-10-27 20:17:38,365.21,424.85,1
002291,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:12:34,2019-10-27 18:14:38,1579.05,2138.74,1
002276,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:12:34,2019-10-27 18:14:38,80.0,100.0,1
002123,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:12:34,2019-10-27 18:14:38,326.37,536.37,1
002458,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 16:12:36,2019-10-27 18:14:38,520.11,533.89,1
300799,22,A,2019-12-31,2019-10-28 09:00:00,2019-10-27 17:19:04,2019-10-28 09:07:20,35.0,55.0,1
002539,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 16:02:31,2019-10-28 19:04:51,20.0,50.0,1
002651,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 16:04:34,2019-10-28 21:04:00,50.0,80.0,1
002801,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 16:40:53,2019-10-28 20:13:13,60.0,80.0,1
002590,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 17:07:05,2019-10-29 00:07:23,130.0,180.0,1
002414,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 17:07:05,2019-10-28 18:19:42,50.0,100.0,1
002734,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 17:14:34,2019-10-28 22:09:29,50.0,70.0,1
000063,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 17:22:34,2019-10-28 19:04:51,161.57,175.89,1
002086,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 17:28:34,2019-10-29 02:28:42,102.54,106.34,1
002236,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 19:25:04,2019-10-28 23:05:36,15.0,30.0,1
002303,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 19:25:04,2019-10-28 21:04:00,30.0,50.0,1
300130,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 19:42:35,2019-10-28 21:04:00,61.37,76.5,1
002639,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-28 19:45:38,2019-10-28 22:09:29,257.01,289.47,1
002967,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-29 00:00:39,2019-10-29 09:13:10,19.84,19.84,1
601658,22,A,2019-12-31,2019-10-29 09:00:00,2019-10-29 00:09:35,2019-12-11 17:43:51,16.0,18.0,1
300163,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 15:58:35,2019-10-29 18:16:43,122.11,124.55,1
002707,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:00:43,2019-10-29 19:06:45,218.25,377.38,1
002318,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:08:34,2019-10-29 18:16:43,60.0,80.0,1
002498,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:08:35,2019-10-29 18:16:43,71.66,116.83,1
300270,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:30:05,2019-10-29 18:16:43,105.0,135.0,1
000985,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:30:39,2019-10-29 23:09:05,1801.39,2113.89,1
002850,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 16:54:35,2019-10-29 18:16:43,160.0,210.0,1
002578,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 17:04:53,2019-10-29 20:15:48,40.0,70.0,1
002616,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 17:54:34,2019-10-29 23:09:06,60.0,100.0,1
002364,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 19:24:34,2019-10-29 22:13:40,50.0,80.0,1
002798,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 19:25:36,2019-10-29 22:13:40,45.0,55.0,1
000999,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 20:02:32,2019-10-29 21:05:05,47.34,57.11,1
002429,22,A,2019-12-31,2019-10-30 09:00:00,2019-10-29 20:09:04,2019-10-30 00:42:24,80.0,120.0,1
002079,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 15:45:05,2019-10-30 21:06:18,0.0,30.0,1
002429,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 15:48:34,2019-10-30 18:18:02,80.0,120.0,1
002214,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 15:52:34,2019-10-30 18:18:02,130.0,180.0,1
002409,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 16:06:36,2019-10-30 19:09:54,80.59,103.16,1
000905,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 16:08:34,2019-10-31 00:22:35,260.0,310.0,1
002625,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 16:20:55,2019-10-30 18:18:02,60.0,110.0,1
002555,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 17:34:34,2019-10-30 19:09:54,103.27,113.19,1
002345,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 18:42:34,2019-10-30 21:06:18,100.0,200.0,1
000757,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 18:48:34,2019-10-30 21:06:18,51.58,76.84,1
002154,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 18:50:51,2019-10-30 21:06:18,310.0,360.0,1
002054,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 19:01:06,2019-10-30 21:06:18,110.19,159.88,1
002229,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 19:04:28,2019-10-30 20:12:51,522.19,638.85,1
300797,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 19:20:34,2019-10-31 09:06:19,5.1,12.1,1
000710,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 19:55:34,2019-10-30 22:08:38,52.93,64.12,1
002382,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 20:03:31,2019-10-30 22:08:38,30.0,60.0,1
002740,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 20:40:35,2019-10-30 23:05:51,90.0,140.0,1
688023,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-30 21:44:40,2019-10-31 09:06:19,4.07,9.27,1
688178,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-31 17:03:17,2019-11-01 15:06:33,35.65,65.79,0
688081,22,A,2019-12-31,2019-10-31 09:00:00,2019-10-31 17:30:42,2019-11-01 17:08:14,22.2,44.42,0
300805,22,A,2019-12-31,2019-11-04 09:00:00,2019-11-04 00:00:44,2019-11-04 10:18:38,4.17,22.92,1
300806,22,A,2019-12-31,2019-11-04 09:00:00,2019-11-04 00:00:45,2019-11-04 08:40:19,43.7,63.29,1
688123,22,A,2019-12-31,2019-11-04 09:00:00,2019-11-04 17:30:27,2019-11-05 15:07:00,22.18,37.95,0
300800,22,A,2019-12-31,2019-11-05 09:00:00,2019-11-04 20:32:36,2020-01-03 14:39:50,21.75,32.82,1
603390,22,A,2019-12-31,2019-11-05 09:00:00,2019-11-05 00:03:05,2019-11-05 09:07:22,0.22,5.63,1
601658,22,A,2019-12-31,2019-11-06 09:00:00,2019-11-06 00:03:00,2019-11-06 09:06:48,16.0,18.0,1
300564,22,A,2019-12-31,2019-11-07 09:00:00,2019-11-06 20:38:34,2019-11-07 09:06:36,17.77,28.74,1
002967,22,A,2019-12-31,2019-11-07 09:00:00,2019-11-06 20:38:34,2019-11-07 09:06:36,19.84,19.84,1
688198,22,A,2019-12-31,2019-11-08 09:00:00,2019-11-08 00:00:00,2019-11-18 17:08:37,83.24,94.7,1
688399,22,A,2019-12-31,2019-11-08 09:00:00,2019-11-08 00:00:00,2019-11-18 17:08:37,43.89,61.19,1
300805,22,A,2019-12-31,2019-11-11 09:00:00,2019-11-11 00:02:07,2019-11-11 10:13:37,4.17,22.92,1
688169,22,A,2019-12-31,2019-11-11 09:00:00,2019-11-11 17:30:41,2019-11-14 17:58:47,128.13,167.8,0
688089,22,A,2019-12-31,2019-11-11 09:00:00,2019-11-11 17:30:43,2019-11-13 10:13:25,14.54,26.6,0
688278,22,A,2019-12-31,2019-11-11 09:00:00,2019-11-11 17:31:22,2019-12-04 15:12:21,262.43,287.43,0
688310,22,A,2019-12-31,2019-11-12 09:00:00,2019-11-11 19:22:34,2019-11-12 09:08:26,15.0,22.19,1
300806,22,A,2019-12-31,2019-11-12 09:00:00,2019-11-12 00:00:07,2019-11-12 09:08:26,43.7,63.29,1
603390,22,A,2019-12-31,2019-11-12 09:00:00,2019-11-12 00:10:08,2019-11-12 09:08:26,0.22,5.63,1
603995,22,A,2019-12-31,2019-11-12 09:00:00,2019-11-12 00:10:09,2019-11-12 09:08:26,1.14,16.54,1
688358,22,A,2019-12-31,2019-11-13 09:00:00,2019-11-12 19:44:35,2019-11-13 09:07:28,8.0,18.0,1
300091,22,A,2019-12-31,2019-11-14 09:00:00,2019-11-13 16:42:36,2019-11-13 19:05:04,30.1,47.38,1
688222,22,A,2019-12-31,2019-11-13 09:00:00,2019-11-13 18:30:52,2019-11-14 11:07:17,77.93,111.3,0
688357,22,A,2019-12-31,2019-11-14 09:00:00,2019-11-13 19:22:35,2019-11-14 09:09:41,83.57,83.57,1
688186,22,A,2019-12-31,2019-11-14 09:00:00,2019-11-14 17:03:27,2019-11-15 23:03:24,1.21,4.18,0
688258,22,A,2019-12-31,2019-11-14 09:00:00,2019-11-14 18:00:37,2019-11-15 23:03:24,16.33,26.02,0
688399,22,A,2019-12-31,2019-11-15 09:00:00,2019-11-14 21:44:35,2019-11-15 09:07:55,43.89,61.19,1
688026,22,A,2019-12-31,2019-11-15 09:00:00,2019-11-15 17:01:18,2019-11-18 17:08:37,9.78,28.7,0
688080,22,A,2019-12-31,2019-11-15 09:00:00,2019-11-15 17:03:21,2019-11-18 17:08:37,8.88,17.48,0
688569,22,A,2019-12-31,2019-11-15 09:00:00,2019-11-15 17:35:00,2019-11-18 17:08:37,12.5,12.5,0
688258,22,A,2019-12-31,2019-11-18 09:00:00,2019-11-17 15:22:34,2019-11-18 08:44:41,16.33,26.02,1
688218,22,A,2019-12-31,2019-11-18 09:00:00,2019-11-17 15:22:34,2019-11-18 17:08:37,5.27,14.04,1
002740,22,A,2019-12-31,2019-11-18 09:00:00,2019-11-17 16:04:34,2019-11-19 09:39:53,90.0,140.0,1
688588,22,A,2019-12-31,2019-11-18 09:00:00,2019-11-18 17:03:05,2019-11-19 19:07:08,54.36,79.54,0
688198,22,A,2019-12-31,2019-11-19 09:00:00,2019-11-18 23:22:35,2019-11-19 09:05:44,83.24,94.7,1
300810,22,A,2019-12-31,2019-11-19 09:00:00,2019-11-19 00:00:42,2019-11-19 09:05:44,1.51,7.92,1
603995,22,A,2019-12-31,2019-11-19 09:00:00,2019-11-19 00:03:06,2019-11-19 09:05:44,1.14,16.54,1
688090,22,A,2019-12-31,2019-11-19 09:00:00,2019-11-19 19:01:43,2019-11-20 11:05:38,0.58,6.15,0
300805,22,A,2019-12-31,2019-11-20 09:00:00,2019-11-19 20:32:38,2019-11-20 09:09:13,4.17,22.92,1
688586,22,A,2019-12-31,2019-11-21 09:00:00,2019-11-21 17:35:09,2019-11-22 14:11:51,92.93,144.37,0
603390,22,A,2019-12-31,2019-11-22 09:00:00,2019-11-21 19:04:13,2019-11-22 09:08:14,10.31,16.32,1
300806,22,A,2019-12-31,2019-11-22 09:00:00,2019-11-21 20:40:35,2019-11-22 09:08:14,43.7,63.29,1
688039,22,A,2019-12-31,2019-11-22 09:00:00,2019-11-21 23:44:35,2019-11-22 09:08:14,25.0,40.0,1
002970,22,A,2019-12-31,2019-11-25 09:00:00,2019-11-25 00:04:37,2019-11-25 09:08:58,39.61,47.61,1
603053,22,A,2019-12-31,2019-11-25 09:00:00,2019-11-25 00:09:05,2019-11-25 09:08:57,3.25,3.25,1
688466,22,A,2019-12-31,2019-11-25 09:00:00,2019-11-25 18:30:41,2019-11-26 12:12:32,5.2,20.06,0
688228,22,A,2019-12-31,2019-11-25 09:00:00,2019-11-25 18:30:42,2019-11-26 11:11:40,6.76,28.09,0
688310,22,A,2019-12-31,2019-11-26 09:00:00,2019-11-25 19:22:36,2019-11-26 09:07:15,15.0,22.19,1
688358,22,A,2019-12-31,2019-11-27 09:00:00,2019-11-26 19:22:35,2019-11-27 11:09:05,8.0,18.0,1
300808,22,A,2019-12-31,2019-11-28 09:00:00,2019-11-27 19:06:34,2019-11-28 09:10:55,0.0,5.0,1
688357,22,A,2019-12-31,2019-11-28 09:00:00,2019-11-27 19:22:36,2019-11-28 09:10:55,83.57,83.57,1
688069,22,A,2019-12-31,2019-11-28 09:00:00,2019-11-28 17:32:45,2019-11-29 17:07:35,18.4,30.86,0
688399,22,A,2019-12-31,2019-11-29 09:00:00,2019-11-28 19:22:36,2019-11-29 08:18:30,43.89,61.19,1
002685,22,A,2019-12-31,2019-11-29 09:00:00,2019-11-28 19:36:37,2019-11-28 20:11:08,0.0,25.0,1
688089,22,A,2019-12-31,2019-11-29 09:00:00,2019-11-29 10:31:27,2019-12-02 14:09:54,14.54,26.6,0
688077,22,A,2019-12-31,2019-11-29 09:00:00,2019-11-29 17:31:24,2019-12-02 10:12:04,39.48,39.48,0
688089,22,A,2019-12-31,2019-12-02 09:00:00,2019-12-01 15:22:34,2019-12-02 10:12:04,14.54,26.6,1
688258,22,A,2019-12-31,2019-12-02 09:00:00,2019-12-01 15:22:34,2019-12-02 10:12:04,16.33,26.02,1
002968,22,A,2019-12-31,2019-12-02 09:00:00,2019-12-01 18:24:35,2019-12-02 10:12:04,7.29,13.46,1
002971,22,A,2019-12-31,2019-12-02 09:00:00,2019-12-01 23:58:35,2019-12-02 10:12:04,14.12,14.12,1
603053,22,A,2019-12-31,2019-12-02 09:00:00,2019-12-02 00:02:06,2019-12-02 10:12:04,3.25,3.25,1
688218,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-02 19:22:36,2019-12-03 09:13:40,5.27,14.04,1
688198,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-02 19:22:36,2019-12-03 08:15:59,83.24,94.7,1
688357,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-02 19:22:36,2019-12-03 08:15:59,83.57,83.57,1
300809,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-02 20:44:36,2019-12-03 08:15:59,19.71,19.71,1
300807,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-03 00:05:35,2019-12-03 09:48:41,25.01,25.01,1
002970,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-03 00:05:35,2019-12-03 09:13:40,39.61,47.61,1
601512,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-03 00:09:06,2019-12-03 09:13:40,8.57,23.12,1
688222,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-03 17:05:10,2019-12-04 15:12:21,77.93,111.3,0
688051,22,A,2019-12-31,2019-12-03 09:00:00,2019-12-03 17:05:33,2019-12-04 11:05:46,46.32,83.3,0
688123,22,A,2019-12-31,2019-12-04 09:00:00,2019-12-03 19:22:42,2019-12-04 08:13:09,22.18,37.95,1
688268,22,A,2019-12-31,2019-12-04 09:00:00,2019-12-04 18:00:43,2019-12-05 15:08:35,14.96,23.81,0
601366,22,A,2019-12-31,2019-12-05 09:00:00,2019-12-04 18:02:07,2019-12-04 21:06:56,35.0,50.0,1
300810,22,A,2019-12-31,2019-12-05 09:00:00,2019-12-04 20:50:34,2019-12-05 08:16:53,1.51,7.92,1
688039,22,A,2019-12-31,2019-12-06 09:00:00,2019-12-05 19:22:37,2019-12-06 08:17:22,25.0,40.0,1
688169,22,A,2019-12-31,2019-12-06 09:00:00,2019-12-06 17:03:04,2019-12-10 13:13:35,128.13,167.8,0
601658,22,A,2019-12-31,2019-12-09 09:00:00,2019-12-08 15:09:04,2019-12-09 09:08:11,16.0,18.0,1
688268,22,A,2019-12-31,2019-12-09 09:00:00,2019-12-08 15:22:34,2019-12-09 08:20:02,14.96,23.81,1
002972,22,A,2019-12-31,2019-12-09 09:00:00,2019-12-09 00:00:39,2019-12-09 09:08:11,7.2,28.22,1
688078,22,A,2019-12-31,2019-12-10 09:00:00,2019-12-09 19:22:35,2019-12-10 09:09:34,60.65,74.25,1
688078,22,A,2019-12-31,2019-12-09 09:00:00,2019-12-09 20:00:46,2019-12-11 17:14:06,60.65,74.25,0
688039,22,A,2019-12-31,2019-12-10 09:00:00,2019-12-09 20:44:36,2019-12-10 09:09:34,25.0,40.0,1
002971,22,A,2019-12-31,2019-12-10 09:00:00,2019-12-10 00:00:09,2019-12-10 09:09:34,14.12,14.12,1
601512,22,A,2019-12-31,2019-12-10 09:00:00,2019-12-10 00:06:39,2019-12-10 08:18:11,8.57,23.12,1
688090,22,A,2019-12-31,2019-12-12 09:00:00,2019-12-12 17:03:08,2019-12-12 20:14:02,0.58,6.15,0
688086,22,A,2019-12-31,2019-12-12 09:00:00,2019-12-12 17:30:39,2019-12-13 11:05:21,31.39,60.59,0
002082,22,A,2019-12-31,2019-12-13 09:00:00,2019-12-12 20:02:35,2019-12-13 08:18:48,20.78,20.78,1
688106,22,A,2019-12-31,2019-12-13 09:00:00,2019-12-13 17:31:17,2019-12-16 14:12:34,39.83,39.83,0
603053,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-15 15:10:10,2019-12-16 10:14:02,3.25,3.25,1
688081,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-15 15:22:34,2019-12-16 10:14:02,22.2,44.42,1
688089,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-15 15:22:34,2019-12-16 10:14:02,14.54,26.6,1
002970,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-15 18:30:07,2019-12-16 10:14:02,39.61,47.61,1
002973,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-15 23:58:38,2019-12-16 10:14:02,27.31,27.31,1
002463,22,A,2019-12-31,2019-12-17 09:00:00,2019-12-16 17:00:38,2019-12-16 18:10:18,101.6,119.13,1
688228,22,A,2019-12-31,2019-12-16 09:00:00,2019-12-16 17:19:03,2019-12-17 14:08:23,6.76,28.09,0
300811,22,A,2019-12-31,2019-12-17 09:00:00,2019-12-16 23:58:35,2019-12-17 09:06:56,17.41,20.31,1
688100,22,A,2019-12-31,2019-12-17 09:00:00,2019-12-17 00:00:00,2020-01-15 15:04:17,12.96,29.9,1
