ticker,forecastType,reportType,endDate,publishDate,actPubtime,updateTime,NIncAPChgrLL,NIncAPChgrUPL,intime
603687,22,A,2019-12-31,2019-06-17 09:00:00,2019-06-16 23:24:08,2019-06-17 10:09:50,7.31,15.22,1
603687,22,A,2019-12-31,2019-06-24 09:00:00,2019-06-24 00:00:42,2019-06-24 10:09:44,7.31,15.22,1
603687,22,A,2019-12-31,2019-07-25 09:00:00,2019-07-24 19:05:43,2019-07-25 08:16:09,7.31,15.22,1
603927,22,A,2019-12-31,2019-08-20 09:00:00,2019-08-20 00:08:07,2019-08-23 10:15:28,4.51,24.79,1
603927,22,A,2019-12-31,2019-09-06 09:00:00,2019-09-05 19:09:16,2019-09-06 09:07:23,4.51,24.79,1
002876,22,A,2019-12-31,2019-10-17 09:00:00,2019-10-16 18:20:34,2019-10-16 20:15:37,80.0,130.0,1
688023,22,A,2019-12-31,2019-10-17 09:00:00,2019-10-17 01:44:34,2019-10-17 09:07:22,4.07,9.27,1
002479,22,A,2019-12-31,2019-10-18 09:00:00,2019-10-17 15:38:34,2019-10-17 16:19:07,145.0,175.0,1
002591,22,A,2019-12-31,2019-10-18 09:00:00,2019-10-17 16:42:34,2019-10-17 18:29:35,186.46,272.4,1
002299,22,A,2019-12-31,2019-10-19 09:00:00,2019-10-18 16:04:25,2019-10-18 17:08:05,146.1,152.74,1
300200,22,A,2019-12-31,2019-10-19 09:00:00,2019-10-18 16:32:34,2019-10-18 17:08:05,118.2,147.9,1
002244,22,A,2019-12-31,2019-10-21 09:00:00,2019-10-20 16:05:16,2019-10-20 22:18:04,30.0,60.0,1
002967,22,A,2019-12-31,2019-10-21 09:00:00,2019-10-21 00:04:34,2020-02-20 14:21:54,19.84,19.84,1
002661,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 15:48:34,2019-10-21 18:27:57,4.89,23.72,1
002552,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 15:58:38,2019-10-21 16:20:55,95.19,126.55,1
002609,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 17:00:45,2019-10-21 18:27:57,40.0,80.0,1
000555,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 17:04:34,2019-10-21 18:27:57,755.18,850.2,1
002475,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 17:50:35,2019-10-21 18:27:57,45.0,55.0,1
002810,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 19:21:34,2019-10-22 00:06:14,100.0,130.0,1
002732,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 19:22:36,2019-10-21 22:07:59,190.0,270.0,1
002799,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 19:22:36,2019-10-21 22:07:59,100.0,150.0,1
002398,22,A,2019-12-31,2019-10-22 09:00:00,2019-10-21 19:51:05,2019-10-21 21:07:02,35.0,75.0,1
002487,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 15:40:50,2019-10-22 17:05:06,100.0,150.0,1
002324,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 15:44:36,2019-10-22 16:12:58,80.0,120.0,1
002262,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 16:05:35,2019-10-22 17:05:06,15.0,35.0,1
002034,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 16:13:06,2019-10-22 17:05:06,27.33,37.12,1
002084,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 16:13:06,2019-10-22 17:05:06,158.46,257.59,1
002351,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 17:00:06,2019-10-22 18:08:41,70.0,110.0,1
002683,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 17:07:04,2019-10-22 18:08:41,40.0,60.0,1
002165,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 17:21:34,2019-10-22 19:06:05,130.0,175.0,1
002481,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 17:43:35,2019-10-22 19:06:05,80.0,130.0,1
002226,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 18:00:07,2019-10-22 20:14:52,60.0,90.0,1
002628,22,A,2019-12-31,2019-10-23 09:00:00,2019-10-22 20:04:34,2019-10-22 21:08:38,70.0,120.0,1
