date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-12-05,28.08,28.4,26.35,25.89,150372.34,-1.72,-6.13,26.35,26.35,26.35,150372.34,150372.34,150372.34
2017-12-06,26.02,26.82,26.72,25.81,82220.69,0.37,1.4,26.535,26.535,26.535,116296.52,116296.52,116296.52
2017-12-07,26.72,27.03,26.74,26.31,53389.55,0.02,0.07,26.603,26.603,26.603,95327.53,95327.53,95327.53
2017-12-08,26.46,27.76,27.1,26.4,89131.91,0.36,1.35,26.728,26.728,26.728,93778.62,93778.62,93778.62
2017-12-11,27.47,29.81,29.81,27.45,224655.27,2.71,10.0,27.344,27.344,27.344,119953.95,119953.95,119953.95
2017-12-12,30.4,30.54,29.59,29.42,183615.41,-0.22,-0.74,27.992,27.718,27.718,126602.57,130564.2,130564.2
2017-12-13,29.66,30.28,29.6,29.05,129167.9,0.01,0.03,28.568,27.987,27.987,135992.01,130364.72,130364.72
2017-12-14,29.57,31.44,29.83,29.38,284627.53,0.23,0.78,29.186,28.218,28.218,182239.6,149647.58,149647.58
2017-12-15,29.99,30.22,29.86,29.1,161878.67,0.03,0.1,29.738,28.4,28.4,196788.96,151006.59,151006.59
2017-12-18,29.0,29.2,28.12,27.53,153845.12,-1.74,-5.83,29.4,28.372,28.372,182626.93,151290.44,151290.44
2017-12-19,28.02,29.5,29.4,27.84,137748.81,1.28,4.55,29.362,28.677,28.465,173453.61,150028.09,150059.38
2017-12-20,29.11,29.32,28.78,28.55,75520.84,-0.62,-2.11,29.198,28.883,28.492,162724.19,149358.1,143847.84
2017-12-21,28.78,29.7,29.09,28.63,102806.36,0.31,1.08,29.05,29.118,28.538,126359.96,154299.78,140690.8
2017-12-22,28.92,29.31,28.42,28.16,84203.13,-0.67,-2.3,28.762,29.25,28.529,110824.85,153806.9,136655.97
2017-12-25,28.29,28.49,27.7,27.31,87747.43,-0.72,-2.53,28.678,29.039,28.474,97605.31,140116.12,133395.4
2017-12-26,27.66,28.27,28.26,27.53,57190.09,0.56,2.02,28.45,28.906,28.461,81493.57,127473.59,128632.57
2017-12-27,28.42,28.47,27.3,27.19,81573.87,-0.96,-3.4,28.154,28.676,28.392,82704.18,122714.19,125864.41
2017-12-28,27.22,27.64,27.05,26.66,57822.26,-0.25,-0.92,27.746,28.398,28.318,73707.36,100033.66,122084.29
2017-12-29,27.1,27.51,26.66,26.55,83782.4,-0.39,-1.44,27.394,28.078,28.231,73623.21,92224.03,120068.4
2018-01-02,26.82,27.37,27.36,26.52,72640.08,0.7,2.63,27.326,28.002,28.187,70601.74,84103.53,117696.98
2018-01-03,27.2,27.72,27.54,27.19,79912.13,0.18,0.66,27.182,27.816,28.247,75146.15,78319.86,114173.97
2018-01-04,27.4,27.53,26.95,26.86,80890.24,-0.59,-2.14,27.112,27.633,28.258,75009.42,78856.8,114107.45
2018-01-05,27.05,27.48,27.0,26.9,69768.76,0.05,0.19,27.102,27.424,28.271,77398.72,75553.04,114926.41
2018-01-08,26.83,27.02,25.73,25.39,108101.85,-1.27,-4.7,26.916,27.155,28.203,82262.61,77942.91,115874.91
2018-01-09,25.55,25.94,25.89,25.13,67619.08,0.16,0.62,26.622,26.974,28.007,81258.41,75930.08,108023.1
2018-01-10,25.74,26.8,26.6,25.42,93197.66,0.71,2.74,26.434,26.808,27.857,83915.52,79530.83,103502.21
