date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-01-11,26.28,27.5,27.22,25.7,105460.81,0.62,2.33,26.488,26.8,27.738,88829.63,81919.53,102316.86
2018-01-12,26.99,27.24,26.9,26.75,59847.68,-0.32,-1.18,26.468,26.785,27.592,86845.42,82122.07,91077.86
2018-01-15,26.61,26.85,25.85,25.68,74459.48,-1.05,-3.9,26.492,26.704,27.391,80116.94,81189.78,86706.9
2018-01-16,25.61,26.07,25.2,25.02,69177.19,-0.65,-2.52,26.354,26.488,27.245,80428.56,80843.49,82473.51
2018-01-17,25.0,25.85,25.42,23.8,95400.44,0.22,0.87,26.118,26.276,27.046,80869.12,82392.32,80356.09
2018-01-18,25.05,25.56,24.79,24.78,36029.42,-0.63,-2.48,25.632,26.06,26.847,66982.84,77906.24,78381.52
2018-01-19,24.53,24.9,24.15,24.06,78176.14,-0.64,-2.58,25.082,25.775,26.6,70648.53,78746.98,77150.01
2018-01-22,23.9,25.32,25.12,23.9,72091.11,0.97,4.02,24.936,25.714,26.435,70174.86,75145.9,76544.41
2018-01-23,25.23,25.38,24.94,24.8,40676.2,-0.18,-0.72,24.884,25.619,26.297,64474.66,72451.61,74190.84
2018-01-24,25.09,27.3,27.29,24.5,119894.91,2.35,9.42,25.258,25.688,26.248,69373.56,75121.34,77326.09
2018-01-25,27.39,28.18,26.66,26.65,94960.04,-0.63,-2.31,25.632,25.632,26.216,81159.68,74071.26,77995.39
2018-01-26,26.7,27.27,26.59,26.51,48836.99,-0.07,-0.26,26.12,25.601,26.193,75291.85,72970.19,77546.13
2018-01-29,26.52,26.8,25.45,25.39,67228.03,-1.14,-4.29,26.186,25.561,26.133,74319.23,72247.05,76718.41
2018-01-30,25.58,25.91,25.46,25.35,34482.96,0.01,0.04,26.29,25.587,26.038,73080.59,68777.62,74810.56
2018-01-31,25.6,25.6,25.32,24.65,37044.26,-0.14,-0.55,25.896,25.577,25.927,56510.46,62942.01,72667.16
2018-02-01,25.25,25.4,25.2,24.02,42714.33,-0.12,-0.47,25.604,25.618,25.839,46061.31,63610.5,70758.37
2018-02-02,25.02,26.47,25.81,24.8,65418.75,0.61,2.42,25.448,25.784,25.78,49377.67,62334.76,70540.87
2018-02-05,25.38,25.8,25.43,25.0,27429.74,-0.38,-1.47,25.444,25.815,25.765,41418.01,57868.62,66507.26
2018-02-06,24.8,25.18,24.67,23.89,47857.62,-0.76,-2.99,25.286,25.788,25.704,44092.94,58586.76,65519.19
2018-02-07,24.99,25.6,25.22,24.12,53508.37,0.55,2.23,25.266,25.581,25.635,47385.76,51948.11,63534.72
2018-02-08,25.0,27.7,26.46,25.0,110391.46,1.24,4.92,25.518,25.561,25.597,60921.19,53491.25,63781.26
2018-02-09,25.45,26.66,25.8,25.04,79370.1,-0.66,-2.49,25.516,25.482,25.542,63711.46,56544.56,64757.38
2018-02-12,26.04,27.37,26.92,25.83,113524.21,1.12,4.34,25.814,25.629,25.595,80930.35,61174.18,66710.61
2018-02-13,26.85,27.5,27.08,26.53,89604.03,0.16,0.59,26.296,25.791,25.689,89279.63,66686.29,67731.96
2018-02-14,27.05,27.06,26.59,26.28,54089.06,-0.49,-1.81,26.57,25.918,25.748,89395.77,68390.77,65666.39
2018-02-22,26.61,27.36,27.36,26.36,74125.27,0.77,2.9,26.75,26.134,25.876,82142.53,71531.86,67571.18
2018-02-23,27.15,27.6,27.4,27.03,79349.25,0.04,0.15,27.07,26.293,26.039,82138.36,72924.91,67629.83
2018-02-26,27.71,28.15,27.65,27.14,112210.15,0.25,0.91,27.216,26.515,26.165,81875.55,81402.95,69635.79
2018-02-27,27.8,29.0,28.0,27.5,145089.19,0.35,1.27,27.4,26.848,26.318,92972.58,91126.11,74856.44
2018-02-28,27.73,28.66,28.4,27.22,127154.6,0.4,1.43,27.762,27.166,26.374,107585.69,98490.73,75219.42
2018-03-01,28.19,29.89,29.72,28.03,206622.06,1.32,4.65,28.234,27.492,26.527,134085.05,108113.79,80802.52
2018-03-02,29.64,29.66,28.5,28.5,139023.62,-1.22,-4.11,28.454,27.762,26.622,146019.92,114079.14,85311.85
2018-03-05,28.55,29.1,28.65,27.97,111883.33,0.15,0.53,28.654,27.935,26.782,145954.56,113915.06,87544.62
2018-03-06,28.6,28.89,28.15,28.1,109918.29,-0.5,-1.75,28.684,28.042,26.917,138920.38,115946.48,91316.38
2018-03-07,28.15,29.39,28.91,27.91,144026.14,0.76,2.7,28.786,28.274,27.096,142294.69,124940.19,96665.48
2018-03-08,28.91,29.25,28.34,28.08,117487.04,-0.57,-1.97,28.51,28.372,27.253,124467.68,129276.37,100404.11
2018-03-09,28.28,29.72,29.38,27.97,174090.5,1.04,3.67,28.686,28.57,27.432,131481.06,138750.49,105837.7
2018-03-12,29.8,29.96,29.47,28.82,188550.72,0.09,0.31,28.85,28.752,27.634,146814.54,146384.55,113893.75
2018-03-13,29.15,29.47,28.55,28.5,109884.54,-0.92,-3.12,28.93,28.807,27.828,146807.79,142864.08,116995.1
2018-03-14,28.44,28.64,27.96,27.9,85620.66,-0.59,-2.07,28.74,28.763,27.965,135126.69,138710.69,118600.71
2018-03-15,27.61,27.92,27.57,27.15,92908.23,-0.39,-1.4,28.586,28.548,28.02,130210.93,127339.31,117726.55
2018-03-16,28.01,28.5,27.66,27.51,112979.78,0.09,0.33,28.242,28.464,28.113,117988.79,124734.92,119407.03
2018-03-19,27.44,28.02,27.46,27.0,71952.36,-0.2,-0.72,27.84,28.345,28.14,94669.11,120741.83,117328.44
2018-03-20,27.0,27.3,27.05,26.43,95292.59,-0.41,-1.49,27.54,28.235,28.139,91750.72,119279.26,117612.87
2018-03-21,27.0,27.58,26.13,25.94,120118.63,-0.92,-3.4,27.174,27.957,28.116,98650.32,116888.51,120914.35
2018-03-22,26.0,26.48,26.05,25.77,88803.91,-0.08,-0.31,26.87,27.728,28.05,97829.45,114020.19,121648.28
2018-03-23,24.89,25.3,23.45,23.45,161805.62,-2.6,-9.98,26.028,27.135,27.853,107594.62,112791.7,125771.1
2018-03-26,22.86,23.8,23.71,22.01,104848.94,0.26,1.11,25.278,26.559,27.656,114173.94,104421.53,125403.04
2018-03-27,24.12,25.15,24.6,23.91,135846.98,0.89,3.75,24.788,26.164,27.486,122284.82,107017.77,124940.93
2018-03-28,24.38,26.15,25.4,24.11,163228.38,0.8,3.25,24.642,25.908,27.336,130906.77,114778.54,126744.62
2018-03-29,25.47,26.08,25.4,25.01,86354.45,0.0,0.0,24.512,25.691,27.12,130416.87,114123.16,120731.24
2018-03-30,25.44,27.21,26.83,25.4,148919.94,1.43,5.63,25.188,25.608,27.036,127839.74,117717.18,121226.05
2018-04-02,26.89,29.18,28.2,26.89,215508.36,1.37,5.11,26.086,25.682,27.014,149971.62,132072.78,126407.3
2018-04-03,27.39,27.98,27.57,26.71,135398.22,-0.63,-2.23,26.68,25.734,26.985,149881.87,136083.34,127681.3
2018-04-04,27.58,27.66,26.27,26.26,100364.62,-1.3,-4.71,26.854,25.748,26.853,137309.12,134107.94,125498.22
2018-04-09,26.06,28.78,28.25,26.06,152009.72,1.98,7.54,27.424,25.968,26.848,150440.17,140428.52,127224.36
2018-04-10,27.81,28.2,27.86,26.98,104752.49,-0.39,-1.38,27.63,26.409,26.772,141606.68,134723.21,123757.46
2018-04-11,27.86,28.39,27.77,27.53,89830.74,-0.09,-0.32,27.544,26.815,26.687,116471.16,133221.39,118821.46
2018-04-12,27.63,28.01,27.3,27.1,69279.76,-0.47,-1.69,27.49,27.085,26.625,103247.47,126564.67,116791.22
2018-04-13,27.7,28.34,27.7,27.4,104257.01,0.4,1.47,27.776,27.315,26.612,104025.94,120667.53,117723.04
2018-04-16,27.57,28.97,28.66,27.53,156408.25,0.96,3.47,27.858,27.641,26.666,104905.65,127672.91,120898.04
2018-04-17,28.8,28.89,27.02,26.85,114651.99,-1.64,-5.72,27.69,27.66,26.634,106885.55,124246.12,120981.65
2018-04-18,27.1,28.48,28.36,26.4,117880.97,1.34,4.96,27.808,27.676,26.679,112495.6,114483.38,123278.08
2018-04-19,28.3,28.3,27.31,27.09,102553.23,-1.05,-3.7,27.81,27.65,26.692,119150.29,111198.88,123641.11
2018-04-20,27.15,27.15,25.27,24.8,148462.52,-2.04,-7.47,27.324,27.55,26.649,127991.39,116008.67,125058.31
2018-04-23,25.27,25.74,24.93,24.47,94017.4,-0.34,-1.34,26.578,27.218,26.593,115513.22,110209.44,125318.98
2018-04-24,24.99,25.96,25.85,24.73,78566.84,0.92,3.69,26.344,27.017,26.713,108296.19,107590.87,121157.04
2018-04-25,25.45,26.18,25.75,25.35,67760.01,-0.1,-0.39,25.822,26.815,26.815,98272.0,105383.8,119302.59
2018-04-26,25.79,26.1,25.01,25.0,61706.1,-0.74,-2.87,25.362,26.586,26.836,90102.57,104626.43,115595.55
2018-04-27,25.22,25.45,24.89,24.66,54985.22,-0.12,-0.48,25.286,26.305,26.81,71407.11,99699.25,110183.39
2018-05-02,25.05,25.3,24.49,23.9,77538.33,-0.4,-1.61,25.198,25.888,26.765,68111.3,91812.26,109742.59
2018-05-03,24.38,25.58,25.35,23.91,69645.4,0.86,3.51,25.098,25.721,26.691,66327.01,87311.6,105778.86
2018-05-04,25.12,25.57,25.18,25.0,51616.24,-0.17,-0.67,24.984,25.403,26.54,63098.26,80685.13,97584.25
2018-05-07,25.3,25.99,25.99,25.15,64424.32,0.81,3.22,25.18,25.271,26.461,63641.9,76872.24,94035.56
2018-05-08,25.99,25.99,25.59,25.35,74100.63,-0.4,-1.54,25.32,25.303,26.427,67464.98,69436.05,92722.36
2018-05-09,25.58,25.68,25.07,24.63,74748.65,-0.52,-2.03,25.436,25.317,26.268,66907.05,67509.17,88859.31
2018-05-10,24.9,25.45,25.16,24.76,58038.99,0.09,0.36,25.398,25.248,26.133,64585.77,65456.39,86523.63
2018-05-11,25.21,25.28,24.51,24.51,47163.57,-0.65,-2.58,25.264,25.124,25.97,63695.23,63396.75,84390.27
2018-05-14,24.41,24.77,23.96,23.93,73434.29,-0.55,-2.24,24.858,25.019,25.803,65497.23,64569.56,84598.0
2018-05-15,24.15,25.77,25.63,24.09,126051.45,1.67,6.97,24.866,25.093,25.699,75887.39,71676.19,85687.72
2018-05-16,25.6,27.85,26.81,25.4,246906.38,1.18,4.6,25.214,25.325,25.607,110318.94,88612.99,90212.63
2018-05-17,27.15,27.65,27.31,26.76,153785.62,0.5,1.86,25.644,25.521,25.621,129468.26,97027.01,92169.31
2018-05-18,27.23,27.6,27.38,26.83,90452.66,0.07,0.26,26.218,25.741,25.572,138126.08,100910.66,90797.89
2018-05-21,27.6,29.38,28.74,27.44,199895.2,1.36,4.97,27.174,26.016,25.644,163418.26,114457.74,95664.99
2018-05-22,28.77,30.47,29.86,28.57,221147.22,1.12,3.9,28.02,26.443,25.873,182437.42,129162.4,99299.23
2018-05-23,29.68,30.15,29.87,29.22,133636.42,0.01,0.03,28.632,26.923,26.12,159783.42,135051.18,101280.18
2018-05-24,29.6,32.3,31.11,29.38,220917.31,1.24,4.15,29.392,27.518,26.383,173209.76,151339.01,108397.7
2018-05-25,31.22,31.34,30.93,30.41,113760.35,-0.18,-0.58,30.102,28.16,26.642,177871.3,157998.69,110697.72
2018-05-28,30.92,31.47,31.3,30.06,183313.48,0.37,1.2,30.614,28.894,26.957,174554.96,168986.61,116778.09
2018-05-29,31.4,31.4,29.35,29.11,204126.28,-1.95,-6.23,30.512,29.266,27.18,171150.77,176794.09,124235.14
2018-05-30,29.19,29.99,29.3,28.45,184811.48,-0.05,-0.17,30.398,29.515,27.42,181385.78,170584.6,129598.8
2018-05-31,29.5,29.95,29.88,28.51,192679.2,0.58,1.98,30.152,29.772,27.647,175738.16,174473.96,135750.49
2018-06-01,29.46,29.48,28.31,27.87,142517.95,-1.57,-5.25,29.628,29.865,27.803,181489.68,179680.49,140295.57
2018-06-04,28.55,30.89,30.5,28.32,224972.73,2.29,8.12,29.468,30.041,28.029,189821.53,182188.24,148322.99
2018-06-05,30.55,31.16,31.15,29.85,158142.95,0.65,2.13,29.828,30.17,28.307,180624.86,175887.82,152525.11
2018-06-06,30.97,31.66,30.59,30.35,140076.0,-0.56,-1.8,30.086,30.242,28.583,171677.77,176531.77,155791.48
2018-06-07,30.7,32.1,29.85,29.1,171087.09,-0.74,-2.42,30.08,30.116,28.817,167359.34,171548.75,161443.88
2018-06-08,29.62,30.25,29.96,29.5,98692.77,0.11,0.37,30.41,30.019,29.09,158594.31,170041.99,164020.34
2018-06-11,29.52,30.25,29.51,29.3,90906.6,-0.45,-1.5,30.212,29.84,29.367,131781.08,160801.31,164893.96
2018-06-12,29.48,29.68,28.81,28.01,128291.79,-0.7,-2.37,29.744,29.786,29.526,125810.85,153217.86,165005.97
2018-06-13,28.79,29.28,27.8,27.76,110864.05,-1.01,-3.51,29.186,29.636,29.576,119968.46,145823.11,158203.86
2018-06-14,27.7,28.45,28.18,27.41,104206.22,0.38,1.37,28.852,29.466,29.619,106592.29,136975.82,155724.89
2018-06-15,28.1,28.2,27.3,26.78,98327.46,-0.88,-3.12,28.32,29.365,29.615,106519.22,132556.77,156118.63
2018-06-19,26.5,27.5,25.91,24.8,122766.94,-1.39,-5.09,27.6,28.906,29.474,112891.29,122336.19,152262.21
2018-06-20,25.88,27.44,26.95,25.58,95300.73,1.04,4.01,27.228,28.486,29.328,106293.08,116051.97,145969.89
2018-06-21,27.12,27.18,26.22,25.77,95170.65,-0.73,-2.71,26.912,28.049,29.146,103154.4,111561.43,144046.6
2018-06-22,25.89,27.66,27.37,25.56,96460.85,1.15,4.39,26.75,27.801,28.959,101605.33,104098.81,137823.78
2018-06-25,27.4,27.86,27.46,27.01,80780.78,0.09,0.33,26.782,27.551,28.785,98095.99,102307.61,136174.8
2018-06-26,26.97,28.61,28.38,26.63,106621.16,0.92,3.35,27.276,27.438,28.639,94866.83,103879.06,132340.18
2018-06-27,28.29,28.68,27.5,27.39,96550.12,-0.88,-3.1,27.386,27.307,28.547,95116.71,100704.9,126961.38
2018-06-28,27.35,28.26,27.13,27.01,81713.54,-0.37,-1.34,27.568,27.24,28.438,92425.29,97789.85,121806.48
2018-06-29,26.9,29.2,29.0,26.7,148027.19,1.87,6.89,27.894,27.322,28.394,102738.56,102171.94,119573.88
2018-07-02,29.0,29.18,28.5,27.86,111665.08,-0.5,-1.72,28.102,27.442,28.404,108915.42,103505.7,118031.24
2018-07-03,28.56,30.29,29.9,28.3,153196.2,1.4,4.91,28.406,27.841,28.374,118230.43,106548.63,114442.41
2018-07-04,29.58,29.65,29.45,28.76,124010.97,-0.45,-1.5,28.796,28.091,28.289,123722.6,109419.65,112735.81
2018-07-05,29.25,29.51,28.33,28.28,99234.62,-1.12,-3.8,29.036,28.302,28.176,127226.81,109826.05,110693.74
2018-07-06,28.45,29.75,28.87,27.97,136334.12,0.54,1.91,29.01,28.452,28.127,124888.2,113813.38,108956.09
2018-07-09,28.79,29.65,29.21,28.69,111188.12,0.34,1.18,29.152,28.627,28.089,124792.81,116854.11,109580.86
2018-07-10,29.22,29.39,29.05,28.21,98545.02,-0.16,-0.55,28.982,28.694,28.066,113862.57,116046.5,109962.78
2018-07-11,28.39,28.49,28.1,26.96,113728.27,-0.95,-3.27,28.712,28.754,28.031,111806.03,117764.31,109234.6
2018-07-12,28.11,29.56,29.03,27.98,139309.45,0.93,3.31,28.852,28.944,28.092,119821.0,123523.9,110656.87
2018-07-13,29.1,29.33,28.66,28.61,70931.22,-0.37,-1.27,28.81,28.91,28.116,106740.42,115814.31,108993.12
2018-07-16,28.95,30.22,29.91,28.8,133839.84,1.25,4.36,28.95,29.051,28.247,111270.76,118031.78,110768.74
2018-07-17,29.7,31.6,31.42,29.61,204396.28,1.51,5.05,29.424,29.203,28.522,132441.01,123151.79,114850.21
2018-07-18,31.2,34.49,33.76,30.89,221936.52,2.34,7.45,30.556,29.634,28.863,154082.66,132944.35,121182.0
2018-07-19,33.04,33.98,33.55,32.78,115963.85,-0.21,-0.62,31.46,30.156,29.229,149413.54,134617.27,122221.66
2018-07-20,33.3,34.87,33.0,32.56,192429.08,-0.55,-1.64,32.328,30.569,29.511,173713.11,140226.77,127020.07
2018-07-23,33.35,35.92,35.9,32.7,213362.44,2.9,8.79,33.526,31.238,29.933,189617.63,150444.2,133649.15
2018-07-24,35.7,35.7,35.02,34.6,151416.44,-0.88,-2.45,34.246,31.835,30.265,179021.67,155731.34,135888.92
2018-07-25,34.7,35.69,34.69,34.41,117911.22,-0.33,-0.94,34.432,32.494,30.624,158216.61,156149.63,136956.97
2018-07-26,34.23,34.49,33.41,33.0,127683.95,-1.28,-3.69,34.404,32.932,30.938,160560.63,154987.08,139255.49
2018-07-27,33.2,33.94,33.15,32.78,81750.16,-0.26,-0.78,34.434,33.381,31.146,138424.84,156068.98,135941.64
2018-07-30,33.21,33.59,32.45,32.02,99954.36,-0.7,-2.11,33.744,33.635,31.343,115743.23,152680.43,135356.11
2018-07-31,32.85,33.15,32.67,32.15,86570.24,0.22,0.68,33.274,33.76,31.482,102773.99,140897.83,132024.81
2018-08-01,32.88,33.62,32.4,32.23,115391.44,-0.27,-0.83,32.816,33.624,31.629,102270.03,130243.32,131593.83
2018-08-02,32.05,32.15,31.33,30.33,119383.4,-1.07,-3.3,32.4,33.402,31.779,100609.92,130585.27,132601.27
2018-08-03,31.46,31.6,30.05,30.01,101385.89,-1.28,-4.09,31.78,33.107,31.838,104537.07,121480.95,130853.86
2018-08-06,30.52,30.75,30.16,29.8,105319.28,0.11,0.37,31.322,32.533,31.886,105610.05,110676.64,130560.42
2018-08-07,30.4,32.1,32.05,30.25,142004.48,1.89,6.27,31.198,32.236,32.036,116696.9,109735.44,132733.39
2018-08-08,31.65,32.19,31.5,31.34,82480.62,-0.55,-1.72,31.018,31.917,32.206,110114.73,106192.38,131171.01
2018-08-09,31.61,34.05,33.55,31.31,148921.06,2.05,6.51,31.462,31.931,32.432,116022.27,108316.09,131651.59
2018-08-10,33.4,34.05,33.8,33.33,96746.39,0.25,0.74,32.212,31.996,32.689,115094.37,109815.72,132942.35
2018-08-13,33.39,36.81,36.81,33.25,176873.95,3.01,8.9,33.542,32.432,33.034,129405.3,117507.68,135094.05
2018-08-14,36.28,36.76,36.39,35.54,129330.33,-0.42,-1.14,34.41,32.804,33.282,126870.47,121783.68,131340.76
2018-08-15,36.39,36.41,34.68,34.05,108597.49,-1.71,-4.7,35.046,33.032,33.328,132093.84,121104.29,125673.8
2018-08-16,34.3,35.4,34.0,33.51,101359.75,-0.68,-1.96,35.136,33.299,33.351,122581.58,119301.92,124943.6
2018-08-17,34.48,34.99,32.14,31.8,132842.36,-1.86,-5.47,34.804,33.508,33.308,129800.78,122447.57,121964.26
2018-08-20,32.54,34.29,33.85,31.98,132699.83,1.71,5.32,34.212,33.877,33.205,120965.95,125185.63,117931.13
2018-08-21,33.8,34.41,34.05,33.17,96894.17,0.2,0.59,33.744,34.077,33.157,114478.72,120674.6,115205.02
2018-08-22,34.17,34.38,34.08,33.36,80605.67,0.03,0.09,33.624,34.335,33.126,108880.36,120487.1,113339.74
2018-08-23,34.08,36.61,36.29,33.94,145058.7,2.21,6.49,34.082,34.609,33.27,117620.15,120100.86,114208.48
2018-08-24,35.87,36.55,35.7,35.45,87578.71,-0.59,-1.63,34.794,34.799,33.398,108567.42,119184.1,114499.91
2018-08-27,35.9,37.88,36.25,35.5,122931.67,0.55,1.54,35.274,34.743,33.588,106613.78,113789.87,115648.77
2018-08-28,36.4,37.53,37.38,36.13,112378.45,1.13,3.12,35.94,34.842,33.823,109710.64,112094.68,116939.18
2018-08-29,36.85,37.09,36.28,35.11,106030.93,-1.1,-2.94,36.38,35.002,34.017,114795.69,111838.02,116471.16
2018-08-30,35.6,37.12,36.03,35.44,99719.56,-0.25,-0.69,36.328,35.205,34.252,105727.86,111674.01,115487.96
2018-08-31,36.28,36.93,35.8,35.62,70270.51,-0.23,-0.64,36.348,35.571,34.54,102266.22,105416.82,113932.2
2018-09-03,35.4,38.05,37.83,33.98,119375.96,2.03,5.67,36.664,35.969,34.923,101555.08,104084.43,114635.03
2018-09-04,37.45,39.87,39.1,37.22,142813.22,1.27,3.36,37.008,36.474,35.276,107642.04,108676.34,114675.47
2018-09-05,39.0,39.33,38.1,38.0,92943.08,-1.0,-2.56,37.372,36.876,35.606,105024.47,109910.08,115198.59
2018-09-06,38.15,39.29,38.25,37.5,85890.42,0.15,0.39,37.816,37.072,35.841,102258.64,103993.25,112047.06
2018-09-07,38.1,38.98,34.98,34.58,190745.55,-3.27,-8.55,37.652,37.0,35.9,126353.65,114309.94,116747.02
2018-09-10,34.0,35.25,35.0,33.75,112466.21,0.02,0.06,37.086,36.875,35.809,124971.7,113263.39,113526.63
2018-09-11,34.96,35.64,35.32,34.33,92181.47,0.32,0.91,36.33,36.669,35.756,114845.35,111243.69,111669.19
2018-09-12,35.3,35.76,34.26,33.8,84752.27,-1.06,-3.0,35.562,36.467,35.735,113207.18,109115.83,110476.92
2018-09-13,34.9,35.8,35.0,33.33,139861.72,0.74,2.16,34.912,36.364,35.785,124001.44,113130.04,112402.02
2018-09-14,34.81,35.09,33.36,32.93,125525.36,-1.64,-4.69,34.588,36.12,35.846,110957.41,118655.53,112036.17
2018-09-17,32.76,33.35,32.87,31.88,74291.48,-0.49,-1.47,34.162,35.624,35.797,103322.46,114147.08,109115.76
2018-09-18,32.8,34.03,33.83,32.0,110535.31,0.96,2.92,33.864,35.097,35.786,106993.23,110919.29,109797.81
2018-09-19,33.5,35.0,34.11,33.18,107874.07,0.28,0.83,33.834,34.698,35.787,111617.59,112412.39,111161.23
2018-09-20,34.01,34.59,34.49,33.82,65833.27,0.38,1.11,33.732,34.322,35.697,96811.9,110406.67,107199.96
2018-09-21,34.49,34.85,34.62,33.9,71713.34,0.13,0.38,33.984,34.286,35.643,86049.49,98503.45,106406.69
2018-09-25,34.56,36.07,35.5,34.39,86642.98,0.88,2.54,34.51,34.336,35.606,88519.79,95921.13,104592.26
2018-09-26,35.3,35.92,35.59,35.02,65959.38,0.09,0.25,34.862,34.363,35.516,79604.61,93298.92,102271.3
2018-09-27,35.54,35.97,34.25,34.21,90102.05,-1.34,-3.77,34.89,34.362,35.415,76050.2,93833.9,101474.86
2018-09-28,34.23,34.63,33.76,33.0,83353.43,-0.49,-1.43,34.744,34.238,35.301,79554.24,88183.07,100656.55
2018-10-08,32.88,33.99,32.65,32.42,73449.66,-1.11,-3.29,34.35,34.167,35.144,79901.5,82975.5,100815.51
2018-10-09,32.85,33.47,31.45,30.7,113680.1,-1.2,-3.67,33.54,34.025,34.825,85308.92,86914.36,100530.72
2018-10-10,31.46,32.1,32.06,30.93,70266.93,0.61,1.94,32.834,33.848,34.473,86170.43,82887.52,96903.4
2018-10-11,30.75,31.18,28.85,28.85,111571.86,-3.21,-10.01,31.754,33.322,34.01,90464.4,83257.3,97834.84
2018-10-12,28.4,29.72,29.39,27.21,116130.54,0.54,1.87,30.88,32.812,33.567,97019.82,88287.03,99346.85
2018-10-15,29.39,29.7,29.15,28.9,75814.23,-0.24,-0.82,30.18,32.265,33.276,97492.73,88697.12,93600.28
2018-10-16,28.5,29.4,27.64,27.01,90663.9,-1.51,-5.18,29.418,31.479,32.908,92889.49,89099.21,92510.17
2018-10-17,28.28,29.93,29.73,28.08,127522.5,2.09,7.56,28.952,30.893,32.628,104340.61,95255.52,94277.22
2018-10-18,29.3,30.21,29.29,28.92,101740.07,-0.44,-1.48,29.04,30.397,32.38,102374.25,96419.32,95126.61
2018-10-19,28.68,30.66,30.43,28.28,101768.28,1.14,3.89,29.248,30.064,32.151,99501.8,98260.81,93221.94
2018-10-22,31.34,32.46,32.03,30.32,116773.69,1.6,5.26,29.824,30.002,32.085,107693.69,102593.21,92784.35
2018-10-23,31.6,31.88,31.05,30.8,59327.73,-0.98,-3.06,30.506,29.962,31.994,101426.45,97157.97,92036.17
2018-10-24,31.06,31.6,30.18,29.68,76417.18,-0.87,-2.8,30.596,29.774,31.811,91205.39,97773.0,90330.26
2018-10-25,28.59,29.73,29.38,28.06,64383.75,-0.8,-2.65,30.614,29.827,31.575,83734.13,93054.19,88155.74
2018-10-26,29.88,30.08,28.89,28.28,60026.93,-0.49,-1.67,30.306,29.777,31.295,75385.86,87443.83,87865.43
