,code,解禁时间,限售股类型,解禁前20日涨跌幅,解禁后20日涨跌幅,解禁股占流通股比例,市场,股票名称,解禁前一日股价
0,603165,2020-01-17T00:00:00,首发原股东限售股份,0.0725663716593275,-0.0665566558206173,2.99873737373737,sh,荣晟环保,18.18
1,600936,2017-08-15T00:00:00,首发原股东限售股份,0.0210249667038177,0.032175031827233,2.98661107666667,sh,广西广电,7.77
2,600617,2016-12-23T00:00:00,定向增发机构配售股份,-0.0802005012635236,-0.0699364214423176,2.98442045516292,sh,国新能源,11.01
3,601811,2019-08-08T00:00:00,首发原股东限售股份,-0.137575236129948,0.334995015313226,2.97753025418222,sh,新华文轩,10.03
4,603637,2020-02-10T00:00:00,首发原股东限售股份,-0.0513495721487519,0.0013879207325887,2.97737601942601,sh,镇海股份,14.41
5,603398,2018-12-10T00:00:00,首发原股东限售股份,-0.0245009075090944,0.0930232557847929,2.97174590071667,sh,邦宝益智,10.75
6,600871,2016-03-03T00:00:00,定向增发机构配售股份,0.0276422769651503,-0.19778481039024,2.96296296222222,sh,石化油服,6.32
7,601038,2015-08-10T00:00:00,首发原股东限售股份,0.4490445856812,-0.28278388238787,2.9594,sh,一拖股份,13.65
8,603218,2020-02-17T00:00:00,首发原股东限售股份,-0.121995464836619,-0.0289256198059937,2.95892622625505,sh,日月股份,19.36
9,603166,2017-11-27T00:00:00,首发原股东限售股份,-0.229523809372633,-0.0111248457775338,2.95027000776884,sh,福达股份,8.09
10,603178,2020-03-30T00:00:00,首发原股东限售股份,-0.125950053979116,-0.0496894408958328,2.94331181445362,sh,圣龙股份,8.05
11,002703,2015-11-02T00:00:00,首发原股东限售股份,0.371874999977479,-0.0954188812311678,2.93239753333333,zxb,浙江世宝,39.51
12,600515,2017-10-25T00:00:00,定向增发机构配售股份,-0.0725530461247478,-0.00590405875259426,2.92241441657159,sh,海航基础,13.55
13,603117,2016-06-29T00:00:00,首发原股东限售股份,0.0722143018223236,-0.0245726496191795,2.91841653333333,sh,万林物流,18.72
14,600733,2019-08-23T00:00:00,定向增发机构配售股份,-0.105521472288548,-0.0452674898021854,2.88647384944734,sh,北汽蓝谷,7.29
15,603803,2018-04-23T00:00:00,首发原股东限售股份,0.0590024330900243,0.0103388856978748,2.86956957746479,sh,瑞斯康达,17.41
16,601619,2020-07-27T00:00:00,首发原股东限售股份,0.0515463910533054,0.225490196394629,2.83718513404683,sh,嘉泽新能,3.06
17,000791,2015-12-28T00:00:00,定向增发机构配售股份,-0.143957345929099,-0.230449826979745,2.82144509932329,szzb,甘肃电投,14.45
18,300285,2015-01-13T00:00:00,首发原股东限售股份,-0.071839951629391,0.00261267148678228,2.81876769258568,cyb,国瓷材料,30.62
19,300601,2018-02-07T00:00:00,首发原股东限售股份,-0.137436762245473,0.317448680212316,2.81124404761905,cyb,康泰生物,40.92
20,600061,2016-02-22T00:00:00,定向增发机构配售股份,-0.174133949179694,-0.0178970917075036,2.81024352774314,sh,国投资本,17.88
21,603839,2020-02-14T00:00:00,首发原股东限售股份,0.01614086546037,0.127075812553469,2.79192700282483,sh,安正时尚,13.85
22,002661,2015-03-16T00:00:00,首发原股东限售股份,0.0771172181577739,0.301744337397874,2.78507152745731,zxb,克明面业,38.41
23,603226,2020-06-16T00:00:00,首发原股东限售股份,-0.0391510520957185,0.0662431943447558,2.77708941007027,sh,菲林格尔,11.02
