m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
373976.0,212038.0,-586014.0,372206.0,1770.0,3.55,2.01,-5.57,3.54,0.02,5.7,-4.36,0.0,0.0
122148.0,-297791.0,175642.0,122148.0,0.0,1.97,-4.79,2.83,1.97,0.0,5.87,2.98,0.0,0.0
-105946.0,665587.0,-559641.0,-105946.0,0.0,-1.16,7.27,-6.11,-1.16,0.0,6.03,2.73,0.0,0.0
-388588.0,-1189.0,389777.0,-388588.0,0.0,-4.03,-0.01,4.04,-4.03,0.0,6.02,-0.17,0.0,0.0
-263993.0,572255.0,-308262.0,-263993.0,0.0,-3.87,8.38,-4.51,-3.87,0.0,5.98,-0.66,0.0,0.0
-466516.0,942508.0,-475992.0,-466516.0,0.0,-5.06,10.23,-5.17,-5.06,0.0,6.08,1.67,0.0,0.0
240742.0,33595.0,-274337.0,240742.0,0.0,2.44,0.34,-2.78,2.44,0.0,6.18,1.64,0.0,0.0
-352495.0,-1986894.0,2339389.0,-352495.0,0.0,-2.0,-11.25,13.25,-2.0,0.0,6.49,5.02,0.0,0.0
-1017995.0,2474118.0,-1456124.0,-1017995.0,0.0,-7.28,17.69,-10.41,-7.28,0.0,6.18,-4.78,0.0,0.0
-390649.0,127951.0,262698.0,-390649.0,0.0,-4.95,1.62,3.33,-4.95,0.0,6.24,0.97,0.0,0.0
218677.0,234874.0,-453552.0,218677.0,0.0,1.91,2.05,-3.95,1.91,0.0,6.39,2.4,0.0,0.0
-1596278.0,1465508.0,130770.0,-1539308.0,-56970.0,-15.72,14.43,1.29,-15.16,-0.56,6.31,-1.25,0.0,0.0
-588610.0,355285.0,233326.0,-588610.0,0.0,-8.01,4.84,3.18,-8.01,0.0,6.3,-0.16,0.0,0.0
-308988.0,1335583.0,-1026595.0,-308988.0,0.0,-4.97,21.5,-16.52,-4.97,0.0,6.29,-0.16,0.0,0.0
-915250.0,1045298.0,-130048.0,-915250.0,0.0,-15.41,17.6,-2.19,-15.41,0.0,6.17,-1.91,0.0,0.0
-472693.0,1337412.0,-864719.0,-472693.0,0.0,-8.61,24.37,-15.76,-8.61,0.0,6.07,-1.62,0.0,0.0
-12873.0,-297601.0,310474.0,-12873.0,0.0,-0.42,-9.75,10.17,-0.42,0.0,6.11,0.66,0.0,0.0
9255.0,-231127.0,221872.0,9255.0,0.0,0.21,-5.25,5.04,0.21,0.0,6.15,0.65,0.0,0.0
-30360.0,342810.0,-312450.0,-30360.0,0.0,-0.69,7.74,-7.06,-0.69,0.0,6.1,-0.81,0.0,0.0
-139046.0,345950.0,-206904.0,-139046.0,0.0,-3.2,7.97,-4.77,-3.2,0.0,6.07,-0.49,0.0,0.0
-794899.0,1870919.0,-1076020.0,-750003.0,-44896.0,-8.06,18.98,-10.92,-7.61,-0.46,5.88,-3.13,0.0,0.0
442232.0,786494.0,-1228726.0,442232.0,0.0,6.64,11.81,-18.46,6.64,0.0,5.91,0.51,0.0,0.0
-1020274.0,805313.0,214961.0,-1020274.0,0.0,-14.55,11.48,3.07,-14.55,0.0,5.81,-1.69,0.0,0.0
-3045695.0,2904708.0,140986.0,-3704978.0,659283.0,-15.33,14.62,0.71,-18.65,3.32,5.52,-4.99,0.0,0.0
462513.0,930671.0,-1393183.0,462513.0,0.0,2.14,4.31,-6.46,2.14,0.0,5.24,-5.07,0.0,0.0
-2276195.0,2842433.0,-566238.0,-2276195.0,0.0,-10.77,13.45,-2.68,-10.77,0.0,4.98,-4.96,0.0,0.0
-1535755.0,2839526.0,-1303773.0,-9426550.0,7890795.0,-5.05,9.33,-4.28,-30.98,25.93,4.73,-5.02,0.0,0.0
-10195814.0,6436690.0,3759123.0,364165.0,-10559979.0,-22.2,14.02,8.19,0.79,-23.0,4.59,-2.96,0.0,0.0
-744804.0,2776675.0,-2031872.0,-744804.0,0.0,-2.17,8.07,-5.91,-2.17,0.0,4.55,-0.87,0.0,0.0
-5529662.0,2636596.0,2893067.0,-4509670.0,-1019992.0,-19.75,9.42,10.33,-16.11,-3.64,4.55,0.0,0.0,0.0
-6321038.0,4690705.0,1630333.0,-6321038.0,0.0,-27.4,20.33,7.07,-27.4,0.0,4.48,-1.54,0.0,0.0
561969.0,-83371.0,-478598.0,561969.0,0.0,4.49,-0.67,-3.82,4.49,0.0,4.46,-0.45,0.0,0.0
849813.0,-1015746.0,165935.0,-2096263.0,2946076.0,2.51,-3.0,0.49,-6.2,8.71,4.68,4.93,0.0,0.0
