m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
-576953.0,3332779.0,-2755826.0,-1744223.0,1167270.0,-0.54,3.11,-2.57,-1.63,1.09,7.32,-1.35,0.0,0.0
-3464495.0,2992187.0,472308.0,-3875893.0,411398.0,-3.33,2.87,0.45,-3.72,0.4,7.28,-0.55,0.0,0.0
-8266925.0,8911001.0,-644075.0,-8266925.0,0.0,-7.44,8.02,-0.58,-7.44,0.0,7.15,-1.79,0.0,0.0
15775408.0,-21168237.0,5392830.0,6351411.0,9423997.0,4.96,-6.66,1.7,2.0,2.97,7.63,6.71,0.0,0.0
-14344462.0,18668069.0,-4323607.0,-11028995.0,-3315467.0,-5.33,6.93,-1.61,-4.1,-1.23,7.69,0.79,0.0,0.0
-6088918.0,7454568.0,-1365649.0,-6088918.0,0.0,-3.36,4.12,-0.75,-3.36,0.0,7.69,0.0,0.0,0.0
-5126005.0,4730571.0,395435.0,-1817627.0,-3308378.0,-3.5,3.23,0.27,-1.24,-2.26,7.67,-0.26,0.0,0.0
749187.0,-2348786.0,1599599.0,620548.0,128639.0,0.46,-1.44,0.98,0.38,0.08,7.7,0.39,0.0,0.0
-22499351.0,23427199.0,-927847.0,-13648600.0,-8850751.0,-14.13,14.72,-0.58,-8.57,-5.56,7.58,-1.56,0.0,0.0
-4228367.0,8514618.0,-4286250.0,-4547972.0,319605.0,-3.7,7.46,-3.75,-3.98,0.28,7.46,-1.58,0.0,0.0
-14659777.0,15121131.0,-461354.0,-10276398.0,-4383379.0,-12.13,12.51,-0.38,-8.5,-3.63,7.31,-2.01,0.0,0.0
-2033396.0,-2476366.0,4509762.0,-7167481.0,5134085.0,-1.3,-1.58,2.88,-4.57,3.27,7.54,3.15,0.0,0.0
-5562490.0,6653216.0,-1090726.0,-4822777.0,-739713.0,-3.14,3.76,-0.62,-2.72,-0.42,7.65,1.46,0.0,0.0
63099904.0,-33011504.0,-30088400.0,-576476.0,63676380.0,21.95,-11.48,-10.47,-0.2,22.15,8.42,10.07,0.0,0.0
-70243703.0,52643600.0,17600100.0,-27101432.0,-43142271.0,-9.31,6.98,2.33,-3.59,-5.72,8.59,2.02,0.0,0.0
34759689.0,-26859158.0,-7900532.0,-4406438.0,39166127.0,5.01,-3.87,-1.14,-0.64,5.65,9.45,10.01,0.0,0.0
-108980887.0,81908518.0,27072363.0,-64683261.0,-44297626.0,-18.57,13.96,4.61,-11.02,-7.55,8.95,-5.29,0.0,0.0
-17833427.0,24276007.0,-6442580.0,-14415025.0,-3418402.0,-5.03,6.85,-1.82,-4.07,-0.96,8.33,-6.93,0.0,0.0
57929931.0,-33912640.0,-24017292.0,-4023222.0,61953153.0,12.0,-7.02,-4.97,-0.83,12.83,9.16,9.96,0.0,0.0
-36835358.0,35754540.0,1080819.0,-15741602.0,-21093756.0,-8.69,8.43,0.25,-3.71,-4.98,9.01,-1.64,0.0,0.0
-16120669.0,18757756.0,-2637087.0,-14242264.0,-1878405.0,-3.75,4.36,-0.61,-3.31,-0.44,9.14,1.44,0.0,0.0
-34988050.0,36925443.0,-1937393.0,-22711718.0,-12276332.0,-11.14,11.76,-0.62,-7.23,-3.91,8.92,-2.41,0.0,0.0
-3943447.0,5402984.0,-1459537.0,-3445505.0,-497942.0,-1.84,2.52,-0.68,-1.61,-0.23,8.88,-0.45,0.0,0.0
-22718825.0,19144871.0,3573954.0,-22104225.0,-614600.0,-10.93,9.21,1.72,-10.63,-0.3,8.72,-1.8,0.0,0.0
6228319.0,-1593500.0,-4634818.0,-3508114.0,9736433.0,2.13,-0.55,-1.59,-1.2,3.33,9.0,3.21,0.0,0.0
12765719.0,-12796590.0,30871.0,15199820.0,-2434101.0,2.32,-2.32,0.01,2.76,-0.44,9.49,5.44,0.0,0.0
-33437714.0,34837178.0,-1399465.0,-19754306.0,-13683408.0,-6.64,6.91,-0.28,-3.92,-2.72,9.57,0.84,0.0,0.0
-27536386.0,26433375.0,1103011.0,-17869779.0,-9666607.0,-8.17,7.84,0.33,-5.3,-2.87,9.42,-1.57,0.0,0.0
1951116.0,-7328321.0,5377206.0,-105714.0,2056830.0,0.32,-1.21,0.88,-0.02,0.34,9.81,4.14,0.0,0.0
-21212482.0,20010862.0,1201620.0,-14614916.0,-6597566.0,-6.86,6.47,0.39,-4.73,-2.13,9.76,-0.51,0.0,0.0
-28935971.0,29947373.0,-1011402.0,-23399864.0,-5536107.0,-11.63,12.04,-0.41,-9.4,-2.23,9.49,-2.77,0.0,0.0
-6204559.0,10050003.0,-3845444.0,-4607048.0,-1597511.0,-3.27,5.29,-2.02,-2.42,-0.84,9.4,-0.95,0.0,0.0
-4817609.0,12040585.0,-7222976.0,-5517345.0,699736.0,-2.79,6.97,-4.18,-3.2,0.41,9.32,-0.85,0.0,0.0
-29706661.0,28606559.0,1100102.0,-21377548.0,-8329113.0,-14.83,14.28,0.55,-10.67,-4.16,9.04,-3.0,0.0,0.0
187902.0,2160487.0,-2348389.0,-4439429.0,4627331.0,0.14,1.63,-1.77,-3.34,3.48,9.05,0.11,0.0,0.0
-25014890.0,29174611.0,-4159720.0,-21956615.0,-3058275.0,-13.86,16.16,-2.3,-12.16,-1.69,8.77,-3.09,0.0,0.0
-3914565.0,4710772.0,-796206.0,-2760498.0,-1154067.0,-2.97,3.57,-0.6,-2.09,-0.88,8.84,0.8,0.0,0.0
-711480.0,435120.0,276360.0,294000.0,-1005480.0,-64.9,39.69,25.21,26.82,-91.72,8.4,-4.98,0.0,0.0
-755706.0,590520.0,165186.0,-742140.0,-13566.0,-84.03,65.66,18.37,-82.52,-1.51,7.98,-5.0,0.0,0.0
-72768.0,72768.0,0.0,0.0,-72768.0,-64.43,64.43,0.0,0.0,-64.43,7.58,-5.01,0.0,0.0
-70560.0,97920.0,-27360.0,-70560.0,0.0,-27.61,38.31,-10.7,-27.61,0.0,7.2,-5.01,0.0,0.0
-1089612.0,861840.0,227772.0,-851580.0,-238032.0,-73.96,58.5,15.46,-57.8,-16.16,6.84,-5.0,0.0,0.0
-310700.0,689000.0,-378300.0,-310700.0,0.0,-16.47,36.53,-20.06,-16.47,0.0,6.5,-4.97,0.0,0.0
-1412272.0,1115014.0,297258.0,-1412272.0,0.0,-46.2,36.48,9.73,-46.2,0.0,6.18,-4.92,0.0,0.0
-818999.0,783194.0,35807.0,-751254.0,-67745.0,-49.94,47.75,2.18,-45.81,-4.13,5.87,-5.02,0.0,0.0
-214830.0,481554.0,-266724.0,-214830.0,0.0,-15.84,35.51,-19.67,-15.84,0.0,5.58,-4.94,0.0,0.0
-763730.0,869730.0,-106000.0,-763730.0,0.0,-45.57,51.9,-6.33,-45.57,0.0,5.3,-5.02,0.0,0.0
101623061.0,-67694634.0,-33928427.0,5361667.0,96261394.0,24.53,-16.34,-8.19,1.29,23.24,5.57,5.09,0.0,0.0
-19788218.0,20854172.0,-1065954.0,-17123799.0,-2664419.0,-12.16,12.81,-0.65,-10.52,-1.64,5.29,-5.03,0.0,0.0
-6010448.0,7482309.0,-1471861.0,-3710909.0,-2299539.0,-2.31,2.88,-0.57,-1.43,-0.88,5.13,-3.02,0.0,0.0
-1466033.0,1010481.0,455551.0,-778358.0,-687675.0,-0.79,0.54,0.24,-0.42,-0.37,5.29,3.12,0.0,0.0
-15915660.0,12635740.0,3279920.0,-14112979.0,-1802681.0,-10.35,8.22,2.13,-9.18,-1.17,5.18,-2.08,0.0,0.0
-1537764.0,3994778.0,-2457015.0,113499.0,-1651263.0,-1.2,3.11,-1.91,0.09,-1.29,5.17,-0.19,0.0,0.0
-14131689.0,14883012.0,-751324.0,-9990161.0,-4141528.0,-9.5,10.01,-0.51,-6.72,-2.79,5.09,-1.55,0.0,0.0
-4447285.0,348576.0,4098709.0,-6375313.0,1928028.0,-4.05,0.32,3.73,-5.8,1.76,5.12,0.59,0.0,0.0
-12071466.0,13749091.0,-1677625.0,-6787515.0,-5283951.0,-7.48,8.52,-1.04,-4.2,-3.27,5.02,-1.95,0.0,0.0
-4731262.0,-4990024.0,9721285.0,-3460340.0,-1270922.0,-2.66,-2.81,5.47,-1.95,-0.72,5.11,1.79,0.0,0.0
-7611177.0,8278857.0,-667679.0,-2582188.0,-5028989.0,-7.4,8.05,-0.65,-2.51,-4.89,5.07,-0.78,0.0,0.0
-19293302.0,18089447.0,1203856.0,-15758350.0,-3534952.0,-16.15,15.14,1.01,-13.19,-2.96,4.82,-4.93,0.0,0.0
-17008139.0,9287135.0,7721006.0,-13520810.0,-3487329.0,-11.28,6.16,5.12,-8.97,-2.31,4.66,-3.32,0.0,0.0
1135562.0,-189180.0,-946383.0,1004031.0,131531.0,1.11,-0.18,-0.92,0.98,0.13,4.67,0.21,0.0,0.0
2512274.0,1117252.0,-3629526.0,1716014.0,796260.0,2.75,1.22,-3.98,1.88,0.87,4.7,0.64,0.0,0.0
