m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
-13257581.0,6125525.0,7132057.0,-17920131.0,4662550.0,-16.66,7.7,8.96,-22.52,5.86,1.19,1.71,0.0,0.0
-383522.0,932702.0,-549180.0,523190.0,-906712.0,-3.92,9.53,-5.61,5.35,-9.27,1.13,-5.04,0.0,0.0
-1350416.0,663881.0,686535.0,-3374722.0,2024306.0,-2.67,1.31,1.36,-6.68,4.01,1.19,5.31,0.0,0.0
-938340.0,1710749.0,-772408.0,2587958.0,-3526298.0,-2.21,4.03,-1.82,6.1,-8.31,1.25,5.04,0.0,0.0
-6676677.0,4934205.0,1742471.0,-4127274.0,-2549403.0,-13.15,9.72,3.43,-8.13,-5.02,1.22,-2.4,0.0,0.0
3641693.0,-2292174.0,-1349519.0,-113066.0,3754759.0,10.74,-6.76,-3.98,-0.33,11.07,1.28,4.92,0.0,0.0
-5400674.0,4645344.0,755330.0,-1699741.0,-3700933.0,-11.23,9.66,1.57,-3.53,-7.69,1.29,0.78,0.0,0.0
-3022075.0,674820.0,2347257.0,-431811.0,-2590264.0,-8.89,1.98,6.9,-1.27,-7.62,1.26,-2.33,0.0,0.0
1562921.0,-1180081.0,-382840.0,3203850.0,-1640929.0,6.86,-5.18,-1.68,14.07,-7.21,1.27,0.79,0.0,0.0
-274207.0,507734.0,-233529.0,1866008.0,-2140215.0,-1.48,2.74,-1.26,10.06,-11.54,1.25,-1.57,0.0,0.0
-1561273.0,780880.0,780394.0,372060.0,-1933333.0,-8.07,4.04,4.03,1.92,-9.99,1.25,0.0,0.0,0.0
-6597809.0,4877285.0,1720523.0,-4326071.0,-2271738.0,-20.76,15.35,5.41,-13.61,-7.15,1.2,-4.0,0.0,0.0
4178959.0,-1887417.0,-2291541.0,2620717.0,1558242.0,14.54,-6.57,-7.97,9.12,5.42,1.26,5.0,0.0,0.0
-2097440.0,2878930.0,-781489.0,-415186.0,-1682254.0,-7.46,10.24,-2.78,-1.48,-5.99,1.25,-0.79,0.0,0.0
1855675.0,223157.0,-2078833.0,1516915.0,338760.0,7.49,0.9,-8.39,6.12,1.37,1.3,4.0,0.0,0.0
-990809.0,-53751.0,1044560.0,-525705.0,-465104.0,-2.88,-0.16,3.03,-1.53,-1.35,1.37,5.38,0.0,0.0
