m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
-1320046.0,313942.0,1006104.0,-1638769.0,318723.0,-3.8,0.9,2.9,-4.72,0.92,1.16,0.0,0.0,0.0
10454636.0,-4840113.0,-5614523.0,6148536.0,4306100.0,14.91,-6.9,-8.01,8.77,6.14,1.22,5.17,0.0,0.0
-5943799.0,1249104.0,4694695.0,-1772729.0,-4171070.0,-5.57,1.17,4.4,-1.66,-3.91,1.28,4.92,0.0,0.0
-6272605.0,7370590.0,-1097986.0,-6191133.0,-81472.0,-8.68,10.19,-1.52,-8.56,-0.11,1.34,4.69,0.0,0.0
-236095.0,1022543.0,-786448.0,-1593400.0,1357305.0,-1.01,4.36,-3.35,-6.79,5.78,1.41,5.22,0.0,0.0
563030.0,-648771.0,85741.0,563030.0,0.0,30.16,-34.75,4.59,30.16,0.0,1.48,4.96,0.0,0.0
1569813.0,-769801.0,-800012.0,667868.0,901945.0,35.59,-17.45,-18.14,15.14,20.45,1.55,4.73,0.0,0.0
-4668740.0,14973305.0,-10304564.0,16702102.0,-21370842.0,-1.48,4.76,-3.27,5.31,-6.79,1.63,5.16,0.0,0.0
-26437630.0,25577885.0,859744.0,-22484007.0,-3953623.0,-13.77,13.32,0.45,-11.71,-2.06,1.55,-4.91,0.0,0.0
-1707951.0,3046136.0,-1338185.0,-8770751.0,7062800.0,-0.95,1.69,-0.74,-4.86,3.91,1.52,-1.94,0.0,0.0
-16647146.0,16528597.0,118550.0,-13722504.0,-2924642.0,-11.98,11.89,0.09,-9.87,-2.1,1.45,-4.61,0.0,0.0
-4978866.0,7774095.0,-2795228.0,-4245319.0,-733547.0,-5.28,8.24,-2.96,-4.5,-0.78,1.4,-3.45,0.0,0.0
9305325.0,-5075053.0,-4230273.0,5367695.0,3937630.0,26.88,-14.66,-12.22,15.5,11.37,1.47,5.0,0.0,0.0
1998342.0,2096242.0,-4094585.0,-280128.0,2278470.0,1.36,1.42,-2.78,-0.19,1.55,1.54,4.76,0.0,0.0
3147658.0,7507792.0,-10655451.0,-475373.0,3623031.0,1.87,4.45,-6.32,-0.28,2.15,1.62,5.19,0.0,0.0
-1453783.0,3057496.0,-1603713.0,-2436359.0,982576.0,-0.87,1.83,-0.96,-1.46,0.59,1.7,4.94,0.0,0.0
