-958732032.0,5056311296.0,-4097576960.0,-4269037824.0,3310305792.0,-0.14,0.72,-0.58,-0.6,0.47,3094.88,0.91,10898.17,1.79
-24293086720.0,23439389952.0,853692416.0,-15797900544.0,-8495186176.0,-3.79,3.66,0.13,-2.47,-1.33,3092.29,-0.08,10879.84,-0.17
-1825947648.0,8849200384.0,-7023251456.0,-9959147008.0,8133199360.0,-0.27,1.32,-1.05,-1.49,1.22,3115.57,0.75,11040.2,1.47
-28646721792.0,27314906368.0,1331814400.0,-18652370432.0,-9994351360.0,-4.08,3.89,0.19,-2.66,-1.42,3106.82,-0.28,10988.77,-0.47
-26330119936.0,25715572480.0,614551552.0,-17561004288.0,-8769115648.0,-4.31,4.21,0.1,-2.87,-1.44,3090.04,-0.54,10972.32,-0.15
-25102581760.0,24795507968.0,307077120.0,-15551133696.0,-9551448064.0,-4.1,4.05,0.05,-2.54,-1.56,3074.08,-0.52,10967.44,-0.04
-23142126848.0,23095803648.0,46325760.0,-15450233344.0,-7691893504.0,-3.81,3.8,0.01,-2.54,-1.27,3075.5,0.05,10954.39,-0.12
-8514697728.0,11761773568.0,-3247079424.0,-12929395712.0,4414697984.0,-1.25,1.73,-0.48,-1.9,0.65,3095.79,0.66,11115.88,1.47
-51107971328.0,41551859712.0,9556115456.0,-27305238272.0,-23802733056.0,-7.4,6.02,1.38,-3.95,-3.45,3052.14,-1.41,10953.41,-1.46
-12454030080.0,16396914688.0,-3942887424.0,-14240477440.0,1786447360.0,-1.76,2.32,-0.56,-2.01,0.25,3060.75,0.28,11072.06,1.08
-77371365888.0,63343816704.0,14027546624.0,-40463597568.0,-36907768320.0,-9.56,7.83,1.73,-5.0,-4.56,2976.53,-2.75,10681.9,-3.52
-27063632640.0,31884813824.0,-4821184512.0,-27214144000.0,150511360.0,-5.21,6.14,-0.93,-5.24,0.03,2746.61,-7.72,9779.67,-8.45
-31850228736.0,30167257088.0,1682972672.0,-25247604736.0,-6602624000.0,-3.5,3.31,0.18,-2.77,-0.73,2783.29,1.34,10089.67,3.17
-24709355264.0,23760957440.0,948404224.0,-18475462656.0,-6233892608.0,-2.83,2.72,0.11,-2.12,-0.71,2818.09,1.25,10305.5,2.14
-1961828864.0,8620949504.0,-6659129344.0,-10395467776.0,8433638912.0,-0.21,0.94,-0.73,-1.14,0.92,2866.51,1.72,10601.34,2.87
-33231269632.0,31702708224.0,1528561664.0,-19620139008.0,-13611130624.0,-3.57,3.41,0.16,-2.11,-1.46,2875.96,0.33,10611.55,0.1
-25249455104.0,19895250944.0,5354209280.0,-15766274048.0,-9483181056.0,-2.85,2.25,0.6,-1.78,-1.07,2890.49,0.51,10728.46,1.1
-23618384896.0,23838334976.0,-219947008.0,-16299143168.0,-7319241728.0,-3.0,3.03,-0.03,-2.07,-0.93,2901.67,0.39,10768.63,0.37
3850030848.0,3692199936.0,-7542231040.0,-7702716416.0,11552747264.0,0.49,0.47,-0.95,-0.97,1.46,2926.9,0.87,10940.8,1.6
-40329165824.0,37265063936.0,3064102912.0,-24826286080.0,-15502879744.0,-4.63,4.28,0.35,-2.85,-1.78,2906.07,-0.71,10864.32,-0.7
-24708851200.0,25540665344.0,-831815680.0,-18199474176.0,-6509377024.0,-3.04,3.14,-0.1,-2.24,-0.8,2917.01,0.38,10916.31,0.48
13609462272.0,-5063245824.0,-8546222080.0,-1651376128.0,15260838400.0,1.45,-0.54,-0.91,-0.18,1.63,2983.62,2.28,11241.5,2.98
-31002664448.0,27222659072.0,3780009984.0,-18330390528.0,-12672273920.0,-3.1,2.72,0.38,-1.83,-1.27,2984.97,0.05,11306.49,0.58
