m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
30259.0,2449333.0,-2479592.0,30259.0,0.0,0.17,13.83,-14.0,0.17,0.0,2.71,0.0,0.0,0.0
-1897169.0,1737597.0,159572.0,-1897169.0,0.0,-9.65,8.83,0.81,-9.65,0.0,2.71,0.0,0.0,0.0
1623774.0,-1380628.0,-243146.0,1623774.0,0.0,6.87,-5.84,-1.03,6.87,0.0,2.74,1.11,0.0,0.0
-708497.0,1725220.0,-1016723.0,-708497.0,0.0,-4.16,10.12,-5.96,-4.16,0.0,2.71,-1.09,0.0,0.0
-272455.0,1240129.0,-967674.0,-272455.0,0.0,-1.69,7.71,-6.02,-1.69,0.0,2.72,0.37,0.0,0.0
237861.0,1803947.0,-2041808.0,237861.0,0.0,1.89,14.3,-16.19,1.89,0.0,2.74,0.74,0.0,0.0
-2102116.0,1558076.0,544039.0,-2102116.0,0.0,-10.24,7.59,2.65,-10.24,0.0,2.69,-1.82,0.0,0.0
-1207189.0,6244546.0,-5037357.0,-1207189.0,0.0,-5.19,26.86,-21.67,-5.19,0.0,2.67,-0.74,0.0,0.0
1371731.0,-258827.0,-1112904.0,1371731.0,0.0,7.25,-1.37,-5.88,7.25,0.0,2.69,0.75,0.0,0.0
-2686554.0,5109398.0,-2422844.0,-2686554.0,0.0,-10.52,20.01,-9.49,-10.52,0.0,2.59,-3.72,0.0,0.0
475106.0,732717.0,-1207822.0,-645468.0,1120574.0,2.57,3.96,-6.54,-3.49,6.06,2.63,1.54,0.0,0.0
-1320558.0,2511512.0,-1190955.0,-1320558.0,0.0,-7.05,13.4,-6.36,-7.05,0.0,2.67,1.52,0.0,0.0
2944959.0,-2150164.0,-794795.0,1862399.0,1082560.0,10.18,-7.43,-2.75,6.44,3.74,2.74,2.62,0.0,0.0
3907416.0,-560947.0,-3346470.0,1990407.0,1917009.0,4.72,-0.68,-4.04,2.4,2.31,3.0,9.49,0.0,0.0
-3353336.0,2490651.0,862684.0,-6299910.0,2946574.0,-5.11,3.79,1.31,-9.6,4.49,2.91,-3.0,0.0,0.0
1051190.0,2196205.0,-3247395.0,-1460125.0,2511315.0,2.0,4.18,-6.18,-2.78,4.78,2.91,0.0,0.0,0.0
-5599520.0,7733636.0,-2134115.0,-4491379.0,-1108141.0,-13.67,18.88,-5.21,-10.96,-2.71,2.69,-7.56,0.0,0.0
14628.0,1601504.0,-1616132.0,-241672.0,256300.0,0.04,4.69,-4.73,-0.71,0.75,2.77,2.97,0.0,0.0
-1587901.0,3862144.0,-2274244.0,-2602275.0,1014374.0,-4.94,12.02,-7.08,-8.1,3.16,2.77,0.0,0.0,0.0
-4282598.0,7022072.0,-2739473.0,-4282598.0,0.0,-13.16,21.57,-8.42,-13.16,0.0,2.74,-1.08,0.0,0.0
-1949646.0,2474214.0,-524568.0,-1949646.0,0.0,-8.12,10.31,-2.18,-8.12,0.0,2.71,-1.09,0.0,0.0
-2193283.0,3338249.0,-1144966.0,-2193283.0,0.0,-10.74,16.35,-5.61,-10.74,0.0,2.7,-0.37,0.0,0.0
-629005.0,-387406.0,1016411.0,-629005.0,0.0,-3.04,-1.87,4.91,-3.04,0.0,2.69,-0.37,0.0,0.0
-236175.0,1555950.0,-1319775.0,872013.0,-1108188.0,-0.57,3.72,-3.16,2.09,-2.65,2.79,3.72,0.0,0.0
2731966.0,628641.0,-3360607.0,2731966.0,0.0,6.95,1.6,-8.56,6.95,0.0,2.83,1.43,0.0,0.0
-3561413.0,4286657.0,-725244.0,-3408975.0,-152438.0,-8.51,10.24,-1.73,-8.14,-0.36,2.82,-0.35,0.0,0.0
839854.0,379036.0,-1218892.0,-1229206.0,2069060.0,1.96,0.88,-2.84,-2.87,4.83,2.89,2.48,0.0,0.0
-565918.0,1364975.0,-799057.0,106275.0,-672193.0,-1.51,3.65,-2.14,0.28,-1.8,2.81,-2.77,0.0,0.0
244578.0,-513510.0,268933.0,244578.0,0.0,1.23,-2.58,1.35,1.23,0.0,2.84,1.07,0.0,0.0
355146.0,1066666.0,-1421812.0,355146.0,0.0,1.88,5.65,-7.53,1.88,0.0,2.86,0.7,0.0,0.0
-1255153.0,553434.0,701718.0,-1255153.0,0.0,-5.43,2.39,3.03,-5.43,0.0,2.8,-2.1,0.0,0.0
-466706.0,2110245.0,-1643538.0,-466706.0,0.0,-2.12,9.59,-7.47,-2.12,0.0,2.8,0.0,0.0,0.0
-3389479.0,4698232.0,-1308753.0,-3389479.0,0.0,-11.2,15.53,-4.33,-11.2,0.0,2.7,-3.57,0.0,0.0
-4611577.0,4226629.0,384949.0,-3417891.0,-1193686.0,-19.91,18.25,1.66,-14.75,-5.15,2.64,-2.22,0.0,0.0
-444609.0,640352.0,-195743.0,-444609.0,0.0,-3.29,4.73,-1.45,-3.29,0.0,2.62,-0.76,0.0,0.0
-936292.0,1527520.0,-591228.0,-936292.0,0.0,-5.76,9.4,-3.64,-5.76,0.0,2.64,0.76,0.0,0.0
