m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
10050.0,755552.0,-765603.0,10050.0,0.0,0.09,6.96,-7.05,0.09,0.0,1.66,-0.6,0.0,0.0
117758.0,-36451.0,-81308.0,117758.0,0.0,0.92,-0.29,-0.64,0.92,0.0,1.59,-4.22,0.0,0.0
-352030.0,-29007.0,381036.0,-352030.0,0.0,-3.89,-0.32,4.21,-3.89,0.0,1.58,-0.63,0.0,0.0
500094.0,669625.0,-1169718.0,500094.0,0.0,4.41,5.91,-10.33,4.41,0.0,1.66,5.06,0.0,0.0
-2855780.0,1024806.0,1830974.0,-2855780.0,0.0,-13.1,4.7,8.4,-13.1,0.0,1.7,2.41,0.0,0.0
2562848.0,-2945276.0,382428.0,3457848.0,-895000.0,10.15,-11.66,1.51,13.69,-3.54,1.79,5.29,0.0,0.0
-3198709.0,2423247.0,775461.0,-3198709.0,0.0,-12.86,9.74,3.12,-12.86,0.0,1.73,-3.35,0.0,0.0
4760565.0,-2001689.0,-2758876.0,4760565.0,0.0,22.32,-9.38,-12.93,22.32,0.0,1.82,5.2,0.0,0.0
2166142.0,-1369380.0,-796763.0,2166142.0,0.0,26.45,-16.72,-9.73,26.45,0.0,1.91,4.95,0.0,0.0
-4147625.0,5550753.0,-1403127.0,-4147625.0,0.0,-8.67,11.6,-2.93,-8.67,0.0,1.81,-5.24,0.0,0.0
-416472.0,487213.0,-70741.0,-416472.0,0.0,-1.8,2.1,-0.31,-1.8,0.0,1.79,-1.1,0.0,0.0
-209708.0,-375779.0,585489.0,-237788.0,28080.0,-1.43,-2.57,4.0,-1.62,0.19,1.8,0.56,0.0,0.0
-1161631.0,169297.0,992334.0,-1161631.0,0.0,-7.34,1.07,6.27,-7.34,0.0,1.74,-3.33,0.0,0.0
3360308.0,-1483858.0,-1876449.0,3360308.0,0.0,29.4,-12.98,-16.42,29.4,0.0,1.83,5.17,0.0,0.0
3871941.0,-1551029.0,-2320913.0,3752709.0,119232.0,8.75,-3.51,-5.25,8.48,0.27,1.92,4.92,0.0,0.0
