m_fund,small_fund,mid_fund,big_fund,super_fund,m_percent,small_percent,mid_percent,big_percent,super_percent,sh_close,sh_change,sz_close,sz_change
-6176889.0,5441261.0,735629.0,-3991392.0,-2185497.0,-20.54,18.09,2.45,-13.27,-7.27,1.29,-3.73,0.0,0.0
-2453327.0,1607903.0,845425.0,-2265477.0,-187850.0,-15.06,9.87,5.19,-13.91,-1.15,1.27,-1.55,0.0,0.0
446035.0,668026.0,-1114061.0,-183965.0,630000.0,3.33,4.99,-8.32,-1.37,4.7,1.29,1.57,0.0,0.0
-3165797.0,1070595.0,2095202.0,-3165797.0,0.0,-25.96,8.78,17.18,-25.96,0.0,1.29,0.0,0.0,0.0
-10486951.0,6829752.0,3657200.0,-4184955.0,-6301996.0,-43.62,28.41,15.21,-17.41,-26.22,1.23,-4.65,0.0,0.0
-2585315.0,1267634.0,1317682.0,-3333294.0,747979.0,-12.05,5.91,6.14,-15.53,3.49,1.25,1.63,0.0,0.0
589402.0,-202459.0,-386942.0,589402.0,0.0,3.61,-1.24,-2.37,3.61,0.0,1.26,0.8,0.0,0.0
1755940.0,-558043.0,-1197899.0,961461.0,794479.0,6.32,-2.01,-4.31,3.46,2.86,1.31,3.97,0.0,0.0
-3227347.0,1754061.0,1473286.0,-3227347.0,0.0,-21.61,11.75,9.87,-21.61,0.0,1.27,-3.05,0.0,0.0
-2526503.0,330694.0,2195809.0,-756845.0,-1769658.0,-13.38,1.75,11.63,-4.01,-9.37,1.28,0.79,0.0,0.0
4987078.0,-2402386.0,-2584693.0,4074278.0,912800.0,16.17,-7.79,-8.38,13.21,2.96,1.32,3.12,0.0,0.0
4731198.0,-2077164.0,-2654034.0,2281128.0,2450070.0,34.64,-15.21,-19.43,16.7,17.94,1.39,5.3,0.0,0.0
-2043472.0,2591939.0,-548466.0,-1690850.0,-352622.0,-4.96,6.3,-1.33,-4.11,-0.86,1.36,-2.16,0.0,0.0
2638674.0,-850762.0,-1787913.0,2850086.0,-211412.0,8.32,-2.68,-5.64,8.99,-0.67,1.39,2.21,0.0,0.0
-2965143.0,674517.0,2290624.0,-1623776.0,-1341367.0,-11.46,2.61,8.85,-6.27,-5.18,1.4,0.72,0.0,0.0
1314076.0,-1440110.0,126034.0,-85924.0,1400000.0,7.99,-8.76,0.77,-0.52,8.52,1.4,0.0,0.0,0.0
-3262741.0,588718.0,2674021.0,-3231800.0,-30941.0,-20.66,3.73,16.93,-20.46,-0.2,1.38,-1.43,0.0,0.0
4270277.0,-3611557.0,-658719.0,4352208.0,-81931.0,8.68,-7.34,-1.34,8.85,-0.17,1.43,3.62,0.0,0.0
-353545.0,873491.0,-519945.0,-353545.0,0.0,-1.56,3.85,-2.29,-1.56,0.0,1.4,-2.1,0.0,0.0
974448.0,-3234371.0,2259924.0,109402.0,865046.0,2.59,-8.59,6.0,0.29,2.3,1.47,5.0,0.0,0.0
4516684.0,-3253259.0,-1263427.0,4170290.0,346394.0,13.13,-9.46,-3.67,12.13,1.01,1.54,4.76,0.0,0.0
1215453.0,-764381.0,-451073.0,812559.0,402894.0,25.98,-16.34,-9.64,17.37,8.61,1.62,5.19,0.0,0.0
1051223.0,-763096.0,-288128.0,548552.0,502671.0,24.29,-17.63,-6.66,12.67,11.61,1.7,4.94,0.0,0.0
6790576.0,-1413840.0,-5376737.0,6318613.0,471963.0,7.44,-1.55,-5.89,6.92,0.52,1.76,3.53,0.0,0.0
198732.0,843216.0,-1041947.0,-935157.0,1133889.0,0.37,1.58,-1.95,-1.75,2.12,1.76,0.0,0.0,0.0
-973939.0,-1263123.0,2237061.0,-1374606.0,400667.0,-2.46,-3.19,5.65,-3.47,1.01,1.79,1.7,0.0,0.0
5033954.0,-1942998.0,-3090955.0,4857199.0,176755.0,15.44,-5.96,-9.48,14.89,0.54,1.88,5.03,0.0,0.0
-5758898.0,3223962.0,2534936.0,-4485579.0,-1273319.0,-7.24,4.05,3.19,-5.64,-1.6,1.9,1.06,0.0,0.0
-2667980.0,2619127.0,48853.0,-1006914.0,-1661066.0,-7.16,7.03,0.13,-2.7,-4.46,1.81,-4.74,0.0,0.0
-3257222.0,1543843.0,1713380.0,-1065588.0,-2191634.0,-40.4,19.15,21.25,-13.22,-27.18,1.72,-4.97,0.0,0.0
3226599.0,1230687.0,-4457285.0,-3367729.0,6594328.0,6.39,2.44,-8.83,-6.67,13.06,1.67,-2.91,0.0,0.0
-6201479.0,5150024.0,1051456.0,-5163724.0,-1037755.0,-15.83,13.14,2.68,-13.18,-2.65,1.59,-4.79,0.0,0.0
-1024773.0,865054.0,159719.0,-1024773.0,0.0,-7.19,6.07,1.12,-7.19,0.0,1.59,0.0,0.0,0.0
-1277180.0,977157.0,300022.0,-1277180.0,0.0,-9.91,7.58,2.33,-9.91,0.0,1.6,0.63,0.0,0.0
-1182299.0,1401295.0,-218997.0,-1182299.0,0.0,-11.29,13.38,-2.09,-11.29,0.0,1.58,-1.25,0.0,0.0
-2623140.0,1767570.0,855570.0,-1377420.0,-1245720.0,-37.75,25.43,12.31,-19.82,-17.93,1.5,-5.06,0.0,0.0
-598598.0,677534.0,-78936.0,-598598.0,0.0,-24.14,27.32,-3.18,-24.14,0.0,1.43,-4.67,0.0,0.0
-1230256.0,1033464.0,196792.0,-541824.0,-688432.0,-66.57,55.92,10.65,-29.32,-37.25,1.36,-4.9,0.0,0.0
-21274162.0,13303611.0,7970551.0,-14333451.0,-6940711.0,-36.74,22.98,13.77,-24.76,-11.99,1.31,-3.68,0.0,0.0
-8743283.0,7349311.0,1393974.0,-5124873.0,-3618410.0,-22.29,18.73,3.55,-13.06,-9.22,1.24,-5.34,0.0,0.0
2863582.0,-2005474.0,-858107.0,1201824.0,1661758.0,7.9,-5.53,-2.37,3.32,4.59,1.3,4.84,0.0,0.0
-3889868.0,3971506.0,-81637.0,-3879869.0,-9999.0,-16.56,16.91,-0.35,-16.52,-0.04,1.25,-3.85,0.0,0.0
-7133266.0,5022881.0,2110387.0,-5870796.0,-1262470.0,-30.62,21.56,9.06,-25.2,-5.42,1.19,-4.8,0.0,0.0
-243610.0,1184027.0,-940416.0,-1256410.0,1012800.0,-1.82,8.85,-7.03,-9.4,7.57,1.19,0.0,0.0,0.0
3629262.0,-2392353.0,-1236910.0,3127506.0,501756.0,18.89,-12.45,-6.44,16.28,2.61,1.25,5.04,0.0,0.0
-2434879.0,1263635.0,1171245.0,-2428629.0,-6250.0,-14.52,7.54,6.98,-14.48,-0.04,1.22,-2.4,0.0,0.0
3662305.0,-3523372.0,-138932.0,1520090.0,2142215.0,15.22,-14.65,-0.58,6.32,8.91,1.28,4.92,0.0,0.0
1668504.0,-2034925.0,366420.0,1492642.0,175862.0,11.71,-14.28,2.57,10.47,1.23,1.34,4.69,0.0,0.0
765642.0,-1106304.0,340662.0,472836.0,292806.0,6.44,-9.31,2.87,3.98,2.46,1.41,5.22,0.0,0.0
1094164.0,-919968.0,-174196.0,969844.0,124320.0,50.28,-42.27,-8.0,44.57,5.71,1.48,4.96,0.0,0.0
-4133339.0,2086627.0,2046712.0,-3582540.0,-550799.0,-7.5,3.78,3.71,-6.5,-1.0,1.45,-2.03,0.0,0.0
-3322500.0,2712502.0,609999.0,-3322500.0,0.0,-14.45,11.79,2.65,-14.45,0.0,1.4,-3.45,0.0,0.0
1086059.0,-1471235.0,385175.0,38106.0,1047953.0,4.06,-5.5,1.44,0.14,3.92,1.47,5.0,0.0,0.0
