,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
0,33.99,10.0,600584,1,长电科技,1096875264.0,1141212704.0,21.86,-44337440.0,-0.85,-572727360.0,-10.97,-524147888.0,-10.04,1593675595,21.01,-,-,-
1,26.06,5.42,600030,1,中信证券,1088015488.0,1217357120.0,10.25,-129341632.0,-1.09,-490749760.0,-4.13,-597265648.0,-5.03,1593675587,9.16,-,-,-
2,42.34,10.0,603019,1,中科曙光,842156464.0,1019511536.0,28.59,-177355072.0,-4.97,-532239664.0,-14.93,-309916800.0,-8.69,1593675602,23.62,-,-,-
3,76.0,3.4,601318,1,中国平安,766326944.0,951671968.0,8.65,-185345024.0,-1.68,-354120080.0,-3.22,-412206880.0,-3.75,1593675578,6.97,-,-,-
4,15.86,9.99,601990,1,南京证券,728705440.0,630079760.0,15.45,98625680.0,2.42,-366209232.0,-8.98,-362496240.0,-8.89,1593675585,17.87,-,-,-
5,13.82,7.13,600837,1,海通证券,650134144.0,728066944.0,21.69,-77932800.0,-2.32,-318403392.0,-9.49,-331730752.0,-9.88,1593675586,19.37,-,-,-
6,43.36,9.99,601066,1,中信建投,595268192.0,705761504.0,20.32,-110493312.0,-3.18,-401216272.0,-11.55,-194051920.0,-5.59,1593675585,17.14,-,-,-
7,6.74,9.95,601162,1,天风证券,592906416.0,587369296.0,17.52,5537120.0,0.17,-249154608.0,-7.43,-343751808.0,-10.25,1593675578,17.69,-,-,-
8,14.25,10.04,600918,1,中泰证券,574759376.0,552834064.0,13.54,21925312.0,0.54,-237323712.0,-5.81,-337435664.0,-8.26,1593675599,14.08,-,-,-
9,4.87,4.73,000725,0,京东方Ａ,531795056.0,851964816.0,11.98,-320169760.0,-4.5,-279283552.0,-3.93,-252511504.0,-3.55,1593675243,7.48,-,-,-
10,3.52,10.0,601099,1,太平洋,521288698.0,469122954.0,27.4,52165744.0,3.05,-171752960.0,-10.03,-349535728.0,-20.41,1593675575,30.44,-,-,-
11,20.53,6.48,601688,1,华泰证券,477625712.0,448943040.0,11.07,28682672.0,0.71,-233304528.0,-5.75,-244321168.0,-6.02,1593675590,11.77,-,-,-
12,9.36,9.99,300017,0,网宿科技,456904160.0,484455776.0,23.37,-27551616.0,-1.33,-250763600.0,-12.09,-206140560.0,-9.94,1593675243,22.04,-,-,-
13,122.01,10.0,002304,0,洋河股份,436088736.0,493707728.0,14.55,-57618992.0,-1.7,-265650864.0,-7.83,-170437888.0,-5.02,1593675243,12.85,-,-,-
14,12.68,9.97,600109,1,国金证券,413682368.0,455376384.0,23.08,-41694016.0,-2.11,-216006704.0,-10.95,-197675680.0,-10.02,1593675598,20.96,-,-,-
15,6.32,3.95,000100,0,TCL科技,410864528.0,446507360.0,13.38,-35642832.0,-1.07,-220348384.0,-6.6,-190516144.0,-5.71,1593675243,12.31,-,-,-
16,11.16,7.72,002600,0,领益智造,398112800.0,387808288.0,12.77,10304512.0,0.34,-129067376.0,-4.25,-269045424.0,-8.86,1593675243,13.1,-,-,-
17,33.08,2.99,002415,0,海康威视,378821536.0,396937504.0,12.04,-18115968.0,-0.55,-177349200.0,-5.38,-201472336.0,-6.11,1593675243,11.49,-,-,-
18,14.45,5.55,002185,0,华天科技,312425168.0,282492208.0,5.54,29932960.0,0.59,-257599744.0,-5.06,-54825408.0,-1.08,1593675243,6.13,-,-,-
19,18.46,5.37,601211,1,国泰君安,309738016.0,247933136.0,13.24,61804880.0,3.3,-145685568.0,-7.78,-164052474.0,-8.76,1593675583,16.53,-,-,-
20,4.98,1.84,601668,1,中国建筑,309415248.0,321076016.0,17.26,-11660768.0,-0.63,-144544272.0,-7.77,-164870977.0,-8.86,1593675575,16.63,-,-,-
21,15.52,6.23,000776,0,广发证券,307068479.0,225011023.0,9.64,82057456.0,3.52,-173166336.0,-7.42,-133902128.0,-5.74,1593675243,13.16,-,-,-
22,24.15,10.02,600999,1,招商证券,305688512.0,319065552.0,11.86,-13377040.0,-0.5,-199523760.0,-7.42,-106164752.0,-3.95,1593675596,11.36,-,-,-
23,145.2,10.0,300033,0,同花顺,292118528.0,381372944.0,15.0,-89254416.0,-3.51,-218582624.0,-8.6,-73535920.0,-2.89,1593675243,11.49,-,-,-
24,7.83,9.97,300315,0,掌趣科技,251964921.0,230522649.0,21.33,21442272.0,1.98,-122421453.0,-11.33,-129543474.0,-11.98,1593675243,23.31,-,-,-
25,7.61,9.97,600909,1,华安证券,231404661.0,214119349.0,16.21,17285312.0,1.31,-74747376.0,-5.66,-156657264.0,-11.86,1593675583,17.51,-,-,-
26,16.55,2.48,601166,1,兴业银行,228961280.0,107305392.0,4.38,121655888.0,4.96,-85347136.0,-3.48,-143614160.0,-5.86,1593675577,9.34,-,-,-
27,20.22,4.33,600031,1,三一重工,223588208.0,278761152.0,8.91,-55172944.0,-1.76,-88323760.0,-2.82,-135264448.0,-4.32,1593675601,7.14,-,-,-
28,17.86,3.54,600104,1,上汽集团,223235250.0,84458674.0,6.39,138776576.0,10.5,-69310576.0,-5.24,-153924672.0,-11.64,1593675583,16.89,-,-,-
29,88.03,10.0,002049,0,紫光国微,222434848.0,323978256.0,15.31,-101543408.0,-4.8,-158804441.0,-7.51,-63630411.0,-3.01,1593675243,10.51,-,-,-
30,11.99,10.0,601878,1,浙商证券,219954624.0,233233456.0,9.94,-13278832.0,-0.57,-113946448.0,-4.86,-106008192.0,-4.52,1593675596,9.38,-,-,-
31,17.94,9.99,600271,1,航天信息,217724768.0,202943797.0,21.66,14780971.0,1.58,-75295220.0,-8.04,-142429542.0,-15.2,1593675590,23.24,-,-,-
32,5.4,5.68,000166,0,申万宏源,210492013.0,179531133.0,11.35,30960880.0,1.96,-64237808.0,-4.06,-146254224.0,-9.24,1593675243,13.3,-,-,-
33,50.39,10.31,688396,1,华润微,204299584.0,170590144.0,6.51,33709440.0,1.29,-115253712.0,-4.4,-89045872.0,-3.4,1593675592,7.8,-,-,-
34,30.04,6.79,601628,1,中国人寿,202355760.0,130678944.0,9.25,71676816.0,5.07,-92928096.0,-6.58,-109427648.0,-7.75,1593675590,14.32,-,-,-
35,8.88,10.04,601519,1,大智慧,202079771.0,219444034.0,34.66,-17364263.0,-2.74,-100789987.0,-15.92,-101289777.0,-16.0,1593675590,31.92,-,-,-
36,21.01,10.0,300293,0,蓝英装备,200455981.0,220313240.0,26.74,-19857259.0,-2.41,-117606725.0,-14.27,-82849262.0,-10.06,1593675243,24.33,-,-,-
37,7.26,10.0,002500,0,山西证券,197595824.0,214099896.0,25.61,-16504072.0,-1.97,-79568400.0,-9.52,-118027427.0,-14.12,1593675243,23.64,-,-,-
38,38.0,2.1,002230,0,科大讯飞,195936345.0,246039177.0,11.14,-50102832.0,-2.27,-124449376.0,-5.64,-71486944.0,-3.24,1593675243,8.87,-,-,-
39,10.1,10.02,600604,1,市北高新,195667479.0,208831097.0,18.76,-13163618.0,-1.18,-105177280.0,-9.45,-90490205.0,-8.13,1593675595,17.58,-,-,-
40,14.05,10.02,600185,1,格力地产,191754890.0,300855040.0,20.75,-109100150.0,-7.52,-104463870.0,-7.2,-87291008.0,-6.02,1593675598,13.22,-,-,-
41,16.37,10.01,600827,1,百联股份,191080304.0,184268112.0,12.12,6812192.0,0.45,-103258816.0,-6.79,-87821484.0,-5.78,1593675590,12.57,-,-,-
42,3.45,1.77,601288,1,农业银行,188688816.0,196181552.0,17.52,-7492736.0,-0.67,-90279500.0,-8.06,-98409332.0,-8.79,1593675577,16.85,-,-,-
43,34.47,3.89,600196,1,复星医药,187395808.0,209661424.0,7.54,-22265616.0,-0.8,-106194736.0,-3.82,-81201088.0,-2.92,1593675583,6.73,-,-,-
44,311.87,12.18,688318,1,财富趋势,185053601.0,119938465.0,7.84,65115136.0,4.25,-169410880.0,-11.07,-15642717.0,-1.02,1593675589,12.09,-,-,-
45,27.38,10.0,300831,0,派瑞股份,182598471.0,146700267.0,14.51,35898204.0,3.55,-94934656.0,-9.39,-87663800.0,-8.67,1593675243,18.06,-,-,-
46,21.9,8.2,300059,0,东方财富,171100720.0,160344208.0,1.38,10756512.0,0.09,-124094288.0,-1.07,-47006416.0,-0.4,1593675243,1.47,-,-,-
47,56.0,2.4,002460,0,赣锋锂业,170667415.0,164258119.0,9.0,6409296.0,0.35,-111203456.0,-6.09,-59463936.0,-3.26,1593675243,9.35,-,-,-
48,11.5,6.48,601108,1,财通证券,169473184.0,113734880.0,4.69,55738304.0,2.3,-71049632.0,-2.93,-98423536.0,-4.06,1593675601,6.99,-,-,-
49,6.48,1.89,601939,1,建设银行,166893216.0,180279872.0,12.97,-13386656.0,-0.96,-78682016.0,-5.66,-88211183.0,-6.35,1593675589,12.01,-,-,-
0,14.73,5.44,000338,0,潍柴动力,164598471.0,86429143.0,4.55,78169328.0,4.12,-66376208.0,-3.5,-98222272.0,-5.18,1593675243,8.67,-,-,-
1,20.69,4.49,600895,1,张江高科,158610722.0,161304402.0,9.86,-2693680.0,-0.16,-67298800.0,-4.12,-91311936.0,-5.58,1593675587,9.7,-,-,-
2,9.03,7.5,601555,1,东吴证券,157478823.0,59457623.0,4.56,98021200.0,7.52,-55945648.0,-4.29,-101533173.0,-7.79,1593675593,12.09,-,-,-
3,23.17,7.92,601696,1,中银证券,155684258.0,46688530.0,2.76,108995728.0,6.44,-37346016.0,-2.21,-118338256.0,-6.99,1593675586,9.2,-,-,-
4,4.78,8.14,000750,0,国海证券,154107809.0,139784209.0,10.54,14323600.0,1.08,-102277872.0,-7.71,-51829920.0,-3.91,1593675243,11.62,-,-,-
