,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
0,28.09,7.46,000002,0,万  科Ａ,1080380400.0,1044376560.0,14.66,36003840.0,0.51,-538415488.0,-7.56,-541964912.0,-7.61,1593588843,15.17,-,-,-
1,11.35,8.2,002400,0,省广集团,916946928.0,1260462752.0,16.91,-343515824.0,-4.61,-506373088.0,-6.79,-410573824.0,-5.51,1593588843,12.3,-,-,-
2,80.03,10.01,002049,0,紫光国微,900045888.0,1112541568.0,22.13,-212495680.0,-4.23,-616690752.0,-12.27,-283355136.0,-5.64,1593588843,17.9,-,-,-
3,32.12,5.83,002415,0,海康威视,819521392.0,904724480.0,25.19,-85203088.0,-2.37,-388040816.0,-10.81,-431480560.0,-12.02,1593588843,22.82,-,-,-
4,100.23,10.0,000568,0,泸州老窖,791721200.0,890812800.0,20.59,-99091600.0,-2.29,-510431696.0,-11.8,-281289520.0,-6.5,1593588843,18.3,-,-,-
5,15.9,7.58,600048,1,保利地产,585799776.0,705193360.0,20.95,-119393584.0,-3.55,-265154416.0,-7.88,-320645376.0,-9.52,1593589204,17.4,-,-,-
6,73.5,2.94,601318,1,中国平安,584079184.0,575900752.0,8.2,8178432.0,0.12,-266658384.0,-3.79,-317420800.0,-4.52,1593589178,8.31,-,-,-
7,24.72,2.53,600030,1,中信证券,460568976.0,553763680.0,12.37,-93194704.0,-2.08,-246742224.0,-5.51,-213826752.0,-4.77,1593589188,10.28,-,-,-
8,34.79,3.17,600036,1,招商银行,457476464.0,315586704.0,11.51,141889760.0,5.18,-198664656.0,-7.25,-258811808.0,-9.44,1593589181,16.69,-,-,-
9,62.44,4.43,000333,0,美的集团,444315584.0,608132656.0,22.36,-163817072.0,-6.02,-287742448.0,-10.58,-156573152.0,-5.76,1593588843,16.34,-,-,-
10,19.38,3.3,600031,1,三一重工,407329075.0,317126035.0,15.49,90203040.0,4.41,-169871280.0,-8.3,-237457808.0,-11.6,1593589202,19.9,-,-,-
11,1494.27,2.15,600519,1,贵州茅台,399500880.0,620201056.0,10.77,-220700176.0,-3.83,-397983296.0,-6.91,-1517585.0,-0.03,1593589180,6.94,-,-,-
12,55.39,4.69,600585,1,海螺水泥,347278688.0,223728560.0,7.21,123550128.0,3.98,-181087712.0,-5.84,-166190992.0,-5.36,1593589201,11.2,-,-,-
13,4.89,2.52,601668,1,中国建筑,331642864.0,298365456.0,19.2,33277408.0,2.14,-175671538.0,-11.3,-155971347.0,-10.04,1593589175,21.34,-,-,-
14,10.9,9.99,601878,1,浙商证券,314816689.0,348998321.0,21.68,-34181632.0,-2.12,-154521904.0,-9.6,-160294768.0,-9.96,1593589196,19.56,-,-,-
15,31.89,2.44,600887,1,伊利股份,303550560.0,182624544.0,7.75,120926016.0,5.13,-198081440.0,-8.4,-105469136.0,-4.47,1593589189,12.88,-,-,-
16,110.92,5.5,002304,0,洋河股份,299701876.0,224500964.0,12.24,75200912.0,4.1,-202298768.0,-11.03,-97403120.0,-5.31,1593588843,16.33,-,-,-
