,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
14,10.04,0.2,300733,0,西菱动力,24847.0,0.0,0.0,24847.0,0.25,-264569.0,-2.66,239722.0,2.41,1592981448,0.25,-,-,-
15,7.0,1.6,600539,1,ST狮头,23503.0,0.0,0.0,23503.0,0.59,-201308.0,-5.05,177805.0,4.46,1592981432,0.59,-,-,-
16,7.72,0.0,002403,0,爱仕达,22290.0,0.0,0.0,22290.0,0.36,-500244.0,-8.15,477954.0,7.79,1592981457,0.36,-,-,-
17,2.56,1.19,300197,0,铁汉生态,22117.0,3014704.0,6.76,-2992587.0,-6.71,-2196606.0,-4.92,2174490.0,4.87,1592981460,0.05,-,-,-
18,5.52,0.18,002357,0,富临运业,20276.0,0.0,0.0,20276.0,0.22,1517701.0,16.29,-1537978.0,-16.51,1592981451,0.22,-,-,-
19,5.3,0.19,000627,0,天茂集团,16282.0,-3610263.0,-4.89,3626545.0,4.91,-69870.0,-0.09,53589.0,0.07,1592981460,0.02,-,-,-
20,0.261,-0.38,900919,1,绿庭B股,15582.0,0.0,0.0,15582.0,5.84,-13484.0,-5.05,-2099.0,-0.79,1592981459,5.84,-,-,-
21,6.96,-5.05,600671,1,*ST目药,11845.0,0.0,0.0,11845.0,0.34,-590180.0,-16.99,578334.0,16.65,1592981436,0.34,-,-,-
22,5.8,0.35,300419,0,浩丰科技,11315.0,-42705.0,-0.12,54020.0,0.15,-868199.0,-2.34,856884.0,2.31,1592981460,0.03,-,-,-
23,5.14,0.0,002686,0,亿利达,10676.0,0.0,0.0,10676.0,0.21,-186920.0,-3.59,176244.0,3.39,1592981454,0.21,-,-,-
24,4.94,0.41,600151,1,航天机电,10127.0,-1021428.0,-3.19,1031555.0,3.22,-760547.0,-2.37,750421.0,2.34,1592981459,0.03,-,-,-
25,3.97,0.51,002564,0,天沃科技,10056.0,0.0,0.0,10056.0,0.1,-1443802.0,-14.62,1433746.0,14.52,1592981460,0.1,-,-,-
26,14.19,0.14,603898,1,好莱客,9889.0,0.0,0.0,9889.0,0.13,554993.0,7.47,-564882.0,-7.61,1592981454,0.13,-,-,-
27,4.97,0.61,002290,0,*ST中科,9451.0,0.0,0.0,9451.0,0.3,3779.0,0.12,-13230.0,-0.42,1592981457,0.3,-,-,-
28,6.41,0.16,600461,1,洪城水业,7866.0,0.0,0.0,7866.0,0.04,-909540.0,-4.62,901673.0,4.58,1592981461,0.04,-,-,-
29,123.35,0.26,002959,0,小熊电器,4517.0,33769.0,0.02,-29252.0,-0.01,-3537846.0,-1.69,3533329.0,1.69,1592981460,0.0,-,-,-
30,15.96,-0.13,603586,1,金麒麟,3192.0,0.0,0.0,3192.0,0.05,-271316.0,-3.99,268124.0,3.94,1592981459,0.05,-,-,-
31,0.642,0.31,900942,1,黄山Ｂ股,3140.0,0.0,0.0,3140.0,1.04,31852.0,10.55,-34994.0,-11.59,1592981450,1.04,-,-,-
32,0.739,1.23,900923,1,百联Ｂ股,1472.0,0.0,0.0,1472.0,0.51,8318.0,2.87,-9790.0,-3.38,1592981461,0.51,-,-,-
33,2.73,1.49,002502,0,*ST鼎龙,1440.0,0.0,0.0,1440.0,0.03,182857.0,3.34,-184297.0,-3.36,1592981460,0.03,-,-,-
34,11.33,1.25,300460,0,惠伦晶体,492.0,47237.0,0.06,-46745.0,-0.06,-106290.0,-0.13,105797.0,0.13,1592981454,0.0,-,-,-
35,0.097,-1.02,900955,1,*ST海创B,0.0,0.0,0.0,0.0,0.0,3324.0,15.38,-3324.0,-15.38,1592981458,0.0,-,-,-
36,0.214,0.47,900952,1,锦港Ｂ股,0.0,0.0,0.0,0.0,0.0,9126.0,19.88,-9126.0,-19.88,1592981452,0.0,-,-,-
37,0.216,-0.46,900947,1,振华Ｂ股,0.0,0.0,0.0,0.0,0.0,-12905.0,-14.6,12905.0,14.6,1592981456,0.0,-,-,-
38,0.115,-2.54,900946,1,ST天雁B,0.0,0.0,0.0,0.0,0.0,2201.0,7.13,-2201.0,-7.13,1592981448,0.0,-,-,-
