,stock-price,td-change,stock-code,stock-code-prefix,stock-name,main-fund,super-fund,super-percent,big-fund,big-percent,mid-fund,mid-percent,small-fund,small-percent,unknow-code1,main_percent,f204,f205,f206
0,82.21,8.61,688981,1,中芯国际-U,2409882544.0,2710636144.0,21.8,-300753600.0,-2.42,-1289585360.0,-10.37,-1120297312.0,-9.01,1596181189,19.38,-,-,-
1,11.86,10.02,002600,0,领益智造,779013648.0,739364944.0,24.86,39648704.0,1.33,-407034768.0,-13.69,-371978880.0,-12.51,1596180843,26.2,-,-,-
2,208.49,10.0,002371,0,北方华创,544639552.0,600379808.0,22.21,-55740256.0,-2.06,-315512368.0,-11.67,-229127200.0,-8.47,1596180843,20.15,-,-,-
3,58.59,3.52,002475,0,立讯精密,498849664.0,606995600.0,7.86,-108145936.0,-1.4,-350878832.0,-4.54,-147970816.0,-1.92,1596180843,6.46,-,-,-
4,80.86,10.0,300142,0,沃森生物,464973520.0,850780336.0,17.26,-385806816.0,-7.83,-358658880.0,-7.28,-106314656.0,-2.16,1596180843,9.43,-,-,-
5,55.31,10.0,300136,0,信维通信,430830832.0,576797664.0,16.53,-145966832.0,-4.18,-285520992.0,-8.18,-145309840.0,-4.16,1596180843,12.35,-,-,-
6,9.01,10.01,002400,0,省广集团,409401786.0,436749114.0,19.22,-27347328.0,-1.2,-212275696.0,-9.34,-197126080.0,-8.67,1596180843,18.01,-,-,-
7,60.2,4.13,300014,0,亿纬锂能,392732080.0,420219056.0,13.47,-27486976.0,-0.88,-237369664.0,-7.61,-155362432.0,-4.98,1596180843,12.59,-,-,-
8,27.37,10.01,002138,0,顺络电子,373923310.0,387903806.0,23.16,-13980496.0,-0.83,-216086304.0,-12.9,-157836992.0,-9.42,1596180843,22.33,-,-,-
9,42.7,9.8,002241,0,歌尔股份,362047616.0,531367456.0,10.12,-169319840.0,-3.22,-236479904.0,-4.5,-125567712.0,-2.39,1596180843,6.89,-,-,-
10,15.22,9.97,002425,0,凯撒文化,357240096.0,309163232.0,12.0,48076864.0,1.87,-190866416.0,-7.41,-166373664.0,-6.46,1596180843,13.86,-,-,-
11,58.62,10.0,002626,0,金达威,339478384.0,475115088.0,14.63,-135636704.0,-4.18,-219666080.0,-6.77,-119812304.0,-3.69,1596180843,10.46,-,-,-
12,4.33,4.59,601099,1,太平洋,322670288.0,176121408.0,6.18,146548880.0,5.14,-137548928.0,-4.83,-185121376.0,-6.5,1596181177,11.32,-,-,-
13,85.77,10.0,300856,0,科思股份,312110424.0,204225915.0,18.21,107884509.0,9.62,-197304592.0,-17.59,-114805817.0,-10.24,1596180843,27.83,-,-,-
14,44.53,6.33,600584,1,长电科技,307093488.0,327362416.0,6.03,-20268928.0,-0.37,-175843536.0,-3.24,-131249952.0,-2.42,1596181196,5.65,-,-,-
15,220.39,5.89,688012,1,中微公司,264396704.0,96003616.0,4.95,168393088.0,8.68,-249307296.0,-12.86,-15089400.0,-0.78,1596181175,13.64,-,-,-
16,16.71,10.01,600095,1,哈高科,261185183.0,292395343.0,15.47,-31210160.0,-1.65,-158681968.0,-8.4,-102503232.0,-5.42,1596181201,13.82,-,-,-
17,126.84,2.31,002049,0,紫光国微,237409872.0,180060096.0,4.86,57349776.0,1.55,-147930032.0,-3.99,-89479840.0,-2.41,1596180843,6.41,-,-,-
18,18.3,9.58,600988,1,赤峰黄金,237158416.0,121162848.0,5.01,115995568.0,4.8,-75352464.0,-3.12,-161805936.0,-6.69,1596181187,9.81,-,-,-
19,36.63,1.69,600887,1,伊利股份,231551216.0,157572736.0,6.02,73978480.0,2.83,-178387664.0,-6.82,-53163552.0,-2.03,1596181189,8.85,-,-,-
20,17.02,10.02,002945,0,华林证券,222931964.0,219449251.0,48.84,3482713.0,0.78,-120151522.0,-26.74,-102780442.0,-22.88,1596180843,49.62,-,-,-
21,18.3,3.27,000066,0,中国长城,220104672.0,261164304.0,8.44,-41059632.0,-1.33,-112631360.0,-3.64,-107473296.0,-3.47,1596180843,7.12,-,-,-
22,43.01,4.01,600547,1,山东黄金,215345264.0,96506192.0,3.39,118839072.0,4.18,-121545984.0,-4.27,-93799296.0,-3.3,1596181190,7.57,-,-,-
23,29.35,7.0,002384,0,东山精密,210504880.0,380211568.0,12.6,-169706688.0,-5.63,-128596960.0,-4.26,-81907920.0,-2.71,1596180843,6.98,-,-,-
24,7.47,8.89,300303,0,聚飞光电,208069359.0,172877871.0,12.91,35191488.0,2.63,-95700448.0,-7.14,-112368896.0,-8.39,1596180843,15.53,-,-,-
25,136.76,228.91,688311,1,N盟升,197245466.0,145856154.0,4.86,51389312.0,1.71,-55013216.0,-1.83,-142232272.0,-4.74,1596181201,6.57,-,-,-
26,13.0,9.7,002202,0,金风科技,197214352.0,254349360.0,6.11,-57135008.0,-1.37,-152006512.0,-3.65,-45207856.0,-1.09,1596180843,4.74,-,-,-
27,212.17,3.32,300750,0,宁德时代,188947152.0,290958928.0,6.65,-102011776.0,-2.33,-98546112.0,-2.25,-90401024.0,-2.06,1596180843,4.32,-,-,-
28,26.94,2.12,600703,1,三安光电,184796800.0,203097920.0,6.78,-18301120.0,-0.61,-102309520.0,-3.42,-82487296.0,-2.76,1596181199,6.17,-,-,-
29,15.08,9.99,300030,0,阳普医疗,182570463.0,161458547.0,26.06,21111916.0,3.41,-99295056.0,-16.03,-83275407.0,-13.44,1596180843,29.47,-,-,-
30,8.47,10.0,000421,0,南京公用,181780477.0,150915496.0,26.9,30864981.0,5.5,-98072446.0,-17.48,-83708032.0,-14.92,1596180843,32.41,-,-,-
31,13.24,7.12,600884,1,杉杉股份,181606290.0,158953682.0,13.23,22652608.0,1.89,-77615744.0,-6.46,-103990548.0,-8.65,1596181187,15.11,-,-,-
32,14.72,6.13,000878,0,云南铜业,168095111.0,134564535.0,9.28,33530576.0,2.31,-88494816.0,-6.1,-79600304.0,-5.49,1596180843,11.6,-,-,-
33,5.85,3.54,601899,1,紫金矿业,165164176.0,158608592.0,7.88,6555584.0,0.33,-55894112.0,-2.78,-109270064.0,-5.43,1596181193,8.2,-,-,-
34,16.74,9.99,601108,1,财通证券,164991360.0,244308912.0,3.83,-79317552.0,-1.24,-96586176.0,-1.52,-68405168.0,-1.07,1596181201,2.59,-,-,-
35,34.8,0.69,600036,1,招商银行,155567296.0,194070528.0,5.61,-38503232.0,-1.11,-182477616.0,-5.28,26910320.0,0.78,1596181181,4.5,-,-,-
36,49.12,10.01,603718,1,海利生物,155345654.0,178908582.0,16.37,-23562928.0,-2.16,-94414068.0,-8.64,-60931580.0,-5.58,1596181177,14.22,-,-,-
37,32.85,4.62,300433,0,蓝思科技,152900656.0,151192016.0,3.81,1708640.0,0.04,-94734272.0,-2.39,-58166384.0,-1.47,1596180843,3.85,-,-,-
38,29.96,1.35,600030,1,中信证券,145395664.0,226495712.0,3.34,-81100048.0,-1.19,-133733968.0,-1.97,-11661712.0,-0.17,1596181189,2.14,-,-,-
39,243.0,8.82,601888,1,中国中免,142335040.0,292360336.0,5.27,-150025296.0,-2.7,-120453872.0,-2.17,-21881184.0,-0.39,1596181185,2.56,-,-,-
40,4.67,1.74,000725,0,京东方Ａ,141166208.0,109953568.0,3.47,31212640.0,0.98,-116919728.0,-3.69,-24246480.0,-0.76,1596180843,4.45,-,-,-
41,25.07,10.0,000501,0,鄂武商Ａ,140066541.0,214505181.0,13.91,-74438640.0,-4.83,-94720048.0,-6.14,-45346465.0,-2.94,1596180843,9.08,-,-,-
42,19.45,3.96,002456,0,欧菲光,138028336.0,94566400.0,2.72,43461936.0,1.25,-97839040.0,-2.82,-40189312.0,-1.16,1596180843,3.97,-,-,-
