,f12,f13,f14,f62
0,BK0737,90,软件服务,1779053040.0
1,BK0451,90,房地产,738578384.0
2,BK0459,90,电子元件,656092416.0
3,BK0473,90,券商信托,588633088.0
4,BK0447,90,电子信息,443789824.0
5,BK0482,90,商业百货,350379456.0
6,BK0738,90,多元金融,232464096.0
7,BK0448,90,通讯行业,230307488.0
8,BK0735,90,安防设备,221406592.0
9,BK0477,90,酿酒行业,156720368.0
10,BK0545,90,机械行业,144882400.0
11,BK0537,90,材料行业,83344896.0
12,BK0727,90,医疗行业,68384912.0
13,BK0436,90,纺织服装,44488429.0
14,BK0484,90,国际贸易,43130248.0
15,BK0450,90,港口水运,37436230.0
16,BK0420,90,民航机场,34624920.0
17,BK0726,90,园林工程,28859088.0
18,BK0739,90,金属制品,23318496.0
19,BK0734,90,珠宝首饰,18629885.0
20,BK0728,90,环保工程,14283369.0
21,BK0421,90,高速公路,13160944.0
22,BK0471,90,化纤行业,10855204.0
23,BK0539,90,综合行业,8183430.0
24,BK0429,90,交运设备,-247522.0
25,BK0440,90,工艺商品,-4145194.0
26,BK0476,90,木业家具,-14311185.0
27,BK0433,90,农牧饲渔,-15137216.0
28,BK0458,90,仪器仪表,-32156451.0
29,BK0427,90,公用事业,-32250877.0
30,BK0478,90,有色金属,-34429360.0
31,BK0731,90,化肥行业,-35415661.0
32,BK0740,90,文教休闲,-37162539.0
33,BK0454,90,塑胶制品,-37235365.0
34,BK0732,90,贵金属,-48540944.0
35,BK0470,90,造纸印刷,-53222474.0
36,BK0729,90,船舶制造,-56261902.0
37,BK0730,90,农药兽药,-57873797.0
38,BK0464,90,石油行业,-60425341.0
39,BK0725,90,装修装饰,-75456802.0
40,BK0733,90,包装材料,-88738101.0
41,BK0480,90,航天航空,-118375168.0
42,BK0425,90,工程建设,-131332342.0
43,BK0481,90,汽车行业,-131871648.0
44,BK0428,90,电力行业,-144589906.0
45,BK0437,90,煤炭采选,-155925940.0
46,BK0538,90,化工行业,-176479136.0
47,BK0736,90,电信运营,-191003869.0
48,BK0457,90,输配电气,-217605136.0
49,BK0438,90,食品饮料,-227491760.0
50,BK0485,90,旅游酒店,-241047120.0
51,BK0546,90,玻璃陶瓷,-249957024.0
52,BK0474,90,保险,-253415696.0
53,BK0456,90,家电行业,-302782208.0
54,BK0910,90,专用设备,-347831504.0
55,BK0422,90,交运物流,-382353744.0
56,BK0424,90,水泥建材,-400488560.0
57,BK0479,90,钢铁行业,-490615808.0
58,BK0486,90,文化传媒,-684953136.0
59,BK0475,90,银行,-702345648.0
60,BK0465,90,医药制造,-1180606976.0
