,f12,f13,f14,f62
0,BK0433,90,农牧饲渔,238352784.0
1,BK0484,90,国际贸易,236507445.0
2,BK0726,90,园林工程,139767405.0
3,BK0438,90,食品饮料,18615072.0
4,BK0725,90,装修装饰,11249083.0
5,BK0427,90,公用事业,743796.0
6,BK0740,90,文教休闲,-1567632.0
7,BK0440,90,工艺商品,-12490519.0
8,BK0450,90,港口水运,-16403618.0
9,BK0421,90,高速公路,-22193559.0
10,BK0734,90,珠宝首饰,-36831266.0
11,BK0454,90,塑胶制品,-40022320.0
12,BK0470,90,造纸印刷,-45390898.0
13,BK0728,90,环保工程,-79202662.0
14,BK0436,90,纺织服装,-92727840.0
15,BK0731,90,化肥行业,-112636334.0
16,BK0730,90,农药兽药,-120946840.0
17,BK0428,90,电力行业,-122788092.0
18,BK0733,90,包装材料,-128020197.0
19,BK0729,90,船舶制造,-139953291.0
20,BK0471,90,化纤行业,-140040384.0
21,BK0464,90,石油行业,-149408461.0
22,BK0539,90,综合行业,-150192562.0
23,BK0735,90,安防设备,-161072416.0
24,BK0437,90,煤炭采选,-163604494.0
25,BK0429,90,交运设备,-188652464.0
26,BK0485,90,旅游酒店,-208917152.0
27,BK0546,90,玻璃陶瓷,-239476793.0
28,BK0736,90,电信运营,-249597147.0
29,BK0486,90,文化传媒,-261719648.0
30,BK0479,90,钢铁行业,-273855456.0
31,BK0476,90,木业家具,-282845735.0
32,BK0738,90,多元金融,-295495238.0
33,BK0545,90,机械行业,-299109200.0
34,BK0457,90,输配电气,-335682224.0
35,BK0727,90,医疗行业,-344862848.0
36,BK0739,90,金属制品,-353088144.0
37,BK0458,90,仪器仪表,-357032512.0
38,BK0482,90,商业百货,-367274672.0
39,BK0465,90,医药制造,-387840256.0
40,BK0425,90,工程建设,-413969984.0
41,BK0422,90,交运物流,-420531968.0
42,BK0538,90,化工行业,-434076912.0
43,BK0480,90,航天航空,-483288384.0
44,BK0732,90,贵金属,-496897619.0
45,BK0424,90,水泥建材,-497566608.0
46,BK0420,90,民航机场,-526593907.0
47,BK0537,90,材料行业,-702340944.0
48,BK0474,90,保险,-705096288.0
49,BK0448,90,通讯行业,-813456688.0
50,BK0447,90,电子信息,-816400880.0
51,BK0451,90,房地产,-819009632.0
52,BK0473,90,券商信托,-859768688.0
53,BK0910,90,专用设备,-1006229120.0
54,BK0478,90,有色金属,-1086564848.0
55,BK0475,90,银行,-1123091504.0
56,BK0456,90,家电行业,-1306234400.0
57,BK0481,90,汽车行业,-1511478944.0
58,BK0737,90,软件服务,-1576096752.0
59,BK0477,90,酿酒行业,-2137941792.0
60,BK0459,90,电子元件,-7184401920.0
