,f12,f13,f14,f62
0,BK0727,90,医疗行业,585040432.0
1,BK0734,90,珠宝首饰,19364451.0
2,BK0484,90,国际贸易,7494455.0
3,BK0421,90,高速公路,-4593938.0
4,BK0440,90,工艺商品,-8097488.0
5,BK0725,90,装修装饰,-8300002.0
6,BK0485,90,旅游酒店,-16996880.0
7,BK0726,90,园林工程,-37185216.0
8,BK0428,90,电力行业,-39851024.0
9,BK0731,90,化肥行业,-42826545.0
10,BK0470,90,造纸印刷,-60621527.0
11,BK0429,90,交运设备,-70866043.0
12,BK0740,90,文教休闲,-81122018.0
13,BK0735,90,安防设备,-82101280.0
14,BK0433,90,农牧饲渔,-113797968.0
15,BK0730,90,农药兽药,-115845510.0
16,BK0729,90,船舶制造,-116733257.0
17,BK0454,90,塑胶制品,-121656042.0
18,BK0427,90,公用事业,-122164441.0
19,BK0732,90,贵金属,-124611808.0
20,BK0733,90,包装材料,-125721051.0
21,BK0438,90,食品饮料,-134668000.0
22,BK0539,90,综合行业,-166251741.0
23,BK0476,90,木业家具,-175313147.0
24,BK0480,90,航天航空,-185048304.0
25,BK0728,90,环保工程,-186482448.0
26,BK0450,90,港口水运,-204137885.0
27,BK0436,90,纺织服装,-217516174.0
28,BK0437,90,煤炭采选,-228016219.0
29,BK0458,90,仪器仪表,-229250269.0
30,BK0471,90,化纤行业,-253804188.0
31,BK0546,90,玻璃陶瓷,-260755296.0
32,BK0736,90,电信运营,-281375902.0
33,BK0420,90,民航机场,-303725147.0
34,BK0739,90,金属制品,-358100672.0
35,BK0464,90,石油行业,-362468411.0
36,BK0482,90,商业百货,-437583440.0
37,BK0422,90,交运物流,-483045229.0
38,BK0479,90,钢铁行业,-527589616.0
39,BK0478,90,有色金属,-563974000.0
40,BK0425,90,工程建设,-567358496.0
41,BK0910,90,专用设备,-685072304.0
42,BK0738,90,多元金融,-686714097.0
43,BK0457,90,输配电气,-719980304.0
44,BK0456,90,家电行业,-794806336.0
45,BK0424,90,水泥建材,-845225056.0
46,BK0481,90,汽车行业,-909990640.0
47,BK0477,90,酿酒行业,-938587264.0
48,BK0537,90,材料行业,-943529936.0
49,BK0545,90,机械行业,-964892016.0
50,BK0451,90,房地产,-1025855216.0
51,BK0475,90,银行,-1151209552.0
52,BK0465,90,医药制造,-1415240704.0
53,BK0486,90,文化传媒,-1449230592.0
54,BK0538,90,化工行业,-1507890304.0
55,BK0474,90,保险,-1688036192.0
56,BK0448,90,通讯行业,-2406742480.0
57,BK0447,90,电子信息,-3815345808.0
58,BK0737,90,软件服务,-3971701088.0
59,BK0473,90,券商信托,-4564196400.0
60,BK0459,90,电子元件,-6204719104.0
