,f12,f13,f14,f62
0,BK0451,90,房地产,3028301312.0
1,BK0477,90,酿酒行业,1814742272.0
2,BK0473,90,券商信托,1808761088.0
3,BK0475,90,银行,1694719488.0
4,BK0474,90,保险,1135474464.0
5,BK0424,90,水泥建材,1046168288.0
6,BK0735,90,安防设备,867636944.0
7,BK0425,90,工程建设,822505600.0
8,BK0478,90,有色金属,599580320.0
9,BK0456,90,家电行业,532917184.0
10,BK0545,90,机械行业,401404592.0
11,BK0732,90,贵金属,166051280.0
12,BK0484,90,国际贸易,143759568.0
13,BK0437,90,煤炭采选,81796374.0
14,BK0725,90,装修装饰,56013300.0
15,BK0726,90,园林工程,54515291.0
16,BK0438,90,食品饮料,47054320.0
17,BK0476,90,木业家具,46021794.0
18,BK0421,90,高速公路,40561695.0
19,BK0422,90,交运物流,32122192.0
20,BK0733,90,包装材料,2769462.0
21,BK0440,90,工艺商品,-3329817.0
22,BK0731,90,化肥行业,-6932746.0
23,BK0734,90,珠宝首饰,-14421282.0
24,BK0420,90,民航机场,-15873619.0
25,BK0450,90,港口水运,-16696016.0
26,BK0428,90,电力行业,-19856882.0
27,BK0470,90,造纸印刷,-31169157.0
28,BK0471,90,化纤行业,-34294560.0
29,BK0729,90,船舶制造,-46336407.0
30,BK0736,90,电信运营,-49534512.0
31,BK0429,90,交运设备,-52766776.0
32,BK0738,90,多元金融,-60992400.0
33,BK0427,90,公用事业,-69443210.0
34,BK0486,90,文化传媒,-91942288.0
35,BK0457,90,输配电气,-95959904.0
36,BK0464,90,石油行业,-98348811.0
37,BK0433,90,农牧饲渔,-107223072.0
38,BK0480,90,航天航空,-118627984.0
39,BK0485,90,旅游酒店,-132278336.0
40,BK0539,90,综合行业,-134048256.0
41,BK0740,90,文教休闲,-163539846.0
42,BK0436,90,纺织服装,-168475919.0
43,BK0728,90,环保工程,-189026749.0
44,BK0458,90,仪器仪表,-220818132.0
45,BK0454,90,塑胶制品,-226873877.0
46,BK0730,90,农药兽药,-245627312.0
47,BK0739,90,金属制品,-286788960.0
48,BK0482,90,商业百货,-318551280.0
49,BK0546,90,玻璃陶瓷,-331448224.0
50,BK0479,90,钢铁行业,-522890848.0
51,BK0910,90,专用设备,-866538576.0
52,BK0481,90,汽车行业,-1037164096.0
53,BK0537,90,材料行业,-1045837232.0
54,BK0538,90,化工行业,-1571145632.0
55,BK0448,90,通讯行业,-2483632288.0
56,BK0727,90,医疗行业,-2519645584.0
57,BK0737,90,软件服务,-3816519424.0
58,BK0447,90,电子信息,-4174342912.0
59,BK0459,90,电子元件,-5716656896.0
60,BK0465,90,医药制造,-6214721536.0
