,f12,f13,f14,f62
0,BK0473,90,券商信托,9935184896.0
1,BK0475,90,银行,1788848896.0
2,BK0474,90,保险,1442025904.0
3,BK0459,90,电子元件,1285620224.0
4,BK0425,90,工程建设,865836272.0
5,BK0451,90,房地产,761192704.0
6,BK0478,90,有色金属,520319968.0
7,BK0545,90,机械行业,470789360.0
8,BK0422,90,交运物流,455200704.0
9,BK0457,90,输配电气,451300816.0
10,BK0464,90,石油行业,395960192.0
11,BK0420,90,民航机场,390294160.0
12,BK0437,90,煤炭采选,380927296.0
13,BK0450,90,港口水运,314226733.0
14,BK0738,90,多元金融,254875200.0
15,BK0482,90,商业百货,247521744.0
16,BK0480,90,航天航空,242231408.0
17,BK0546,90,玻璃陶瓷,240194320.0
18,BK0428,90,电力行业,215657472.0
19,BK0429,90,交运设备,211476668.0
20,BK0729,90,船舶制造,184675527.0
21,BK0735,90,安防设备,183132752.0
22,BK0427,90,公用事业,167943989.0
23,BK0424,90,水泥建材,145160288.0
24,BK0484,90,国际贸易,133729232.0
25,BK0731,90,化肥行业,117882235.0
26,BK0736,90,电信运营,75583952.0
27,BK0476,90,木业家具,69476670.0
28,BK0538,90,化工行业,53759136.0
29,BK0421,90,高速公路,44736993.0
30,BK0733,90,包装材料,43725872.0
31,BK0436,90,纺织服装,36295309.0
32,BK0454,90,塑胶制品,27712640.0
33,BK0734,90,珠宝首饰,27321850.0
34,BK0726,90,园林工程,6849157.0
35,BK0539,90,综合行业,-10966848.0
36,BK0440,90,工艺商品,-16582617.0
37,BK0470,90,造纸印刷,-22097792.0
38,BK0728,90,环保工程,-56582291.0
39,BK0725,90,装修装饰,-79185930.0
40,BK0471,90,化纤行业,-100140032.0
41,BK0448,90,通讯行业,-105024736.0
42,BK0485,90,旅游酒店,-109928368.0
43,BK0458,90,仪器仪表,-112653442.0
44,BK0479,90,钢铁行业,-138507872.0
45,BK0456,90,家电行业,-147470480.0
46,BK0739,90,金属制品,-171163856.0
47,BK0737,90,软件服务,-174590208.0
48,BK0740,90,文教休闲,-208221680.0
49,BK0730,90,农药兽药,-233648991.0
50,BK0910,90,专用设备,-308796336.0
51,BK0438,90,食品饮料,-311892496.0
52,BK0537,90,材料行业,-510433392.0
53,BK0447,90,电子信息,-517665536.0
54,BK0732,90,贵金属,-670230688.0
55,BK0477,90,酿酒行业,-1133247232.0
56,BK0481,90,汽车行业,-1143985920.0
57,BK0486,90,文化传媒,-1147378592.0
58,BK0727,90,医疗行业,-1552527536.0
59,BK0433,90,农牧饲渔,-1583886032.0
60,BK0465,90,医药制造,-4613119744.0
