,f12,f13,f14,f62
0,BK0475,90,银行,1020489552.0
1,BK0451,90,房地产,752724928.0
2,BK0459,90,电子元件,461682944.0
3,BK0732,90,贵金属,195511456.0
4,BK0456,90,家电行业,116264304.0
5,BK0539,90,综合行业,63154139.0
6,BK0735,90,安防设备,59750240.0
7,BK0427,90,公用事业,54343964.0
8,BK0734,90,珠宝首饰,42296779.0
9,BK0421,90,高速公路,146495.0
10,BK0440,90,工艺商品,-1512214.0
11,BK0726,90,园林工程,-3270640.0
12,BK0738,90,多元金融,-12816672.0
13,BK0546,90,玻璃陶瓷,-14486178.0
14,BK0420,90,民航机场,-27200981.0
15,BK0910,90,专用设备,-40957840.0
16,BK0464,90,石油行业,-41901843.0
17,BK0485,90,旅游酒店,-42046816.0
18,BK0450,90,港口水运,-49885242.0
19,BK0429,90,交运设备,-56486992.0
20,BK0428,90,电力行业,-77772149.0
21,BK0733,90,包装材料,-81368068.0
22,BK0424,90,水泥建材,-89721712.0
23,BK0545,90,机械行业,-95151680.0
24,BK0470,90,造纸印刷,-100617812.0
25,BK0731,90,化肥行业,-100920276.0
26,BK0437,90,煤炭采选,-107103370.0
27,BK0476,90,木业家具,-118703846.0
28,BK0422,90,交运物流,-127054025.0
29,BK0739,90,金属制品,-128574000.0
30,BK0484,90,国际贸易,-131247231.0
31,BK0729,90,船舶制造,-133393105.0
32,BK0725,90,装修装饰,-139770099.0
33,BK0471,90,化纤行业,-141220047.0
34,BK0728,90,环保工程,-195206850.0
35,BK0730,90,农药兽药,-206113984.0
36,BK0458,90,仪器仪表,-221122750.0
37,BK0425,90,工程建设,-229697152.0
38,BK0454,90,塑胶制品,-236706459.0
39,BK0740,90,文教休闲,-256623331.0
40,BK0479,90,钢铁行业,-306119072.0
41,BK0436,90,纺织服装,-318038986.0
42,BK0481,90,汽车行业,-323130208.0
43,BK0474,90,保险,-339836736.0
44,BK0736,90,电信运营,-367267603.0
45,BK0457,90,输配电气,-398912800.0
46,BK0438,90,食品饮料,-466789488.0
47,BK0482,90,商业百货,-577185632.0
48,BK0448,90,通讯行业,-632443184.0
49,BK0480,90,航天航空,-793743376.0
50,BK0478,90,有色金属,-822445216.0
51,BK0538,90,化工行业,-861104800.0
52,BK0727,90,医疗行业,-989201136.0
53,BK0477,90,酿酒行业,-999962384.0
54,BK0486,90,文化传媒,-1187663856.0
55,BK0537,90,材料行业,-1226165008.0
56,BK0433,90,农牧饲渔,-1263113952.0
57,BK0737,90,软件服务,-1285608528.0
58,BK0447,90,电子信息,-1687052480.0
59,BK0473,90,券商信托,-1738244544.0
60,BK0465,90,医药制造,-4445917952.0
