,f12,f13,f14,f62
0,BK0459,90,电子元件,7360863744.0
1,BK0737,90,软件服务,647841696.0
2,BK0732,90,贵金属,619178832.0
3,BK0486,90,文化传媒,537329904.0
4,BK0727,90,医疗行业,458537408.0
5,BK0910,90,专用设备,374810592.0
6,BK0473,90,券商信托,316749824.0
7,BK0485,90,旅游酒店,143223152.0
8,BK0447,90,电子信息,137312768.0
9,BK0730,90,农药兽药,119909952.0
10,BK0427,90,公用事业,90541220.0
11,BK0725,90,装修装饰,75524162.0
12,BK0738,90,多元金融,63975136.0
13,BK0424,90,水泥建材,41196240.0
14,BK0734,90,珠宝首饰,33644545.0
15,BK0539,90,综合行业,25924208.0
16,BK0428,90,电力行业,20395744.0
17,BK0440,90,工艺商品,13618363.0
18,BK0421,90,高速公路,10806414.0
19,BK0457,90,输配电气,10447056.0
20,BK0476,90,木业家具,8425485.0
21,BK0733,90,包装材料,3346960.0
22,BK0740,90,文教休闲,-4537146.0
23,BK0484,90,国际贸易,-28589038.0
24,BK0470,90,造纸印刷,-56136753.0
25,BK0731,90,化肥行业,-59340653.0
26,BK0471,90,化纤行业,-83847280.0
27,BK0479,90,钢铁行业,-95833168.0
28,BK0458,90,仪器仪表,-100248304.0
29,BK0726,90,园林工程,-101113854.0
30,BK0546,90,玻璃陶瓷,-110027216.0
31,BK0436,90,纺织服装,-114389888.0
32,BK0537,90,材料行业,-118256640.0
33,BK0420,90,民航机场,-118561037.0
34,BK0438,90,食品饮料,-120433888.0
35,BK0739,90,金属制品,-135543552.0
36,BK0736,90,电信运营,-152357054.0
37,BK0429,90,交运设备,-155813728.0
38,BK0454,90,塑胶制品,-165072576.0
39,BK0450,90,港口水运,-183196846.0
40,BK0728,90,环保工程,-192098064.0
41,BK0422,90,交运物流,-250447168.0
42,BK0425,90,工程建设,-250751536.0
43,BK0437,90,煤炭采选,-359213301.0
44,BK0464,90,石油行业,-393566784.0
45,BK0482,90,商业百货,-488600112.0
46,BK0474,90,保险,-514840176.0
47,BK0735,90,安防设备,-539328816.0
48,BK0538,90,化工行业,-552997984.0
49,BK0451,90,房地产,-610635152.0
50,BK0729,90,船舶制造,-619993520.0
51,BK0481,90,汽车行业,-624187616.0
52,BK0448,90,通讯行业,-739979392.0
53,BK0478,90,有色金属,-917292336.0
54,BK0475,90,银行,-956545200.0
55,BK0477,90,酿酒行业,-1124231680.0
56,BK0545,90,机械行业,-1146128176.0
57,BK0480,90,航天航空,-1543141136.0
58,BK0456,90,家电行业,-1609054736.0
59,BK0433,90,农牧饲渔,-2096803632.0
60,BK0465,90,医药制造,-3647991808.0
