,f12,f13,f14,f62
0,BK0459,90,电子元件,1853400832.0
1,BK0448,90,通讯行业,1651732144.0
2,BK0478,90,有色金属,1559321312.0
3,BK0473,90,券商信托,849904304.0
4,BK0479,90,钢铁行业,463135376.0
5,BK0727,90,医疗行业,361605248.0
6,BK0424,90,水泥建材,331877568.0
7,BK0725,90,装修装饰,262999910.0
8,BK0537,90,材料行业,237291120.0
9,BK0910,90,专用设备,229146144.0
10,BK0425,90,工程建设,228751264.0
11,BK0457,90,输配电气,169618144.0
12,BK0476,90,木业家具,156892458.0
13,BK0726,90,园林工程,129228097.0
14,BK0739,90,金属制品,123312384.0
15,BK0474,90,保险,91272352.0
16,BK0437,90,煤炭采选,86455998.0
17,BK0730,90,农药兽药,85452115.0
18,BK0470,90,造纸印刷,84051443.0
19,BK0538,90,化工行业,71892496.0
20,BK0732,90,贵金属,66656688.0
21,BK0477,90,酿酒行业,66011840.0
22,BK0422,90,交运物流,64588912.0
23,BK0450,90,港口水运,44989153.0
24,BK0731,90,化肥行业,38556894.0
25,BK0464,90,石油行业,24045792.0
26,BK0438,90,食品饮料,18368608.0
27,BK0427,90,公用事业,14498030.0
28,BK0736,90,电信运营,9871356.0
29,BK0485,90,旅游酒店,9500976.0
30,BK0451,90,房地产,3580256.0
31,BK0734,90,珠宝首饰,2997629.0
32,BK0429,90,交运设备,1602187.0
33,BK0421,90,高速公路,-902930.0
34,BK0440,90,工艺商品,-1274584.0
35,BK0545,90,机械行业,-1340800.0
36,BK0728,90,环保工程,-7255488.0
37,BK0484,90,国际贸易,-7682576.0
38,BK0729,90,船舶制造,-7874204.0
39,BK0735,90,安防设备,-11082048.0
40,BK0420,90,民航机场,-14077606.0
41,BK0458,90,仪器仪表,-16848057.0
42,BK0428,90,电力行业,-20764505.0
43,BK0733,90,包装材料,-28162100.0
44,BK0539,90,综合行业,-66431449.0
45,BK0738,90,多元金融,-75164398.0
46,BK0475,90,银行,-76067440.0
47,BK0546,90,玻璃陶瓷,-100262818.0
48,BK0737,90,软件服务,-104096656.0
49,BK0471,90,化纤行业,-116987900.0
50,BK0456,90,家电行业,-196452048.0
51,BK0454,90,塑胶制品,-218833241.0
52,BK0480,90,航天航空,-265510800.0
53,BK0436,90,纺织服装,-349478434.0
54,BK0740,90,文教休闲,-492468320.0
55,BK0447,90,电子信息,-522143776.0
56,BK0482,90,商业百货,-547296720.0
57,BK0481,90,汽车行业,-636319472.0
58,BK0433,90,农牧饲渔,-841517600.0
59,BK0486,90,文化传媒,-1113287488.0
60,BK0465,90,医药制造,-1231109632.0
