,f12,f13,f14,f62
0,BK0475,90,银行,1015712448.0
1,BK0451,90,房地产,733050736.0
2,BK0459,90,电子元件,595779584.0
3,BK0732,90,贵金属,202097712.0
4,BK0456,90,家电行业,108714976.0
5,BK0539,90,综合行业,73209076.0
6,BK0427,90,公用事业,54643390.0
7,BK0734,90,珠宝首饰,46471095.0
8,BK0735,90,安防设备,44457136.0
9,BK0726,90,园林工程,327494.0
10,BK0440,90,工艺商品,-2169134.0
11,BK0421,90,高速公路,-3320185.0
12,BK0546,90,玻璃陶瓷,-12342554.0
13,BK0738,90,多元金融,-13698128.0
14,BK0420,90,民航机场,-20180745.0
15,BK0485,90,旅游酒店,-24594610.0
16,BK0464,90,石油行业,-31433492.0
17,BK0450,90,港口水运,-47589445.0
18,BK0910,90,专用设备,-51157552.0
19,BK0429,90,交运设备,-51164703.0
20,BK0428,90,电力行业,-74837253.0
21,BK0733,90,包装材料,-82379224.0
22,BK0424,90,水泥建材,-93357888.0
23,BK0731,90,化肥行业,-94930284.0
24,BK0437,90,煤炭采选,-97102529.0
25,BK0470,90,造纸印刷,-100742778.0
26,BK0545,90,机械行业,-101393936.0
27,BK0476,90,木业家具,-118676969.0
28,BK0422,90,交运物流,-122233519.0
29,BK0729,90,船舶制造,-128830338.0
30,BK0471,90,化纤行业,-129512700.0
31,BK0484,90,国际贸易,-131978301.0
32,BK0739,90,金属制品,-132500832.0
33,BK0725,90,装修装饰,-142169107.0
34,BK0728,90,环保工程,-182562192.0
35,BK0730,90,农药兽药,-197544544.0
36,BK0458,90,仪器仪表,-211036405.0
37,BK0425,90,工程建设,-216052752.0
38,BK0454,90,塑胶制品,-229366909.0
39,BK0740,90,文教休闲,-242518138.0
40,BK0481,90,汽车行业,-295614656.0
41,BK0479,90,钢铁行业,-295908944.0
42,BK0436,90,纺织服装,-302196310.0
43,BK0474,90,保险,-320666768.0
44,BK0736,90,电信运营,-358761863.0
45,BK0457,90,输配电气,-403688096.0
46,BK0438,90,食品饮料,-464617744.0
47,BK0482,90,商业百货,-542749264.0
48,BK0448,90,通讯行业,-607727456.0
49,BK0480,90,航天航空,-774201888.0
50,BK0478,90,有色金属,-817700016.0
51,BK0538,90,化工行业,-828420208.0
52,BK0727,90,医疗行业,-985485568.0
53,BK0477,90,酿酒行业,-1008590464.0
54,BK0486,90,文化传媒,-1094463792.0
55,BK0537,90,材料行业,-1160023968.0
56,BK0433,90,农牧饲渔,-1216103136.0
57,BK0737,90,软件服务,-1260976464.0
58,BK0447,90,电子信息,-1642442368.0
59,BK0473,90,券商信托,-1698826848.0
60,BK0465,90,医药制造,-4358852864.0
