,f12,f13,f14,f62
0,BK0459,90,电子元件,4232295936.0
1,BK0448,90,通讯行业,2056373552.0
2,BK0537,90,材料行业,701061712.0
3,BK0478,90,有色金属,456241728.0
4,BK0437,90,煤炭采选,431419344.0
5,BK0473,90,券商信托,283610640.0
6,BK0425,90,工程建设,232569888.0
7,BK0736,90,电信运营,210578064.0
8,BK0726,90,园林工程,155193319.0
9,BK0735,90,安防设备,147713728.0
10,BK0447,90,电子信息,131382480.0
11,BK0479,90,钢铁行业,117574256.0
12,BK0450,90,港口水运,108594111.0
13,BK0429,90,交运设备,87624464.0
14,BK0739,90,金属制品,86605264.0
15,BK0733,90,包装材料,50115292.0
16,BK0428,90,电力行业,21320864.0
17,BK0421,90,高速公路,5169008.0
18,BK0738,90,多元金融,-1430260.0
19,BK0440,90,工艺商品,-2731969.0
20,BK0485,90,旅游酒店,-11889648.0
21,BK0470,90,造纸印刷,-23435192.0
22,BK0731,90,化肥行业,-24075640.0
23,BK0474,90,保险,-25697776.0
24,BK0477,90,酿酒行业,-26321072.0
25,BK0734,90,珠宝首饰,-37145689.0
26,BK0420,90,民航机场,-37732896.0
27,BK0433,90,农牧饲渔,-45815920.0
28,BK0725,90,装修装饰,-46911128.0
29,BK0464,90,石油行业,-55932656.0
30,BK0427,90,公用事业,-71304882.0
31,BK0484,90,国际贸易,-81881479.0
32,BK0471,90,化纤行业,-88313319.0
33,BK0457,90,输配电气,-94710096.0
34,BK0546,90,玻璃陶瓷,-109372808.0
35,BK0456,90,家电行业,-112630080.0
36,BK0481,90,汽车行业,-116246800.0
37,BK0545,90,机械行业,-123729392.0
38,BK0728,90,环保工程,-133310544.0
39,BK0729,90,船舶制造,-139736906.0
40,BK0730,90,农药兽药,-162435373.0
41,BK0476,90,木业家具,-191606474.0
42,BK0424,90,水泥建材,-213986880.0
43,BK0539,90,综合行业,-222803504.0
44,BK0458,90,仪器仪表,-242633750.0
45,BK0454,90,塑胶制品,-249890683.0
46,BK0538,90,化工行业,-292542992.0
47,BK0740,90,文教休闲,-326353305.0
48,BK0732,90,贵金属,-331996208.0
49,BK0422,90,交运物流,-369420784.0
50,BK0436,90,纺织服装,-402204368.0
51,BK0451,90,房地产,-508692976.0
52,BK0910,90,专用设备,-550030176.0
53,BK0438,90,食品饮料,-661038560.0
54,BK0475,90,银行,-909262992.0
55,BK0482,90,商业百货,-947301152.0
56,BK0480,90,航天航空,-1154036426.0
57,BK0737,90,软件服务,-1362909952.0
58,BK0727,90,医疗行业,-3185303392.0
59,BK0486,90,文化传媒,-3346054240.0
60,BK0465,90,医药制造,-8996172800.0
