,f12,f13,f14,f62
0,BK0481,90,汽车行业,1696024768.0
1,BK0737,90,软件服务,965759584.0
2,BK0447,90,电子信息,311722160.0
3,BK0537,90,材料行业,255081408.0
4,BK0546,90,玻璃陶瓷,213117291.0
5,BK0726,90,园林工程,128377651.0
6,BK0738,90,多元金融,123872607.0
7,BK0736,90,电信运营,113816007.0
8,BK0471,90,化纤行业,89186166.0
9,BK0473,90,券商信托,75435408.0
10,BK0458,90,仪器仪表,70215850.0
11,BK0740,90,文教休闲,9864971.0
12,BK0421,90,高速公路,5882979.0
13,BK0454,90,塑胶制品,4853313.0
14,BK0732,90,贵金属,-331360.0
15,BK0448,90,通讯行业,-8590640.0
16,BK0440,90,工艺商品,-9974234.0
17,BK0427,90,公用事业,-14294781.0
18,BK0734,90,珠宝首饰,-16654649.0
19,BK0910,90,专用设备,-19653904.0
20,BK0429,90,交运设备,-23829248.0
21,BK0731,90,化肥行业,-34616745.0
22,BK0485,90,旅游酒店,-34707488.0
23,BK0539,90,综合行业,-48716413.0
24,BK0725,90,装修装饰,-50942804.0
25,BK0538,90,化工行业,-51895744.0
26,BK0450,90,港口水运,-57426155.0
27,BK0729,90,船舶制造,-58695126.0
28,BK0484,90,国际贸易,-74436602.0
29,BK0728,90,环保工程,-87390478.0
30,BK0739,90,金属制品,-102216816.0
31,BK0428,90,电力行业,-108466092.0
32,BK0470,90,造纸印刷,-111470979.0
33,BK0480,90,航天航空,-119290960.0
34,BK0436,90,纺织服装,-121401909.0
35,BK0464,90,石油行业,-123562167.0
36,BK0479,90,钢铁行业,-126786896.0
37,BK0733,90,包装材料,-133971627.0
38,BK0478,90,有色金属,-156922144.0
39,BK0730,90,农药兽药,-172876880.0
40,BK0437,90,煤炭采选,-173349904.0
41,BK0735,90,安防设备,-187164579.0
42,BK0420,90,民航机场,-189689362.0
43,BK0486,90,文化传媒,-196014640.0
44,BK0476,90,木业家具,-221795262.0
45,BK0422,90,交运物流,-236623149.0
46,BK0545,90,机械行业,-237905200.0
47,BK0482,90,商业百货,-280911552.0
48,BK0457,90,输配电气,-307978320.0
49,BK0425,90,工程建设,-408601843.0
50,BK0451,90,房地产,-454021744.0
51,BK0727,90,医疗行业,-509939648.0
52,BK0456,90,家电行业,-750801680.0
53,BK0474,90,保险,-761946304.0
54,BK0424,90,水泥建材,-864970480.0
55,BK0477,90,酿酒行业,-1191025136.0
56,BK0438,90,食品饮料,-1250797744.0
57,BK0475,90,银行,-1340577616.0
58,BK0433,90,农牧饲渔,-1767824480.0
59,BK0465,90,医药制造,-2175059296.0
60,BK0459,90,电子元件,-3521015296.0
