,f12,f13,f14,f62
0,BK0473,90,券商信托,5728279040.0
1,BK0477,90,酿酒行业,1492890256.0
2,BK0481,90,汽车行业,960631104.0
3,BK0456,90,家电行业,580304336.0
4,BK0727,90,医疗行业,487242160.0
5,BK0438,90,食品饮料,377972128.0
6,BK0447,90,电子信息,336536336.0
7,BK0482,90,商业百货,294877712.0
8,BK0738,90,多元金融,259599506.0
9,BK0433,90,农牧饲渔,229617936.0
10,BK0725,90,装修装饰,150912382.0
11,BK0726,90,园林工程,124995866.0
12,BK0733,90,包装材料,106850984.0
13,BK0537,90,材料行业,102412160.0
14,BK0546,90,玻璃陶瓷,91685680.0
15,BK0539,90,综合行业,85231131.0
16,BK0470,90,造纸印刷,48579024.0
17,BK0735,90,安防设备,47120880.0
18,BK0485,90,旅游酒店,40099152.0
19,BK0421,90,高速公路,10314767.0
20,BK0450,90,港口水运,5552198.0
21,BK0440,90,工艺商品,-9724442.0
22,BK0480,90,航天航空,-10022715.0
23,BK0427,90,公用事业,-18046578.0
24,BK0734,90,珠宝首饰,-27177556.0
25,BK0458,90,仪器仪表,-31348447.0
26,BK0420,90,民航机场,-32885673.0
27,BK0739,90,金属制品,-39739824.0
28,BK0484,90,国际贸易,-40344102.0
29,BK0476,90,木业家具,-48794070.0
30,BK0471,90,化纤行业,-50827592.0
31,BK0729,90,船舶制造,-64515470.0
32,BK0731,90,化肥行业,-81420376.0
33,BK0730,90,农药兽药,-86896547.0
34,BK0732,90,贵金属,-90384688.0
35,BK0429,90,交运设备,-92585706.0
36,BK0428,90,电力行业,-93082635.0
37,BK0478,90,有色金属,-97183776.0
38,BK0454,90,塑胶制品,-102232373.0
39,BK0538,90,化工行业,-103698656.0
40,BK0457,90,输配电气,-123801792.0
41,BK0910,90,专用设备,-132374240.0
42,BK0740,90,文教休闲,-172800224.0
43,BK0425,90,工程建设,-203707392.0
44,BK0464,90,石油行业,-244183896.0
45,BK0437,90,煤炭采选,-244352673.0
46,BK0436,90,纺织服装,-275556704.0
47,BK0736,90,电信运营,-327112513.0
48,BK0474,90,保险,-337783200.0
49,BK0422,90,交运物流,-364225312.0
50,BK0424,90,水泥建材,-368557296.0
51,BK0451,90,房地产,-375573040.0
52,BK0459,90,电子元件,-395460096.0
53,BK0728,90,环保工程,-451607145.0
54,BK0545,90,机械行业,-665951024.0
55,BK0486,90,文化传媒,-762634480.0
56,BK0475,90,银行,-778383904.0
57,BK0448,90,通讯行业,-829038384.0
58,BK0479,90,钢铁行业,-840614896.0
59,BK0737,90,软件服务,-863469344.0
60,BK0465,90,医药制造,-1952508416.0
