,f12,f13,f14,f62
0,BK0475,90,银行,3555108096.0
1,BK0473,90,券商信托,3132555776.0
2,BK0478,90,有色金属,1913098192.0
3,BK0459,90,电子元件,1246002432.0
4,BK0480,90,航天航空,1202089680.0
5,BK0474,90,保险,1102035968.0
6,BK0425,90,工程建设,1019119552.0
7,BK0451,90,房地产,860362496.0
8,BK0448,90,通讯行业,733802496.0
9,BK0486,90,文化传媒,621461360.0
10,BK0538,90,化工行业,557448464.0
11,BK0422,90,交运物流,549540176.0
12,BK0456,90,家电行业,473980512.0
13,BK0732,90,贵金属,465047424.0
14,BK0910,90,专用设备,443689184.0
15,BK0464,90,石油行业,413253424.0
16,BK0429,90,交运设备,318847408.0
17,BK0735,90,安防设备,317344112.0
18,BK0737,90,软件服务,290092544.0
19,BK0420,90,民航机场,250405824.0
20,BK0450,90,港口水运,236720432.0
21,BK0428,90,电力行业,235977584.0
22,BK0482,90,商业百货,229620720.0
23,BK0433,90,农牧饲渔,227658096.0
24,BK0729,90,船舶制造,200582416.0
25,BK0484,90,国际贸易,200492304.0
26,BK0427,90,公用事业,124265470.0
27,BK0736,90,电信运营,113256784.0
28,BK0479,90,钢铁行业,103384624.0
29,BK0470,90,造纸印刷,97791680.0
30,BK0457,90,输配电气,97463888.0
31,BK0458,90,仪器仪表,76752976.0
32,BK0733,90,包装材料,75797440.0
33,BK0725,90,装修装饰,60688964.0
34,BK0421,90,高速公路,33668088.0
35,BK0730,90,农药兽药,26072112.0
36,BK0731,90,化肥行业,25028378.0
37,BK0734,90,珠宝首饰,9136990.0
38,BK0440,90,工艺商品,7187742.0
39,BK0437,90,煤炭采选,-1555328.0
40,BK0537,90,材料行业,-6057728.0
41,BK0739,90,金属制品,-11379024.0
42,BK0481,90,汽车行业,-22279808.0
43,BK0728,90,环保工程,-42741152.0
44,BK0546,90,玻璃陶瓷,-48312816.0
45,BK0726,90,园林工程,-62393078.0
46,BK0539,90,综合行业,-76156992.0
47,BK0424,90,水泥建材,-77259312.0
48,BK0471,90,化纤行业,-80827184.0
49,BK0454,90,塑胶制品,-96943392.0
50,BK0476,90,木业家具,-108715139.0
51,BK0485,90,旅游酒店,-113440608.0
52,BK0436,90,纺织服装,-133212000.0
53,BK0738,90,多元金融,-139460272.0
54,BK0740,90,文教休闲,-291720752.0
55,BK0545,90,机械行业,-303245040.0
56,BK0447,90,电子信息,-362023680.0
57,BK0438,90,食品饮料,-712616432.0
58,BK0477,90,酿酒行业,-1395069440.0
59,BK0727,90,医疗行业,-1921656304.0
60,BK0465,90,医药制造,-5018895616.0
