,f12,f13,f14,f62
0,BK0473,90,券商信托,1959452928.0
1,BK0433,90,农牧饲渔,1066268096.0
2,BK0537,90,材料行业,641315360.0
3,BK0732,90,贵金属,395137344.0
4,BK0736,90,电信运营,188876304.0
5,BK0910,90,专用设备,185672160.0
6,BK0480,90,航天航空,183401568.0
7,BK0730,90,农药兽药,90204992.0
8,BK0737,90,软件服务,86409248.0
9,BK0459,90,电子元件,78655488.0
10,BK0729,90,船舶制造,34302769.0
11,BK0726,90,园林工程,30622048.0
12,BK0478,90,有色金属,10629184.0
13,BK0440,90,工艺商品,-4099941.0
14,BK0734,90,珠宝首饰,-24259579.0
15,BK0738,90,多元金融,-26866029.0
16,BK0427,90,公用事业,-32185502.0
17,BK0421,90,高速公路,-34013274.0
18,BK0429,90,交运设备,-54550184.0
19,BK0733,90,包装材料,-64355216.0
20,BK0539,90,综合行业,-72034581.0
21,BK0484,90,国际贸易,-91594948.0
22,BK0731,90,化肥行业,-113609199.0
23,BK0735,90,安防设备,-116811936.0
24,BK0725,90,装修装饰,-121558218.0
25,BK0428,90,电力行业,-125918394.0
26,BK0739,90,金属制品,-142837696.0
27,BK0470,90,造纸印刷,-143760451.0
28,BK0476,90,木业家具,-154395747.0
29,BK0546,90,玻璃陶瓷,-159531987.0
30,BK0458,90,仪器仪表,-178831259.0
31,BK0464,90,石油行业,-188280430.0
32,BK0450,90,港口水运,-192497829.0
33,BK0454,90,塑胶制品,-228103278.0
34,BK0420,90,民航机场,-240719616.0
35,BK0437,90,煤炭采选,-261983776.0
36,BK0471,90,化纤行业,-288502166.0
37,BK0447,90,电子信息,-336134144.0
38,BK0436,90,纺织服装,-348883498.0
39,BK0740,90,文教休闲,-377197327.0
40,BK0485,90,旅游酒店,-380610736.0
41,BK0728,90,环保工程,-404021074.0
42,BK0457,90,输配电气,-443423312.0
43,BK0474,90,保险,-550765776.0
44,BK0727,90,医疗行业,-679428176.0
45,BK0425,90,工程建设,-682252832.0
46,BK0479,90,钢铁行业,-682540096.0
47,BK0422,90,交运物流,-706350160.0
48,BK0475,90,银行,-773059728.0
49,BK0451,90,房地产,-798819152.0
50,BK0481,90,汽车行业,-802380832.0
51,BK0424,90,水泥建材,-831634160.0
52,BK0477,90,酿酒行业,-890556992.0
53,BK0538,90,化工行业,-908274976.0
54,BK0438,90,食品饮料,-1012591392.0
55,BK0448,90,通讯行业,-1017634336.0
56,BK0482,90,商业百货,-1037298944.0
57,BK0456,90,家电行业,-1045037168.0
58,BK0545,90,机械行业,-1241914320.0
59,BK0486,90,文化传媒,-2185573808.0
60,BK0465,90,医药制造,-3516761856.0
