,rtn,pure_rtn,zz500_rtn,net_rtn,in_date,out_date,code,pub_date,sum_pure_return,positions,is_real,forecasttype,forecast,zfpx,size,turnover_rate5,turnover_rate1,pct_change5,pct_change,pe_ttm,volume_ratio,industry,from_list_date
2544,4.157445071982278,11.064860903035054,-7.0674158310527755,0.0,2018-10-10,20181011,300677.SZ,2018-10-10,21.812703375991227,0,0,略增,0.0,15.48,178617.8066,4.2964,8.726,0.02173112338858195,0.06611570247933869,23.1622,3.02,37.0,6.068425588244111
1627,11.662603790087468,11.101569973934403,0.40103381615306444,0.05299281187506314,2018-07-13,20180716,600793.SH,2018-07-13,24.957397599882366,0.0047734520432232575,1,预增,2.0,65.18,144471.6,0.97948,1.0502,0.005389221556886246,0.014792899408284103,10.0698,1.12,54.0,8.96264794774056
2419,9.314343698854332,11.156493858101854,-2.002150159247522,0.1802569848493325,2018-08-30,20180903,002228.SZ,2018-08-30,28.313037189460623,0.016157135668427743,1,预增,2.0,345.0,634766.7513,1.3923,1.3868,0.008177172061328798,0.013266998341625218,41.434,1.07,20.0,8.231908243564177
2651,9.73502112676058,11.170981570913149,-1.5959604441525685,0.0,2018-10-12,20181015,300522.SZ,2018-10-12,23.377691090170018,0,0,略增,0.0,25.0,90385.6181,5.43232,10.0048,-0.002996670366259707,-0.047235641438539935,35.1453,2.59,65.0,6.703188113240863
5557,13.07719993964997,11.193817032825686,1.7233829068242836,0.0,2019-07-12,20190716,300424.SZ,2019-07-12,84.59483636063872,0.0,0,略增,0.0,15.0,261372.4377,3.37634,10.5362,0.015474642392717808,0.03952321204516943,81.7578,5.65,78.0,7.336285660021297
2239,13.828531519699814,11.194639178689318,2.473892341010496,0.24307407818482346,2018-08-24,20180828,002463.SZ,2018-08-24,29.632941649505195,0.02171343571729865,1,预增,2.0,122.36,892051.4701,2.23212,2.8688,0.01535353535353535,0.049212598425196846,40.8276,1.46,13.0,7.979681302387741
4383,13.641844939271266,11.195027506031384,2.286817433239883,0.0,2019-03-08,20190311,300638.SZ,2019-03-08,62.970936706295554,0.0,0,预增,2.0,439.585,197106.0,15.0993,11.8913,0.029287537711766048,-0.03666146645865839,68.9739,0.78,31.0,6.532334292222349
2552,4.304810237849007,11.212226068901781,-7.0674158310527755,0.0,2018-10-10,20181011,300394.SZ,2018-10-10,21.812703375991227,0,0,略增,0.0,8.375,316493.5881,1.4353799999999999,0.7908,-0.01286889211417515,-0.02520161290322581,36.6022,0.54,31.0,7.183111701743281
1572,11.808529268292695,11.24749545213963,0.40103381615306444,0.05368938014716021,2018-07-13,20180716,002694.SZ,2018-07-13,25.006514354659423,0.0047734520432232575,1,预增,2.0,160.0,244494.0283,3.56726,3.1662,-0.008932038834951472,0.03578947368421051,25.9754,0.81,91.0,7.673223121121708
1822,9.66993432835821,11.252324921160868,-1.742390592802659,0.0,2018-07-16,20180719,300559.SZ,2018-07-14,25.557653896424146,0.0,0,预增,2.0,103.615,251124.2531,1.29168,1.7686,0.005553822152886119,0.052396166134185206,58.3155,1.53,42.0,6.416732282512326
1593,11.86234518167457,11.282111365521505,0.42023381615306443,0.05385461754962097,2018-07-13,20180717,300456.SZ,2018-07-13,25.245834691787266,0.0047734520432232575,1,预增,2.0,135.005,359015.1057,4.446879999999999,4.5958,0.002965931863727463,0.03940886699507393,158.5233,1.03,13.0,7.046647277848756
1260,8.437057894736832,11.301229126055317,-3.024171231318485,0.7345798931935953,2018-07-03,20180705,000510.SZ,2018-07-03,21.016403951859644,0.06499999999999997,1,预增,2.0,101.715,240122.3916,1.06662,0.6362,-0.02126789366053168,-0.039560439560439496,41.6716,0.64,57.0,9.1248914101437
3937,9.376431552482718,11.31464122233097,-2.0982096698482513,0.010372474764550867,2019-01-29,20190130,300684.SZ,2019-01-29,69.29732585098724,0.0009167303284950291,1,预增,2.0,70.225,195139.3638,15.43082,21.0549,0.039608433734939774,-0.09985855728429989,31.2514,1.73,57.0,5.968707559985366
642,11.001205755395683,11.345258349629443,-0.50405259423376,0.7630302830253511,2018-04-11,20180412,600793.SH,2018-04-11,1.021207097068122,0.06725543478260881,1,扭亏,1.0,103.43,204913.8,0.743,0.6508,-0.009028459273797824,0.01038421599169259,22.1613,0.84,54.0,8.95040315983296
2657,9.916312575668806,11.352273019821375,-1.5959604441525685,0.0,2018-10-12,20181015,300725.SZ,2018-10-12,22.94494006966742,0,0,预增,2.0,80.48,140827.5051,2.45672,3.8106,-0.025072587532023898,-0.09999999999999996,63.5853,1.61,39.0,5.7745515455444085
