,rtn,pure_rtn,zz500_rtn,net_rtn,in_date,out_date,code,pub_date,sum_pure_return,positions,is_real,forecasttype,forecast,zfpx,size,turnover_rate5,turnover_rate1,pct_change5,pct_change,pe_ttm,volume_ratio,industry,from_list_date
3613,12.425233063209074,11.359629488344765,0.9056035748643089,3.6033492026203556e-16,2019-01-17,20190121,300019.SZ,2019-01-17,70.81803226735886,3.172065784643304e-17,1,略增,0.0,25.0,167341.0716,0.52058,0.4704,0.003294892915980219,-0.009630818619582744,52.7417,0.84,57.0,8.119398589612294
3496,12.573262370649115,11.404859252131278,1.0084031185178377,0.0,2019-01-07,20190108,300427.SZ,2019-01-07,71.4551323753875,0,0,预增,2.0,90.76,260403.465,0.46807999999999994,0.6759,-0.0069028156221616534,-0.0018779342723004293,14.2942,1.63,25.0,7.25063551189868
6706,11.846309106830123,11.41353352276139,0.2727755840687327,0.0,2019-10-22,20191023,000555.SZ,2019-10-22,99.12317351198875,0.0,0,预增,2.0,802.69,1067390.8514,2.87328,1.6776,-0.0214229867083659,-0.023931623931623878,,0.51,42.0,9.140025198061156
2237,14.240039201373975,11.438240953972267,2.641798247401707,0.0,2018-08-23,20180827,002923.SZ,2018-08-23,29.520990194689468,0.0,0,略增,0.0,12.5,69870.0,4.93056,4.0268,-0.004532102391942922,-0.027963272120200403,28.9443,0.81,39.0,5.407171771460119
2561,7.125450261780095,11.445699186379285,-4.48024892459919,0.26931056909127726,2018-10-11,20181012,300529.SZ,2018-10-11,22.120071785157776,0.023529411764705882,1,预增,2.0,50.0,408605.4978,1.8789399999999996,2.369,-0.021952924726171028,-0.028237089799033308,46.1894,1.4,37.0,6.666956792429207
1259,9.81218618784529,11.471232386624335,-1.8190461987790445,0.0,2018-07-02,20180704,300339.SZ,2018-07-02,19.662562668060747,0.0,0,预增,2.0,50.0,560843.4676,1.9521800000000002,2.1512,0.016766467065868262,0.060546874999999924,33.5815,1.15,42.0,7.681560362559537
5178,5.328082278481003,11.474951521654397,-6.306869243173395,0.5839791489148812,2019-04-30,20190506,002512.SZ,2019-04-30,73.67700265054631,0.0508916441008795,1,扭亏,1.0,120.045,418662.8719,3.4545199999999996,3.2215,-0.04147157190635452,-0.10056925996204923,,0.95,13.0,8.027150106832774
600,12.538467741935486,11.482593347791774,0.8958743941437116,0.0,2018-04-10,20180411,300079.SZ,2018-04-10,0.44375224486043385,0.0,0,略增,0.0,5.0,449490.0206,1.7087599999999998,1.4414,-0.00523560209424082,0.010869565217391313,132.2747,0.85,31.0,7.969357742016346
6071,13.523633070088845,11.527064773099402,1.836568296989443,1.8443303636959045,2019-10-08,20191010,300014.SZ,2019-10-08,96.31409291144021,0.16,1,预增,2.0,204.935,2489291.3298,5.11786,2.6519,-0.00946708463949842,-0.0337042925278219,32.2785,0.47,25.0,8.193123721512068
2565,5.454216347933373,11.618365272532563,-6.324148924599189,0.27337330053017794,2018-10-11,20181015,300595.SZ,2018-10-11,23.2183133701976,0.023529411764705882,1,预增,2.0,45.0,443518.38,1.6767000000000003,0.8745,-0.01827354260089685,0.007458048477315164,41.249,0.43,37.0,6.42648845745769
3083,19.150325896414337,11.638008140016337,7.352317756398,1.7369711447398444,2018-10-19,20181023,002419.SZ,2018-10-19,27.32611316229218,0.14924986508364876,1,略增,0.0,25.0,1204695.5679,0.53176,0.3661,-0.020554066130473645,-0.021442495126705714,14.5397,0.65,51.0,8.024534871605695
3048,10.418236426116842,11.667543442969667,-1.4093070168528246,0.06100676310049031,2018-10-16,20181017,600260.SH,2018-10-16,24.948918156253438,0.0052287581699342394,1,预增,2.0,65.0,914115.2911,2.22818,3.6464,-0.04455128205128203,-0.10018552875695738,10.229,1.91,31.0,8.805225202632306
12,9.024145517981747,11.69902252229237,-2.834877004310624,4.679609008916948,2018-02-01,20180202,002258.SZ,2018-02-01,3.602280794215944,0.4,1,预增,2.0,85.0,975615.2681,1.25266,1.0075,-0.0038947368421052737,-0.003210272873194343,24.2929,0.67,49.0,8.15708378502887
6407,10.765221793863102,11.709013668402537,-1.103791874539435,0.0,2019-10-14,20191016,300246.SZ,2019-10-14,99.33407829971988,0.0,0,略增,0.0,11.19,136955.1624,0.8669399999999999,1.1061,0.007510204081632667,0.017614091273018467,32.1211,1.37,37.0,8.00469951054955
6195,10.806498701298704,11.75029057583814,-1.103791874539435,0.05917821888073458,2019-10-14,20191016,300613.SZ,2019-10-14,99.30971301799713,0.00503631961259081,1,预增,2.0,55.69,159476.24,7.25074,6.6696,-0.0017699115044247696,-0.02685624012638224,103.2116,0.86,102.0,6.858565034791365
2154,12.152352795838757,11.858346357136963,0.1340064387017943,0.0,2018-08-21,20180822,002530.SZ,2018-08-21,29.69753127690572,0.0,0,略增,0.0,25.43,260351.252,3.15904,1.9363,-0.01221001221001219,0.002607561929595888,26.9531,0.49,42.0,7.931284761525891
2484,10.304501092896187,11.975625581043154,-1.831124488146968,0.0,2018-10-08,20181009,600448.SH,2018-09-29,21.909362866464452,0,0,预增,2.0,107.0,150361.62,4.08378,4.5378,-0.009625668449197869,-0.06315789473684205,177.2974,1.21,71.0,8.736489351001554
6678,11.470979175864617,11.99294701058569,-0.6819678347210721,1.0009194931560281,2019-10-16,20191017,603378.SH,2019-10-16,100.39024971489017,0.08345901072293214,1,预增,2.0,53.91,93743.82,2.9480999999999997,3.7699,0.012842599843382934,0.006666666666666656,35.36199999999999,1.54,65.0,6.608000625296087
2782,10.577901408450707,12.013861852603275,-1.5959604441525685,0.0,2018-10-12,20181015,300718.SZ,2018-10-12,22.94494006966742,0,0,略增,0.0,10.0,70290.0,4.58872,6.8133,-0.01437908496732028,-0.09032671364509931,21.9623,1.59,61.0,5.786897381366708
3030,7.849926984126976,12.026978625248319,-4.337051641121342,0.0,2018-10-15,20181016,300444.SZ,2018-10-15,23.3635269575868,0.0,0,预增,2.0,559.5,187580.639,1.52684,1.8325,-0.021022727272727276,-0.03374233128834352,14.6294,1.29,25.0,7.142036574706803
6772,13.34834176245211,12.066269885035371,1.1220718774167375,0.0,2019-10-25,20191029,002369.SZ,2019-10-25,100.68226455437078,0.0,0,扭亏,1.0,153.5,328551.9169,2.50154,2.1045,-0.002272727272727269,0.014248704663212477,,0.83,31.0,8.161375023197486
2767,10.660972770853304,12.096933215005873,-1.5959604441525685,0.0,2018-10-12,20181015,300632.SZ,2018-10-12,22.94494006966742,0,0,预增,2.0,60.0,50384.9499,1.6883200000000003,2.7534,-0.024853064651553326,-0.09304347826086959,26.5214,1.53,102.0,6.29156913955832
1902,14.38042703583062,12.109961099796127,2.1104659360344917,1.3462045721784726,2018-07-20,20180723,600782.SH,2018-07-20,27.72809016493585,0.11116506164508952,1,预增,2.0,284.135,1711154.2742,1.4943600000000001,2.1328,-0.00352000000000001,0.03541315345699831,5.2795,1.48,77.0,8.970813341411448
4800,10.477184713375806,12.147627791767771,-1.8304430783919656,0.0,2019-04-09,20190411,300152.SZ,2019-04-09,60.335389880585204,0.0,0,扭亏,1.0,638.08,223795.3439,8.8192,12.4219,0.03173431734317344,0.0680272108843538,,1.51,3.0,8.011355109161286
1202,13.241001421800945,12.147742638034575,0.9332587837663686,0.9718194110427664,2018-06-20,20180622,300283.SZ,2018-06-20,13.261576883772502,0.08000000000000003,1,预增,2.0,98.35,87514.5132,0.68606,1.183,-0.026694045174538,-0.0885529157667387,121.2371,1.96,25.0,7.76004068088038
1380,13.555767278878687,12.203783577720333,1.1919837011583525,0.12425223199090286,2018-07-10,20180712,300662.SZ,2018-07-10,24.850322261898338,0.010181451612903248,1,预增,2.0,47.5,93105.0,4.87526,4.2463,-0.006273408239700357,0.03657314629258519,47.8443,0.76,7.0,5.966146739123692
5566,14.0,12.253117093175716,1.5868829068242836,0.0,2019-07-12,20190715,300429.SZ,2019-07-12,84.34336879354021,0.0,0,略增,0.0,7.5,371407.4463,18.75868,19.6878,0.02123893805309733,-0.039938556067588296,45.0987,1.2,57.0,7.355001921105257
4677,11.402482352941192,12.317557511321228,-1.0750751583800369,0.0,2019-04-08,20190409,300702.SZ,2019-04-08,59.45361725475732,0.0,0,预增,2.0,528.93,177669.295,3.85098,3.0874,0.00268256333830106,-0.02073732718894006,37.1506,0.67,39.0,6.320768294250582
1291,12.518091278493541,12.327599166712556,0.03049211178098421,0.7011322026067763,2018-07-05,20180709,300038.SZ,2018-07-05,22.421530007935754,0.05687499999999998,1,预增,2.0,115.0,413685.9337,4.7736,3.6268,-0.003505355404089576,-0.03996194100856327,19.695,0.73,2.0,8.03689677268507
5744,14.104569432314403,12.337001646549238,1.6075677857651642,0.0,2019-07-15,20190717,000586.SZ,2019-07-13,84.47762709917642,0.0,0,扭亏,1.0,197.16,235609.92,3.523,3.523,0.0,0.0,,0.54,31.0,9.059284897056227
5651,14.14373695031411,12.376169164548946,1.6075677857651642,0.04342515496332979,2019-07-15,20190717,300533.SZ,2019-07-13,84.48552359879032,0.003508771929824574,1,预增,2.0,73.03,143898.1397,1.3572,1.3572,0.0,0.0,32.9289,0.5,42.0,6.957497370876951
231,14.670113445378146,12.383755664344566,2.1263577810335805,0.0,2018-03-29,20180402,300036.SZ,2018-03-29,-2.0670606702826406,0.0,0,预增,2.0,63.52,589148.3249,5.75414,9.1954,0.024105461393597007,0.009044657998869426,40.852,2.08,42.0,8.009363076630045
2788,8.713897959183685,12.518658403336254,-3.964760444152568,0.0,2018-10-12,20181016,300576.SZ,2018-10-12,24.27492850976284,0,0,略增,0.0,5.0,48894.5214,2.4993000000000003,4.3013,-0.015789473684210537,-0.08650260999254289,39.2948,2.28,65.0,6.472346294500901
5180,6.447521359223307,12.594390602396702,-6.306869243173395,0.6409492442046343,2019-04-30,20190506,300234.SZ,2019-04-30,72.9271686808924,0.0508916441008795,1,预增,2.0,8920.06,176647.7841,2.26166,2.449,-0.024232081911262797,-0.043639740018569996,,0.96,109.0,7.959275960116396
2617,8.278613791398914,12.598862715998104,-4.48024892459919,0.0,2018-10-11,20181012,600801.SH,2018-10-11,21.812703375991227,0.0,0,预增,2.0,225.0,1967916.3905,1.47638,1.8638,0.0009935419771485488,0.040102827763496204,8.8647,1.3,45.0,9.108639817149843
6439,11.380960288808666,12.725632633183716,-1.5046723443750512,0.020451909589045525,2019-10-15,20191016,300306.SZ,2019-10-15,99.2461800783267,0.0016071428571428781,1,预增,2.0,10767.9,203986.3193,13.87228,9.9615,-0.004516584333098099,0.0259259259259259,,0.71,96.0,7.918992488165245
6804,11.412036056838362,12.786791774757855,-1.5347557179194935,0.0,2019-10-28,20191030,002458.SZ,2019-10-28,99.53974042458886,0.0,0,预增,2.0,527.0,1207560.7245,15.10084,24.7012,0.04920693471043896,0.09996743731683491,15.7693,2.12,29.0,8.119398589612294
6160,13.035542320819111,12.792006779811082,0.08353554100802896,0.0,2019-10-11,20191015,300433.SZ,2019-10-11,98.74513018379137,0.0,0,略增,0.0,3.475,4583843.0685,1.76402,2.3517,0.008912655971479501,0.10046948356807514,2073.6218,1.54,13.0,7.4109518755836366
104,12.690232971800445,12.837469629173135,-0.30723665737269046,1.140196348818735e-15,2018-03-15,20180319,002702.SZ,2018-03-15,-1.24454509121607,8.881784197001253e-17,1,扭亏,1.0,375.925,136638.095,7.88126,4.9008,-0.016334661354581646,-0.03556485355648534,,0.57,55.0,7.587817219993427
2665,11.491423330714841,12.92738377486741,-1.5959604441525685,0.0,2018-10-12,20181015,300716.SZ,2018-10-12,22.94494006966742,0,0,略增,0.0,8.705,50945.46,7.32626,24.2548,0.003354632587859439,-0.020769230769230738,31.648000000000003,8.18,91.0,5.777652323222656
1509,16.45695100095329,13.013538019506022,3.2834129814472672,0.08255690006994611,2018-07-12,20180716,300049.SZ,2018-07-12,24.899102004011073,0.006343924299925307,1,略增,0.0,27.5,239137.0914,3.837566666666666,4.353,-0.04023470243084659,-0.06506238859180039,37.5434,2.34,37.0,8.035278911144667
5116,8.862867741935478,13.034340146405171,-4.331472404469692,0.3608130238911211,2019-04-25,20190426,002194.SZ,2019-04-25,67.60414020824962,0.02768172533771356,1,扭亏,1.0,196.745,765085.9625,3.97632,0.26,-0.030446672743846853,-0.05005107252298248,55.6266,0.07,31.0,8.330863613224745
4497,19.144028526645762,13.042545074102431,5.9414834525433315,0.6831809324529845,2019-03-28,20190401,000615.SZ,2019-03-28,60.4426192076022,0.05238095238095238,1,扭亏,1.0,122.82,410700.3378,7.978880000000001,4.4546,0.0028616852146263866,-0.019969278033794148,12.2964,0.57,1.0,9.010791269515602
1901,17.22471645569619,13.215950519661696,3.848765936034492,1.4691519542166454,2018-07-20,20180724,002857.SZ,2018-07-20,29.83979080571943,0.11116506164508952,1,预增,2.0,361.0,58631.7369,1.9399000000000002,1.8236,-0.005418719211822662,-0.02549342105263162,42.6885,0.78,96.0,6.1675164908883415
1277,9.734513274336285,13.239521234529628,-3.6650079601933427,0.529580849381186,2018-07-04,20180705,000591.SZ,2018-07-04,20.206989022811694,0.04000000000000007,1,略增,0.0,14.5,690576.5369,1.2483600000000001,1.7806,-0.036231884057970995,-0.01453488372093018,11.6945,1.86,22.0,9.008835995765454
4086,12.073380453972272,13.303916083616484,-1.3905356296442128,0.14665216444124934,2019-01-30,20190131,603100.SH,2019-01-30,69.30789312206454,0.011023232822540776,1,预增,2.0,144.73,205089.7408,0.38838,0.5156,-0.006585365853658526,-0.01856435643564361,15.1194,1.48,96.0,7.397561535524052
2795,11.93924936708861,13.375209811241179,-1.5959604441525685,0.0,2018-10-12,20181015,300009.SZ,2018-10-12,22.94494006966742,0,0,略增,0.0,22.695,836130.3916,0.9604399999999998,1.4038,-0.020199146514935987,-0.05176294073518376,43.1619,1.45,46.0,8.08794755464267
3137,11.475501834862385,13.418131348290805,-2.1026295134284196,0.3081006605241666,2018-10-23,20181024,002591.SZ,2018-10-23,27.636193967824994,0.022961517705176758,1,预增,2.0,181.445,99130.6882,0.80568,1.6865,0.012890625000000003,0.0965794768611671,40.112,3.07,57.0,7.891330757661889
738,12.857,13.45952504509774,-0.7625250450977404,0.0,2018-04-16,20180418,002930.SZ,2018-04-14,1.271710505667051,0.0,0,略增,0.0,11.005,160287.05,0.29735,0.2332,0.08287013643254172,0.10020876826722347,69.2018,0.86,98.0,1.9459101490553132
5215,13.46978158897684,13.554179256360849,-0.24439766738400825,0.0,2019-06-25,20190627,300347.SZ,2019-06-25,80.46281073293527,0,0,预增,2.0,60.0,2407252.234,1.1539400000000002,1.0098,0.017364983272263806,0.012767220902612819,65.3945,0.78,37.0,7.822444729489319
6198,13.067123955147798,13.563415829687234,-0.656291874539435,0.06830969715677847,2019-10-14,20191015,300593.SZ,2019-10-12,99.02740372873394,0.00503631961259081,1,预增,2.0,48.585,186224.7867,6.12396,4.0487,-0.008754208754208757,0.03219106957424701,77.1688,0.56,25.0,6.894670039433482
6107,15.104532841691242,13.594677568056836,1.349855273634405,0.6214709745397411,2019-10-10,20191011,300659.SZ,2019-10-10,97.83045805827625,0.045714285714285714,1,扭亏,1.0,434.335,330530.8427,4.038500000000001,2.1551,0.010515421237838952,-0.0029411764705882075,164.1728,0.49,42.0,6.748759547491679
4824,14.06059717514125,13.618740253533216,0.2818569216080343,0.0,2019-04-09,20190410,300254.SZ,2019-04-09,60.21910061937627,0.0,0,预增,2.0,175.0,143271.4588,2.60008,2.096,0.002054794520547942,-0.03384279475982538,248.3215,0.81,39.0,7.930925372483388
6556,12.390159198998738,13.734831543373788,-1.5046723443750512,0.0,2019-10-15,20191016,002045.SZ,2019-10-15,99.20746809924181,0.0,0,扭亏,1.0,600.74,373179.0927,9.488240000000001,12.0393,0.02763532763532766,0.047182175622542635,,1.52,13.0,8.566173813637858
5843,15.539772268907566,13.772204483142401,1.6075677857651642,0.0,2019-07-15,20190717,300436.SZ,2019-07-15,84.47762709917642,0.0,0,预增,2.0,163.435,401239.083,6.03208,7.5984,0.03280078252363874,0.0818181818181819,418.0543,1.42,39.0,7.338238150065589
6147,15.393047391952301,13.782811850944272,1.450235541008029,0.07875892486253877,2019-10-11,20191014,300525.SZ,2019-10-11,98.90090872470822,0.0057142857142857195,1,预增,2.0,75.0,466368.1797,7.941239999999999,5.9239,0.02661263086795,0.004491017964071814,85.5856,0.75,42.0,7.05444965813294
6101,16.559666433566438,13.797391487756133,2.602274945810304,0.0,2019-10-09,20191011,300601.SZ,2019-10-09,96.98873122830997,0,0,略增,0.0,13.635,1875299.4618,1.6640000000000001,1.6558,-0.004831445339156534,-0.03690732758620683,113.2124,0.86,46.0,6.866933284461882
2588,9.502685427135665,13.822934351734855,-4.48024892459919,0.32524551415846714,2018-10-11,20181012,300077.SZ,2018-10-11,22.749463331221932,0.023529411764705882,1,预增,2.0,327.195,430589.5932,3.6517799999999996,3.7981,-0.008653846153846161,0.0101522842639594,,0.91,102.0,8.030084094267563
1346,14.624999150743111,13.843691646122846,0.621307504620265,0.0,2018-07-09,20180711,300243.SZ,2018-07-09,24.35414038249935,0.0,0,预增,2.0,265.0,158419.08,0.34624,0.28800000000000003,0.002363050483351223,0.007486631016042812,45.6543,0.82,57.0,7.842671474979457
2678,12.423658016147645,13.859618460300213,-1.5959604441525685,0.0,2018-10-12,20181015,300715.SZ,2018-10-12,23.377691090170018,0,0,预增,2.0,50.0,56181.6,5.55998,6.7746,-0.021513124034997423,-0.0897637795275591,43.9801,0.87,15.0,5.820082930352362
2547,6.972116806722694,13.879532637775469,-7.0674158310527755,0.0,2018-10-10,20181011,300732.SZ,2018-10-10,21.812703375991227,0,0,预增,2.0,45.0,92534.4,3.0931800000000003,2.1787,-0.01627532968800258,0.004219409282700331,13.8368,0.68,8.0,5.662960480135946
5185,7.8328699633699586,13.979739206543353,-6.306869243173395,0.7114519123225159,2019-04-30,20190506,603398.SH,2019-04-30,71.02525757631365,0.0508916441008795,1,略增,0.0,,288973.23,1.04844,0.6354,-0.013397129186602876,-0.024999999999999974,68.9234,0.59,11.0,7.115582126184454
2943,10.037174721189592,14.214226362310933,-4.337051641121342,0.0,2018-10-15,20181016,000505.SZ,2018-10-13,23.354345392368288,0.0,0,略增,0.0,0.17,197538.0554,5.13994,3.5073,-0.009391304347826071,-0.07588532883642485,21.8121,0.77,55.0,9.149740749847252
413,15.960658257146171,14.27108823764881,1.5295700194973618,0.1163403932417023,2018-04-09,20180411,300554.SZ,2018-04-09,0.7599323377098671,0.008152173913043482,1,预增,2.0,505.0,112333.0,5.26282,5.0033,-0.0022654462242563136,0.0053519488074461165,51.8451,0.95,58.0,5.834810737062605
4986,14.17184096385542,14.313581476579879,-0.30174051272445856,0.04043108479935402,2019-04-15,20190416,002641.SZ,2019-04-15,61.857403049924365,0.0028246658507871027,1,预增,2.0,700.0,371808.6584,0.51994,0.2486,-0.0033175355450236685,-0.0024038461538461024,18.9769,0.38,91.0,7.8928255262511176
1064,15.292590476190478,14.361327101350712,0.7712633748397654,0.0,2018-04-27,20180503,002458.SZ,2018-04-27,1.4515020305101904,0.0,0,扭亏,1.0,130.475,256935.3259,4.390219999999999,11.040999999999999,0.02528735632183906,0.10029940119760479,,4.14,29.0,7.940939762327791
5115,10.324722222222224,14.496194626691917,-4.331472404469692,0.4012796780981248,2019-04-25,20190426,002695.SZ,2019-04-25,68.00541988634774,0.02768172533771356,1,预增,2.0,40.0,571310.6213,0.75336,0.6943,-0.0006329113924050778,-0.013312451057165225,37.4464,0.89,55.0,7.789868559054706
6102,17.632980240722176,14.627424967087771,2.845555273634405,0.6686822842097266,2019-10-10,20191014,300639.SZ,2019-10-10,98.84242531227085,0.045714285714285714,1,略增,0.0,33.725,215986.4449,4.7048000000000005,3.2230000000000003,-0.004605585497305231,0.014242115971515826,33.9542,0.55,37.0,6.799055862058796
5327,14.893197515527962,14.87135105704751,-0.13815354151954878,0.0,2019-07-09,20190712,300697.SZ,2019-07-09,84.20878579003839,0.0,0,预增,2.0,115.27,66976.0,8.05092,11.1993,-0.015340501792114674,-0.08065667380442534,32.900999999999996,1.59,76.0,6.4967749901858625
1559,18.33069246353656,14.887279482089294,3.2834129814472672,0.0,2018-07-12,20180716,300477.SZ,2018-07-12,24.899102004011073,0.0,0,预增,2.0,70.0,347328.7224,8.5687,14.5452,0.033510638297872326,0.06243949661181022,47.7345,2.28,25.0,7.02197642307216
3628,15.189114436538905,14.985059973559949,0.04405446297895477,0.8562891413462829,2019-01-18,20190122,300575.SZ,2019-01-18,71.46875997076428,0.05714285714285715,1,预增,2.0,70.465,149841.6959,2.53706,1.6301,0.00018378130025269537,-0.020898876404494376,18.6651,0.57,49.0,6.62273632394984
6081,17.867823688394278,15.105548742583974,2.602274945810304,0.0,2019-10-09,20191011,300559.SZ,2019-10-09,97.03562355559416,0,0,预增,2.0,95.765,368803.7992,3.2925799999999996,2.6411,-0.015542521994134905,-0.02101167315175094,39.3499,0.81,42.0,6.964135612418245
1211,17.4437180476731,15.159952955591393,2.123765092081709,1.212796236447313,2018-06-22,20180626,300391.SZ,2018-06-22,16.91100367212746,0.0800000000000001,1,预增,2.0,93.45,69034.9671,1.2824000000000002,1.5759999999999998,-0.040831074977416434,-0.05573419078242225,25.7184,1.45,61.0,7.253470382684528
4803,13.589884638255702,15.260327716647668,-1.8304430783919656,0.0,2019-04-09,20190411,000922.SZ,2019-04-09,60.335389880585204,0.0,0,预增,2.0,83.505,489670.6453,4.046899999999999,3.2861,0.013544973544973558,-0.01368523949169116,17.7367,0.85,25.0,8.885579291282982
5611,17.10131375661375,15.277930849789465,1.6633829068242836,0.0,2019-07-12,20190717,300782.SZ,2019-07-12,84.47762709917642,0.0,0,预增,2.0,117.615,472500.0,24.39384,23.5592,0.015482841181165219,-0.002638522427440633,105.0247,0.82,13.0,2.833213344056216
1610,16.040021212121214,15.45978739596815,0.42023381615306443,0.07379655373308133,2018-07-13,20180717,300325.SZ,2018-07-13,25.31963124552035,0.0047734520432232575,1,预增,2.0,250.0,262273.8578,0.9116,1.4375,0.017105263157894724,0.09999999999999994,103.305,1.93,91.0,7.70796153183549
4038,17.10113170731707,15.511167336961282,1.4299643703557872,0.170983208904714,2019-01-30,20190201,300608.SZ,2019-01-30,69.50084704368557,0.011023232822540776,1,略增,0.0,29.865,113365.3001,0.8231200000000001,0.9888,-0.011818703384968458,-0.050376375217139606,28.2403,1.3,42.0,6.5638555265321274
4,16.14176486486486,15.517771879904261,0.46399298496059915,6.207108751961705,2018-01-24,20180125,300058.SZ,2018-01-24,-1.6371345958686891,0.4,1,预增,2.0,73.385,929299.374,0.8728400000000001,0.7331,0.0,-0.00671140939597316,29.9218,0.87,20.0,7.966239776559467
5764,17.384473244147163,15.616905458381998,1.6075677857651642,0.0,2019-07-15,20190717,300480.SZ,2019-07-13,84.93154247725818,0.0,0,略增,0.0,20.0,134893.6055,5.4357,5.4357,0.0,0.0,56.9705,0.97,47.0,7.288927694521257
2537,8.082654545454549,15.672270376507324,-7.749615831052775,0.0,2018-10-10,20181012,300610.SZ,2018-10-10,21.8507612160665,0,0,略增,0.0,4.5,54715.7215,1.13856,2.0763,-0.0044444444444444444,0.032863849765258184,22.3537,2.44,57.0,6.380122536899765
1196,12.34328620689655,15.730371542689326,-3.5470853357927767,0.0,2018-06-19,20180620,002225.SZ,2018-06-16,11.514418614750733,0.0,0,预增,2.0,115.0,282766.7766,0.5524,0.5524,0.0,0.0,91.0037,2.08,15.0,8.215006432761575
