,rtn,pure_rtn,zz500_rtn,in_date,code,pub_date,sum_pure_return
2018-01-17,0.44148796442687616,0.41748796442687613,0.0,2018-01-16,300324.SZA,2018-01-15,0.41748796442687613
2018-01-23,-0.44082877192982534,-0.46482877192982536,0.0,2018-01-22,300536.SZA,2018-01-19,-0.04734080750294922
2018-01-26,-0.14336289473684266,-0.16736289473684265,0.0,2018-01-25,002866.SZA,2018-01-24,-0.21470370223979188
2018-01-31,-1.3154413872832367,-1.3394413872832367,0.0,2018-01-30,002514.SZA,2018-01-27,-1.5541450895230287
2018-02-01,-0.9240577348394747,-0.9480577348394748,0.0,2018-01-31,300320.SZA,2018-01-30,-2.502202824362503
2018-02-02,1.2440492857142853,1.2200492857142853,0.0,2018-02-01,002456.SZA,2018-01-31,-1.282153538648218
2018-02-05,2.6898734177215173,2.6658734177215173,0.0,2018-02-02,002721.SZA,2018-02-01,1.3837198790732994
2018-02-06,-0.6656369767441858,-0.6896369767441858,0.0,2018-02-05,002303.SZA,2018-02-02,0.6940829023291136
2018-02-07,-1.1625156224066397,-1.1865156224066398,0.0,2018-02-06,002009.SZA,2018-02-05,-0.49243272007752614
2018-02-08,0.022065882352941563,-0.0019341176470584372,0.0,2018-02-07,002741.SZA,2018-02-06,-0.49436683772458456
2018-02-09,-0.7893616746085786,-0.8133616746085787,0.0,2018-02-08,300300.SZA,2018-02-07,-1.3077285123331632
2018-02-12,1.2535509109311724,1.2295509109311724,0.0,2018-02-09,002176.SZA,2018-02-08,-0.07817760140199081
2018-02-13,-1.4238890253565755,-1.4478890253565755,0.0,2018-02-12,300151.SZA,2018-02-09,-1.5260666267585663
2018-02-14,-0.6597145119305857,-0.6837145119305857,0.0,2018-02-13,002499.SZA,2018-02-12,-2.209781138689152
2018-02-22,0.9844262972353016,0.6454262972353015,0.315,2018-02-14,300618.SZA,2018-02-13,-1.5643548414538506
2018-02-26,-0.2710067010309296,-0.6865067010309296,0.3915,2018-02-23,002642.SZA,2018-02-22,-2.25086154248478
2018-02-27,0.615697931937174,0.303697931937174,0.28800000000000003,2018-02-26,300041.SZA,2018-02-23,-1.9471636105476062
2018-02-28,0.13178929824561478,0.12278929824561477,-0.015,2018-02-27,002653.SZA,2018-02-26,-1.8243743123019915
2018-03-01,-0.291375,-0.513375,0.198,2018-02-28,002508.SZA,2018-02-27,-2.3377493123019915
2018-03-02,0.9083999999999989,0.8033999999999989,0.081,2018-03-01,300016.SZA,2018-02-28,-1.5343493123019925
2018-03-05,0.1412664949970572,0.18176649499705722,-0.0645,2018-03-02,002677.SZA,2018-03-01,-1.3525828173049352
2018-03-06,0.8500241257367384,0.6055241257367383,0.22050000000000003,2018-03-05,002102.SZA,2018-03-02,-0.7470586915681969
2018-03-07,0.20801802603036795,0.12701802603036794,0.057000000000000016,2018-03-06,002745.SZA,2018-03-05,-0.620040665537829
2018-03-08,-0.09772516483516425,-0.08872516483516424,-0.032999999999999995,2018-03-07,002374.SZA,2018-03-06,-0.7087658303729932
2018-03-09,0.11649533230293631,-0.20300466769706368,0.2955,2018-03-08,600217.SHA,2018-03-07,-0.911770498070057
2018-03-12,1.341490553281683,0.9184905532816829,0.399,2018-03-09,300450.SZA,2018-03-08,0.006720055211625997
2018-03-13,0.02727272727272669,-0.11222727272727329,0.11549999999999998,2018-03-12,300239.SZA,2018-03-09,-0.10550721751564729
2018-03-14,-0.07249335291957419,0.1585066470804258,-0.255,2018-03-13,300357.SZA,2018-03-12,0.052999429564778516
2018-03-15,-1.0731104347826084,-0.9186104347826084,-0.1785,2018-03-14,300302.SZA,2018-03-13,-0.8656110052178299
2018-03-16,0.21455244204018467,0.29555244204018466,-0.10500000000000001,2018-03-15,002383.SZA,2018-03-14,-0.5700585631776451
2018-03-19,-0.015447316103378666,0.025052683896621332,-0.0645,2018-03-16,002125.SZA,2018-03-15,-0.5450058792810238
2018-03-20,1.3229752325581388,1.2329752325581387,0.066,2018-03-19,300253.SZA,2018-03-16,0.6879693532771148
2018-03-21,0.5668858020989493,0.6028858020989493,-0.05999999999999999,2018-03-20,300453.SZA,2018-03-17,1.290855155376064
2018-03-22,-0.4215634347231711,-0.2685634347231711,-0.177,2018-03-21,300178.SZA,2018-03-20,1.022291720652893
2018-03-23,-1.079422910602912,-0.26192291060291206,-0.8415,2018-03-22,300457.SZA,2018-03-21,0.7603688100499809
2018-03-26,1.1521333908045979,1.6006333908045978,-0.47250000000000003,2018-03-23,300130.SZA,2018-03-22,2.361002200854579
2018-03-27,3.2010555560114886,2.5425555560114885,0.6345000000000001,2018-03-26,300188.SZA,2018-03-23,4.903557756866068
2018-03-28,0.6658291457286425,0.4603291457286425,0.1815,2018-03-27,002882.SZA,2018-03-24,5.36388690259471
2018-03-29,0.34041785279468684,0.3149178527946868,0.0015000000000000013,2018-03-28,300136.SZA,2018-03-27,5.678804755389397
2018-03-30,0.7531099848942618,0.37660998489426184,0.3525,2018-03-29,300144.SZA,2018-03-28,6.055414740283658
2018-04-02,0.6449854616895875,0.4049854616895875,0.216,2018-03-30,002127.SZA,2018-03-29,6.460400201973246
2018-04-03,-0.7310473479398293,-0.6200473479398293,-0.135,2018-04-02,002371.SZA,2018-03-30,5.840352854033417
2018-04-04,0.9507042253521131,1.1832042253521131,-0.2565,2018-04-03,002613.SZA,2018-03-31,7.0235570793855295
2018-04-09,0.11298234875444878,0.17298234875444876,-0.08399999999999999,2018-04-04,300547.SZA,2018-04-03,7.196539428139978
2018-04-10,0.26872131075110606,0.13072131075110607,0.11399999999999999,2018-04-09,300255.SZA,2018-04-04,7.327260738891084
2018-04-11,-0.5177475534914581,-0.6932475534914581,0.1515,2018-04-10,300707.SZA,2018-04-05,6.634013185399626
2018-04-12,-0.5251256603773583,-0.5191256603773583,-0.029999999999999992,2018-04-11,300627.SZA,2018-04-10,6.114887525022268
2018-04-13,0.11363636363636458,0.23663636363636456,-0.147,2018-04-12,000046.SZA,2018-04-11,6.351523888658632
2018-04-16,0.20355370880328044,0.27555370880328045,-0.096,2018-04-13,603040.SHA,2018-04-12,6.627077597461913
2018-04-17,-1.8475994607087833,-1.5325994607087834,-0.33899999999999997,2018-04-16,000537.SZA,2018-04-13,5.094478136753129
2018-04-18,-0.3115654504504488,-0.23506545045044883,-0.10049999999999999,2018-04-17,000520.SZA,2018-04-14,4.85941268630268
2018-04-19,0.05661,-0.25539,0.288,2018-04-18,600863.SHA,2018-04-17,4.60402268630268
2018-04-20,-0.468748138173302,-0.269248138173302,-0.22350000000000003,2018-04-19,002237.SZA,2018-04-18,4.334774548129378
2018-04-23,-0.18652800330033176,0.24397199669966826,-0.4545,2018-04-20,600884.SHA,2018-04-19,4.578746544829046
2018-04-24,0.09803454545454475,-0.12396545454545527,0.198,2018-04-23,002245.SZA,2018-04-20,4.45478109028359
2018-04-25,1.1980372471910115,0.8245372471910115,0.3495,2018-04-24,603111.SHA,2018-04-21,5.279318337474601
2018-04-26,0.32481096514745306,0.5753109651474531,-0.2745,2018-04-25,002438.SZA,2018-04-24,5.854629302622055
2018-04-27,-0.20233502982107257,0.021164970178927427,-0.2475,2018-04-26,002283.SZA,2018-04-25,5.875794272800982
2018-05-02,-0.060190910735825616,-0.10219091073582562,0.018,2018-04-27,002768.SZA,2018-04-26,5.773603362065156
2018-05-03,0.2696359269162202,0.11963592691622019,0.126,2018-05-02,002343.SZA,2018-04-27,5.893239288981376
2018-05-04,0.4166242343387455,0.2546242343387455,0.13799999999999998,2018-05-03,002115.SZA,2018-04-28,6.1478635233201215
2018-05-18,1.5,1.4969999999999999,-0.021,2018-05-17,603045.SHA,2018-05-16,7.644863523320121
2018-05-28,5.1050628469750885,5.336062846975088,-0.255,2018-05-25,300746.SZA,2018-05-24,12.98092637029521
2018-06-04,-0.9705492245989297,-0.8070492245989297,-0.1875,2018-06-01,300230.SZA,2018-05-31,12.17387714569628
2018-06-06,-0.08673260869565162,-0.3522326086956516,0.24149999999999996,2018-06-05,002274.SZA,2018-06-02,11.82164453700063
2018-06-07,0.04566787671232918,0.12816787671232918,-0.1065,2018-06-06,000818.SZA,2018-06-05,11.949812413712959
2018-06-13,0.08659693641618506,0.12859693641618505,-0.06599999999999999,2018-06-12,600869.SHA,2018-06-09,12.078409350129144
2018-06-14,0.07872776735459781,0.33672776735459775,-0.282,2018-06-13,300410.SZA,2018-06-12,12.415137117483741
2018-06-15,0.0701912091503254,0.3761912091503254,-0.33,2018-06-14,300036.SZA,2018-06-13,12.791328326634067
2018-06-19,-0.5809601340482574,0.6070398659517425,-1.212,2018-06-15,002761.SZA,2018-06-14,13.39836819258581
2018-06-20,1.6240460132501953,2.3710460132501954,-0.771,2018-06-19,300177.SZA,2018-06-15,15.769414205836005
2018-06-21,0.4179226056338045,0.5439226056338045,-0.15,2018-06-20,000902.SZA,2018-06-19,16.31333681146981
2018-06-22,-0.19959014790468557,-0.11709014790468555,-0.10650000000000003,2018-06-21,603678.SHA,2018-06-20,16.196246663565123
2018-06-25,-0.42710283400809723,-0.5576028340080972,0.10649999999999997,2018-06-22,603066.SHA,2018-06-21,15.638643829557026
2018-06-26,1.44134024813896,1.4158402481389598,0.0014999999999999846,2018-06-25,300547.SZA,2018-06-22,17.054484077695985
2018-06-27,0.20158042372881207,0.2210804237288121,-0.043500000000000004,2018-06-26,300164.SZA,2018-06-25,17.275564501424796
2018-06-28,0.0,0.282,-0.306,2018-06-27,600227.SHA,2018-06-26,17.557564501424796
2018-06-29,0.08528091448931117,-0.26271908551068884,0.324,2018-06-28,603399.SHA,2018-06-27,17.294845415914107
2018-07-02,0.2788694668666496,-0.0016305331333504106,0.2565,2018-06-29,000860.SZA,2018-06-28,17.293214882780756
2018-07-03,0.1733135174625795,0.20481351746257953,-0.055500000000000015,2018-07-02,300121.SZA,2018-06-29,17.498028400243335
2018-07-04,-0.2091794962216621,-0.18517949622166208,-0.04800000000000001,2018-07-03,300311.SZA,2018-07-02,17.312848904021674
2018-07-05,-0.11709863813229644,0.48440136186770344,-0.6255,2018-07-04,300302.SZA,2018-07-03,17.797250265889378
2018-07-06,-0.48257634048257303,-0.1420763404825731,-0.36449999999999994,2018-07-05,000591.SZA,2018-07-04,17.655173925406807
2018-07-09,0.9525387892376667,0.5535387892376666,0.375,2018-07-06,600330.SHA,2018-07-05,18.208712714644474
2018-07-10,1.1829985995623622,0.7404985995623622,0.4185,2018-07-09,000401.SZA,2018-07-06,18.949211314206835
2018-07-11,1.1495358816120904,1.3325358816120905,-0.207,2018-07-10,002110.SZA,2018-07-07,20.281747195818927
2018-07-12,0.3893233018867928,0.2513233018867928,0.11399999999999999,2018-07-11,000338.SZA,2018-07-10,20.53307049770572
2018-07-13,0.27446560209424065,-0.2475343979057593,0.49799999999999994,2018-07-12,300284.SZA,2018-07-11,20.28553609979996
2018-07-16,-0.24673723880597023,-0.33673723880597023,0.06599999999999999,2018-07-13,000717.SZA,2018-07-12,19.94879886099399
2018-07-17,0.5314417840735068,0.5299417840735068,-0.022500000000000003,2018-07-16,300401.SZA,2018-07-13,20.478740645067496
2018-07-18,-0.22919388286334136,-0.14219388286334136,-0.111,2018-07-17,000801.SZA,2018-07-14,20.336546762204154
2018-07-19,-0.7013958766716183,-0.4793958766716183,-0.246,2018-07-18,603388.SHA,2018-07-17,19.857150885532537
2018-07-20,0.05723485074626737,-0.02226514925373263,0.0555,2018-07-19,601608.SHA,2018-07-18,19.834885736278803
2018-07-23,0.03834638936535114,-0.2856536106346489,0.3,2018-07-20,603338.SHA,2018-07-19,19.549232125644153
2018-07-24,1.6100850467289711,1.2125850467289712,0.3735,2018-07-23,600782.SHA,2018-07-20,20.761817172373124
2018-07-25,0.20552442449841513,-0.09147557550158489,0.273,2018-07-24,600761.SHA,2018-07-21,20.67034159687154
2018-07-26,-0.19679542579075365,-0.13379542579075365,-0.08700000000000001,2018-07-25,603679.SHA,2018-07-24,20.536546171080786
2018-07-27,-0.06943208463949994,0.07456791536050006,-0.168,2018-07-26,002413.SZA,2018-07-25,20.611114086441287
2018-07-30,1.306946582278482,1.534946582278482,-0.252,2018-07-27,002539.SZA,2018-07-26,22.14606066871977
2018-07-31,-0.6427954945054937,-0.4942954945054937,-0.1725,2018-07-30,600195.SHA,2018-07-27,21.651765174214276
