,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
300481.SZA,2.1454,3.9644,-1.82,2019-10-15,2019-10-16,2019-10-14
600963.SHA,3.7651999999999997,3.9641999999999995,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
002036.SZA,3.0529,3.9519,-0.9,2018-04-02,2018-04-03,2018-03-30
603332.SHA,2.3026000000000004,3.9516000000000004,-1.6500000000000001,2018-08-30,2018-08-31,2018-08-29
000913.SZA,2.1298,3.9488,-1.82,2019-10-15,2019-10-16,2019-10-12
871814.SHA,2.1298,3.9488,-1.82,2018-06-26,2018-06-27,2018-06-25
300480.SZA,3.0283,3.9273000000000002,-0.9,2018-04-02,2018-04-03,2018-03-30
300031.SZA,-0.2825,3.9265000000000003,-4.21,2018-10-15,2018-10-16,2018-10-12
300435.SZA,2.0847,3.9037,-1.82,2019-10-15,2019-10-16,2019-10-14
002449.SZA,2.7591,3.8881,-1.13,2018-08-17,2018-08-20,2018-08-16
002468.SZA,6.3886,3.8876000000000004,2.5,2018-08-27,2018-08-28,2018-08-24
300402.SZA,3.9962,3.8652,0.1299999999999999,2019-10-14,2019-10-15,2019-10-11
300142.SZA,3.9306,3.8496,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
300182.SZA,2.4699999999999998,3.8489999999999998,-1.38,2018-07-10,2018-07-11,2018-07-09
300311.SZA,-0.36300000000000004,3.846,-4.21,2018-10-15,2018-10-16,2018-10-12
600763.SHA,1.607,3.836,-2.23,2019-01-29,2019-01-30,2019-01-26
300675.SZA,-0.3962000000000001,3.8127999999999997,-4.21,2018-10-15,2018-10-16,2018-10-12
002697.SZA,3.8913,3.8103000000000002,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
300541.SZA,5.4521999999999995,3.7911999999999995,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
601101.SHA,3.211,3.78,-0.5700000000000001,2018-08-22,2018-08-23,2018-08-21
300644.SZA,5.2286,3.7776,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
600410.SHA,4.2753,3.7643,0.51,2019-07-25,2019-07-26,2019-07-24
600260.SHA,1.7953000000000001,3.7543,-1.96,2018-10-17,2018-10-18,2018-10-16
002171.SZA,0.0,3.749,-3.75,2018-08-01,2018-08-02,2018-07-31
600487.SHA,5.7451,3.7441,2.0,2018-07-20,2018-07-23,2018-07-19
002760.SZA,7.8306000000000004,3.729600000000001,4.1,2019-04-01,2019-04-02,2019-03-29
002233.SZA,2.5404999999999998,3.7295,-1.19,2018-03-14,2018-03-15,2018-03-13
000790.SZA,-0.4808,3.7282,-4.21,2018-10-15,2018-10-16,2018-10-12
600198.SHA,1.0714,3.7204,-2.65,2018-08-16,2018-08-17,2018-08-15
300395.SZA,2.1687,3.7177000000000002,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002616.SZA,1.8855,3.7144999999999997,-1.8299999999999998,2019-04-29,2019-04-30,2019-04-26
300096.SZA,1.8755000000000002,3.6945,-1.82,2019-10-15,2019-10-16,2019-10-14
600781.SHA,1.0387,3.6877,-2.65,2018-08-16,2018-08-17,2018-08-15
002694.SZA,3.5258,3.6748,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300415.SZA,5.1227,3.6717,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300214.SZA,4.6723,3.6613,1.01,2018-04-10,2018-04-11,2018-04-09
000668.SZA,6.3204,3.6494000000000004,2.67,2019-04-16,2019-04-17,2019-04-13
601615.SHA,3.0790999999999995,3.6380999999999997,-0.5599999999999999,2019-08-08,2019-08-09,2019-08-07
600984.SHA,-1.1921,3.6269000000000005,-4.82,2019-04-25,2019-04-26,2019-04-24
600383.SHA,3.7423,3.6213,0.12,2019-08-07,2019-08-08,2019-08-06
002315.SZA,1.7902,3.6092,-1.82,2019-10-15,2019-10-16,2019-10-12
300758.SZA,1.7885,3.6075000000000004,-1.82,2019-10-15,2019-10-16,2019-10-14
603688.SHA,3.3971,3.5961000000000003,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300110.SZA,2.1599,3.5389,-1.38,2018-07-10,2018-07-11,2018-07-09
300720.SZA,-0.6880000000000001,3.521,-4.21,2018-10-15,2018-10-16,2018-10-12
603115.SHA,-0.6880000000000001,3.521,-4.21,2019-07-24,2019-07-25,2019-07-23
871942.SHA,4.5296,3.5186000000000006,1.01,2019-01-11,2019-01-14,2019-01-10
300425.SZA,4.5296,3.5186000000000006,1.01,2018-04-10,2018-04-11,2018-04-09
300756.SZA,4.9456,3.4945999999999997,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
600771.SHA,1.6575,3.4865,-1.83,2018-04-25,2018-04-26,2018-04-24
002511.SZA,6.095000000000001,3.464000000000001,2.63,2018-10-30,2018-10-31,2018-10-29
600031.SHA,-0.2881,3.4609,-3.75,2018-08-01,2018-08-02,2018-07-31
300199.SZA,3.8979,3.4569,0.43999999999999995,2018-07-13,2018-07-16,2018-07-12
000425.SZA,1.227,3.456,-2.23,2019-01-29,2019-01-30,2019-01-28
002639.SZA,3.5664,3.4454,0.12,2018-04-27,2018-05-02,2018-04-26
600351.SHA,2.0554,3.4344,-1.38,2018-07-10,2018-07-11,2018-07-07
002278.SZA,2.6849999999999996,3.4239999999999995,-0.7399999999999999,2019-04-23,2019-04-24,2019-04-20
300086.SZA,-0.7962,3.4128000000000003,-4.21,2018-10-15,2018-10-16,2018-10-12
603100.SHA,5.3899,3.3989000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
300529.SZA,2.9485,3.3975000000000004,-0.44999999999999996,2019-03-27,2019-03-28,2019-03-26
300379.SZA,3.1859,3.3849000000000005,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
603826.SHA,4.0547,3.3637000000000006,0.6900000000000001,2019-01-23,2019-01-24,2019-01-22
002244.SZA,3.6793,3.3483,0.33000000000000007,2019-10-22,2019-10-23,2019-10-21
300468.SZA,3.1319,3.3309,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
002477.SZA,1.5901,3.2991,-1.71,2018-04-03,2018-04-04,2018-03-31
300528.SZA,-0.911,3.298,-4.21,2018-10-15,2018-10-16,2018-10-12
300043.SZA,0.9676999999999998,3.2967,-2.33,2019-04-11,2019-04-12,2019-04-10
002946.SZA,2.3807,3.2797,-0.9,2019-01-09,2019-01-10,2019-01-08
002335.SZA,2.3807,3.2797,-0.9,2018-04-02,2018-04-03,2018-03-30
300334.SZA,5.760999999999999,3.2599999999999993,2.5,2018-07-06,2018-07-09,2018-07-05
000955.SZA,5.9261,3.2551,2.67,2019-04-16,2019-04-17,2019-04-13
300111.SZA,4.7023,3.2513,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300225.SZA,2.6298,3.2488,-0.62,2019-10-16,2019-10-17,2019-10-15
300098.SZA,5.2329,3.2419000000000002,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
300209.SZA,4.2509999999999994,3.2399999999999998,1.01,2018-04-10,2018-04-11,2018-04-09
002550.SZA,1.5391000000000001,3.2381,-1.7,2018-10-26,2018-10-29,2018-10-25
300518.SZA,4.6871,3.2361,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300511.SZA,1.0027,3.2317,-2.23,2019-04-10,2019-04-11,2019-04-09
002702.SZA,-0.9994000000000001,3.2096,-4.21,2018-10-15,2018-10-16,2018-10-12
000795.SZA,4.6556999999999995,3.2046999999999994,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
003816.SZA,3.6297999999999995,3.1887999999999996,0.43999999999999995,2019-08-01,2019-08-02,2019-07-31
831540.SHA,3.6297999999999995,3.1887999999999996,0.43999999999999995,2019-11-19,2019-11-20,2019-11-18
002194.SZA,3.1657,3.1847000000000003,-0.019999999999999907,2019-08-13,2019-08-14,2019-08-10
000898.SZA,0.6435,3.1625,-2.52,2018-10-12,2018-10-15,2018-10-11
300417.SZA,0.8247,3.1537,-2.33,2019-04-11,2019-04-12,2019-04-10
600516.SHA,-0.3275000000000001,3.1415,-3.47,2018-08-02,2018-08-03,2018-08-01
300592.SZA,4.1389000000000005,3.127900000000001,1.01,2018-04-10,2018-04-11,2018-04-09
200992.SZA,5.1114,3.1204,1.9899999999999998,2018-10-16,2018-10-17,2018-10-13
002436.SZA,5.7844999999999995,3.1134999999999997,2.67,2019-04-16,2019-04-17,2019-04-13
300384.SZA,1.2921,3.1111,-1.82,2019-10-15,2019-10-16,2019-10-14
400062.SZA,2.122,3.101,-0.98,2019-01-28,2019-01-29,2019-01-25
600389.SHA,2.5262000000000002,3.0952000000000006,-0.5700000000000001,2018-08-31,2018-09-03,2018-08-30
300669.SZA,0.8585999999999999,3.0876,-2.23,2019-04-10,2019-04-11,2019-04-09
002191.SZA,5.5847,3.0837,2.5,2018-08-27,2018-08-28,2018-08-24
300377.SZA,-1.1275,3.0815,-4.21,2018-10-15,2018-10-16,2018-10-12
400022.SZA,4.0664,3.0554,1.01,2019-04-29,2019-04-30,2019-04-26
300224.SZA,4.6876,3.0265999999999997,1.6600000000000001,2019-07-12,2019-07-15,2019-07-11
300383.SZA,0.7877,3.0167,-2.23,2019-01-29,2019-01-30,2019-01-28
300301.SZA,0.6859999999999999,3.015,-2.33,2019-04-11,2019-04-12,2019-04-10
002701.SZA,3.8434,3.0024,0.84,2018-05-02,2018-05-03,2018-04-27
200058.SZA,3.8434,3.0024,0.84,2018-04-19,2018-04-20,2018-04-18
600282.SHA,5.4914000000000005,3.0004000000000004,2.49,2018-07-23,2018-07-24,2018-07-20
300738.SZA,1.1750000000000007,2.994000000000001,-1.82,2019-10-15,2019-10-16,2019-10-14
000931.SZA,1.4413999999999998,2.9904,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
300344.SZA,3.7387,2.9777,0.76,2018-07-11,2018-07-12,2018-07-10
300081.SZA,-1.2422,2.9668,-4.21,2018-10-15,2018-10-16,2018-10-12
600026.SHA,1.8527999999999998,2.9518,-1.0999999999999999,2019-07-22,2019-07-23,2019-07-19
300306.SZA,2.3272000000000004,2.9462000000000006,-0.62,2019-10-16,2019-10-17,2019-10-15
300271.SZA,4.392200000000001,2.9412000000000007,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300609.SZA,1.3870999999999998,2.9361,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
603208.SHA,1.1268,2.9358,-1.81,2019-10-30,2019-10-31,2019-10-29
300466.SZA,1.3649,2.9139000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
300381.SZA,2.2927,2.9117,-0.62,2019-10-16,2019-10-17,2019-10-15
002142.SZA,3.2272999999999996,2.9062999999999994,0.32000000000000006,2018-08-23,2018-08-24,2018-08-22
300459.SZA,0.8484999999999999,2.8875,-2.04,2018-06-27,2018-06-28,2018-06-26
300457.SZA,2.266,2.8850000000000002,-0.62,2019-10-16,2019-10-17,2019-10-15
300485.SZA,1.1656,2.8746,-1.71,2018-04-03,2018-04-04,2018-03-31
002958.SZA,3.413,2.872,0.54,2019-02-13,2019-02-14,2019-02-12
831445.SHA,3.413,2.872,0.54,2018-08-06,2018-08-07,2018-08-03
834803.SHA,3.413,2.872,0.54,2019-04-22,2019-04-23,2019-04-19
601015.SHA,1.1692000000000005,2.8682000000000003,-1.7,2018-10-26,2018-10-29,2018-10-25
002881.SZA,3.6867,2.8457000000000003,0.84,2018-05-02,2018-05-03,2018-04-27
300300.SZA,2.8383000000000003,2.8373000000000004,0.0,2018-02-08,2018-02-09,2018-02-07
002398.SZA,3.1545,2.8335000000000004,0.32,2019-08-21,2019-08-22,2019-08-20
002901.SZA,3.1535,2.8325,0.32000000000000006,2018-08-23,2018-08-24,2018-08-22
300003.SZA,1.6395,2.8285,-1.19,2018-03-14,2018-03-15,2018-03-13
000922.SZA,-4.2431,2.8259000000000003,-7.07,2018-10-10,2018-10-11,2018-10-09
835002.SHA,0.49060000000000004,2.8196000000000003,-2.33,2019-04-26,2019-04-29,2019-04-25
000613.SZA,1.2393,2.7883000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002271.SZA,2.9012,2.7802,0.12,2018-04-27,2018-05-02,2018-04-26
002038.SZA,1.8778000000000001,2.7768,-0.9,2018-04-02,2018-04-03,2018-03-30
000062.SZA,2.6098,2.7588,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300677.SZA,1.9829,2.7419000000000002,-0.76,2019-07-10,2019-07-11,2019-07-09
300682.SZA,2.8173999999999997,2.7363999999999997,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
002575.SZA,0.5054999999999996,2.7344999999999997,-2.23,2019-04-10,2019-04-11,2019-04-09
300001.SZA,-1.4756,2.7334,-4.21,2018-10-15,2018-10-16,2018-10-12
002135.SZA,0.5660000000000001,2.725,-2.16,2018-08-29,2018-08-30,2018-08-28
600765.SHA,8.072000000000001,2.7210000000000014,5.35,2019-02-01,2019-02-11,2019-01-31
000819.SZA,2.0396,2.7186,-0.6799999999999999,2018-10-29,2018-10-30,2018-10-26
002574.SZA,1.0065,2.7155,-1.71,2018-04-03,2018-04-04,2018-03-31
002859.SZA,2.1325,2.7015,-0.5700000000000001,2018-08-22,2018-08-23,2018-08-21
300050.SZA,0.4681000000000002,2.6971000000000003,-2.23,2019-04-10,2019-04-11,2019-04-09
600871.SHA,-1.5126,2.6964,-4.21,2018-10-15,2018-10-16,2018-10-12
300202.SZA,2.3248,2.6938000000000004,-0.3700000000000001,2018-07-02,2018-07-03,2018-06-29
603010.SHA,-1.0587,2.6903,-3.75,2018-08-01,2018-08-02,2018-07-31
200986.SZA,1.9295,2.6685000000000003,-0.74,2019-07-16,2019-07-17,2019-07-13
000803.SZA,1.9295,2.6685000000000003,-0.74,2018-07-17,2018-07-18,2018-07-14
300327.SZA,-1.5435,2.6655,-4.21,2018-10-15,2018-10-16,2018-10-12
002610.SZA,8.0147,2.6637,5.35,2019-02-01,2019-02-11,2019-01-31
000736.SZA,1.9933999999999998,2.6624,-0.6699999999999999,2018-04-17,2018-04-18,2018-04-14
002696.SZA,0.9436999999999998,2.6527,-1.71,2018-04-03,2018-04-04,2018-03-31
300326.SZA,2.8735999999999997,2.6526,0.21999999999999997,2018-09-25,2018-09-26,2018-09-21
002485.SZA,0.0,2.649,-2.65,2018-08-16,2018-08-17,2018-08-15
000690.SZA,1.9591000000000003,2.6281000000000003,-0.6699999999999999,2018-04-17,2018-04-18,2018-04-14
002644.SZA,2.3548999999999998,2.6239,-0.27,2018-10-25,2018-10-26,2018-10-24
002221.SZA,2.9276999999999997,2.6066999999999996,0.32000000000000006,2018-08-23,2018-08-24,2018-08-22
000962.SZA,0.08750000000000036,2.6065000000000005,-2.52,2018-10-12,2018-10-15,2018-10-11
833037.SHA,1.8935000000000002,2.6025000000000005,-0.7100000000000002,2019-02-26,2019-02-27,2019-02-25
430730.SZA,1.8935000000000002,2.6025000000000005,-0.7100000000000002,2019-02-28,2019-03-01,2019-02-27
870040.SHA,1.9829999999999999,2.602,-0.62,2019-02-26,2019-02-27,2019-02-25
000811.SZA,1.9829999999999999,2.602,-0.62,2019-10-16,2019-10-17,2019-10-15
832641.SHA,2.4503999999999997,2.5993999999999997,-0.15000000000000002,2019-02-20,2019-02-21,2019-02-19
002302.SZA,4.0378,2.5867999999999998,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
002819.SZA,0.0,2.579,-2.58,2018-08-30,2018-08-31,2018-08-29
300363.SZA,4.6629000000000005,2.5619000000000005,2.1,2019-10-09,2019-10-10,2019-10-08
300250.SZA,1.8160000000000003,2.555,-0.74,2018-07-17,2018-07-18,2018-07-14
300114.SZA,0.031200000000000117,2.5502000000000002,-2.52,2018-10-12,2018-10-15,2018-10-11
002084.SZA,3.0975000000000006,2.5465000000000004,0.55,2019-10-24,2019-10-25,2019-10-23
300760.SZA,4.5286,2.5376000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
000661.SZA,1.5251000000000001,2.5241000000000002,-1.0,2019-01-16,2019-01-17,2019-01-15
000563.SZA,4.2046,2.5236000000000005,1.68,2019-10-11,2019-10-14,2019-10-10
000615.SZA,0.9731,2.5221000000000005,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
600139.SHA,-3.6669,2.5220999999999996,-6.1899999999999995,2019-05-06,2019-05-07,2019-04-30
000506.SZA,0.9687,2.5177000000000005,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
000930.SZA,-1.6964000000000001,2.5126,-4.21,2018-10-15,2018-10-16,2018-10-12
002662.SZA,0.8115000000000001,2.5105,-1.7,2018-10-26,2018-10-29,2018-10-25
300429.SZA,-1.7203,2.4887,-4.21,2018-10-15,2018-10-16,2018-10-12
300519.SZA,3.9342,2.4832,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
870844.SHA,3.9342,2.4832,1.4500000000000002,2019-03-27,2019-03-28,2019-03-26
300619.SZA,-1.7315,2.4775,-4.21,2018-10-15,2018-10-16,2018-10-12
300368.SZA,1.9137,2.4727,-0.5599999999999999,2018-04-04,2018-04-09,2018-04-03
002379.SZA,5.1409,2.4699000000000004,2.67,2019-04-16,2019-04-17,2019-04-13
603351.SHA,0.9057999999999997,2.4548,-1.5500000000000003,2019-01-15,2019-01-16,2019-01-14
300652.SZA,0.9057999999999997,2.4548,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
300584.SZA,1.2842999999999998,2.4533,-1.17,2019-07-02,2019-07-03,2019-07-01
000651.SZA,-4.6282,2.4408000000000007,-7.07,2018-10-10,2018-10-11,2018-10-09
002643.SZA,4.6818,2.4408,2.24,2018-10-31,2018-11-01,2018-10-30
600130.SHA,7.7802,2.4292000000000002,5.35,2019-02-01,2019-02-11,2019-01-31
300174.SZA,0.26170000000000004,2.4207000000000005,-2.16,2018-08-29,2018-08-30,2018-08-28
688022.SHA,0.26170000000000004,2.4207000000000005,-2.16,2019-07-01,2019-07-02,2019-06-28
300131.SZA,1.8629000000000002,2.4119000000000006,-0.55,2019-07-09,2019-07-10,2019-07-08
600277.SHA,0.16749999999999998,2.3965,-2.23,2019-01-29,2019-01-30,2019-01-26
300057.SZA,2.4683,2.3873,0.08000000000000002,2019-07-16,2019-07-17,2019-07-13
300603.SZA,3.3857999999999997,2.3848,0.9999999999999999,2019-08-26,2019-08-27,2019-08-23
000159.SZA,0.8271999999999999,2.3762000000000003,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002547.SZA,1.6955999999999998,2.3745999999999996,-0.6799999999999999,2018-10-29,2018-10-30,2018-10-26
600768.SHA,2.5249,2.3639,0.15999999999999998,2019-08-20,2019-08-21,2019-08-19
300343.SZA,5.7242999999999995,2.3632999999999997,3.36,2019-02-11,2019-02-12,2019-02-01
300335.SZA,2.3529,2.3519,0.0,2018-01-31,2018-02-01,2018-01-30
002569.SZA,6.4451,2.3441000000000005,4.1,2019-04-01,2019-04-02,2019-03-29
603660.SHA,4.843999999999999,2.3429999999999995,2.5,2018-08-27,2018-08-28,2018-08-24
600028.SHA,1.2204,2.3394,-1.12,2018-07-26,2018-07-27,2018-07-25
002931.SZA,1.7201999999999997,2.3392,-0.62,2019-10-16,2019-10-17,2019-10-15
002691.SZA,2.4429,2.3319,0.10999999999999988,2018-08-21,2018-08-22,2018-08-18
300020.SZA,3.7803,2.3293,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
002735.SZA,0.5169999999999999,2.326,-1.81,2019-03-26,2019-03-27,2019-03-25
002263.SZA,-0.8694,2.3196,-3.19,2019-07-08,2019-07-09,2019-07-05
002838.SZA,0.6191,2.3181,-1.7,2018-10-26,2018-10-29,2018-10-25
600353.SHA,0.46850000000000014,2.2975000000000003,-1.83,2019-01-30,2019-01-31,2019-01-29
002642.SZA,2.6534999999999997,2.2925,0.36,2019-07-11,2019-07-12,2019-07-10
300430.SZA,2.1418,2.2908,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
300349.SZA,3.481,2.27,1.21,2018-03-27,2018-03-28,2018-03-26
000584.SZA,0.0,2.259,-2.26,2018-04-16,2018-04-17,2018-04-13
000528.SZA,0.0024000000000000132,2.2314000000000003,-2.23,2019-01-29,2019-01-30,2019-01-26
300414.SZA,2.0714,2.2204,-0.15000000000000002,2018-07-16,2018-07-17,2018-07-13
002889.SZA,0.5211000000000001,2.2201,-1.7,2018-10-26,2018-10-29,2018-10-25
002053.SZA,-4.4901,2.2189,-6.71,2019-04-30,2019-05-06,2019-04-27
000502.SZA,7.5613,2.2103000000000006,5.35,2019-02-01,2019-02-11,2019-01-31
831727.SHA,1.2834,2.1824000000000003,-0.9,2019-01-07,2019-01-08,2019-01-04
002966.SZA,1.2834,2.1824000000000003,-0.9,2019-06-18,2019-06-19,2019-06-17
002066.SZA,0.0230999999999999,2.1821,-2.16,2018-08-29,2018-08-30,2018-08-28
300298.SZA,1.9824,2.1814,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
603586.SHA,0.3611,2.1701,-1.81,2019-10-30,2019-10-31,2019-10-29
300604.SZA,0.6138999999999999,2.1629,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
002533.SZA,1.0126,2.1616,-1.15,2018-07-30,2018-07-31,2018-07-27
002225.SZA,1.7047999999999999,2.1538,-0.45,2018-10-24,2018-10-25,2018-10-23
002050.SZA,4.7795,2.1485,2.63,2018-10-30,2018-10-31,2018-10-29
300605.SZA,2.2786,2.1476,0.1299999999999999,2019-10-14,2019-10-15,2019-10-11
603040.SHA,1.5034999999999998,2.1425,-0.64,2018-04-13,2018-04-16,2018-04-12
688018.SHA,-2.0715,2.1375,-4.21,2019-07-03,2019-07-04,2019-07-02
300261.SZA,0.2833999999999999,2.1324,-1.85,2018-09-10,2018-09-11,2018-09-07
002799.SZA,3.488,2.1270000000000002,1.36,2019-04-02,2019-04-03,2019-03-30
300701.SZA,0.7937000000000001,2.1227000000000005,-1.33,2019-01-22,2019-01-23,2019-01-21
002612.SZA,0.4099999999999999,2.119,-1.71,2018-04-03,2018-04-04,2018-03-31
603658.SHA,7.4689,2.1179,5.35,2019-02-01,2019-02-11,2019-01-31
002187.SZA,0.4112,2.1102000000000003,-1.7,2018-10-26,2018-10-29,2018-10-25
830862.SHA,3.1155999999999997,2.1046,1.01,2019-03-05,2019-03-06,2019-03-04
002031.SZA,3.1036,2.1026000000000002,0.9999999999999999,2019-08-26,2019-08-27,2019-08-23
002458.SZA,-0.47740000000000005,2.1016,-2.58,2018-08-30,2018-08-31,2018-08-29
000591.SZA,1.8996,2.0986,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
836263.SHA,1.7163,2.0753,-0.36,2019-04-30,2019-05-06,2019-04-29
300175.SZA,-0.25509999999999966,2.0739000000000005,-2.33,2019-04-11,2019-04-12,2019-04-10
002655.SZA,3.1043000000000003,2.0733,1.03,2019-08-14,2019-08-15,2019-08-13
002929.SZA,3.5238,2.0728,1.4500000000000002,2018-02-06,2018-02-07,2018-02-05
300167.SZA,2.1505,2.0695,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
002883.SZA,2.3807,2.0597,0.32000000000000006,2018-08-23,2018-08-24,2018-08-22
688122.SHA,-0.2746000000000002,2.0544,-2.33,2019-07-03,2019-07-04,2019-07-02
300339.SZA,-0.2746000000000002,2.0544,-2.33,2019-04-11,2019-04-12,2019-04-10
002447.SZA,1.3117,2.0507000000000004,-0.74,2018-07-17,2018-07-18,2018-07-14
603869.SHA,2.1976,2.0466,0.14999999999999997,2018-08-13,2018-08-14,2018-08-10
603966.SHA,3.4912,2.0402,1.45,2019-10-10,2019-10-11,2019-10-09
300558.SZA,0.1976,2.0166,-1.82,2019-10-15,2019-10-16,2019-10-14
300287.SZA,5.335500000000001,2.014500000000001,3.32,2018-07-12,2018-07-13,2018-07-11
300231.SZA,3.6898999999999997,2.0089,1.68,2019-10-11,2019-10-14,2019-10-10
300275.SZA,1.3873999999999995,2.0063999999999997,-0.62,2019-10-16,2019-10-17,2019-10-15
300076.SZA,-2.2144,1.9946000000000002,-4.21,2018-10-15,2018-10-16,2018-10-12
300385.SZA,1.7938,1.9928000000000001,-0.19999999999999996,2018-04-11,2018-04-12,2018-04-10
300560.SZA,0.4355000000000002,1.9845000000000006,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002438.SZA,2.981,1.98,1.0,2018-08-08,2018-08-09,2018-08-07
002839.SZA,-1.0179,1.9710999999999999,-2.9899999999999998,2018-08-15,2018-08-16,2018-08-14
300356.SZA,-2.2467,1.9623,-4.21,2018-10-15,2018-10-16,2018-10-12
300227.SZA,2.0352,1.9542000000000002,0.08000000000000002,2019-07-16,2019-07-17,2019-07-15
600985.SHA,0.12159999999999993,1.9506000000000001,-1.83,2019-01-30,2019-01-31,2019-01-29
600266.SHA,0.14149999999999996,1.9505000000000001,-1.81,2019-10-30,2019-10-31,2019-10-29
300184.SZA,0.6141,1.9431000000000003,-1.33,2019-01-22,2019-01-23,2019-01-21
600050.SHA,1.494,1.943,-0.45,2018-10-24,2018-10-25,2018-10-23
002598.SZA,0.8165,1.9355000000000002,-1.12,2018-07-26,2018-07-27,2018-07-25
002435.SZA,2.7704,1.9294000000000002,0.84,2018-05-02,2018-05-03,2018-04-27
002035.SZA,2.7666999999999997,1.9257,0.84,2018-05-02,2018-05-03,2018-04-27
002145.SZA,1.2431999999999999,1.9222,-0.6799999999999999,2018-10-29,2018-10-30,2018-10-26
300405.SZA,2.9323,1.9213000000000002,1.01,2018-04-10,2018-04-11,2018-04-09
300125.SZA,-0.2404,1.9186000000000003,-2.16,2018-08-29,2018-08-30,2018-08-28
000576.SZA,0.08829999999999982,1.9173,-1.83,2019-01-30,2019-01-31,2019-01-29
300074.SZA,3.3681,1.9171,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
300313.SZA,0.3568,1.9058000000000004,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
002523.SZA,2.0132,1.9022000000000001,0.10999999999999988,2018-08-21,2018-08-22,2018-08-18
002381.SZA,2.0069,1.8959000000000001,0.10999999999999988,2018-08-21,2018-08-22,2018-08-18
300460.SZA,5.194599999999999,1.8735999999999997,3.32,2018-07-12,2018-07-13,2018-07-11
002706.SZA,3.1916,1.8706000000000003,1.32,2018-04-23,2018-04-24,2018-04-20
300053.SZA,0.3184999999999998,1.8675000000000002,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
300499.SZA,0.3105000000000002,1.8595000000000006,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-13
600571.SHA,3.8346,1.8436000000000003,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
300444.SZA,0.29359999999999997,1.8426000000000005,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
300467.SZA,-0.3941000000000008,1.8348999999999993,-2.23,2019-04-10,2019-04-11,2019-04-09
000972.SZA,0.012700000000000156,1.8317000000000003,-1.82,2019-10-15,2019-10-16,2019-10-12
002651.SZA,0.021299999999999875,1.8303,-1.81,2019-10-30,2019-10-31,2019-10-29
300731.SZA,0.0,1.8190000000000002,-1.82,2019-10-15,2019-10-16,2019-10-14
300144.SZA,0.2615000000000003,1.8105000000000007,-1.5500000000000003,2018-10-16,2018-10-17,2018-10-15
002391.SZA,0.3103,1.7993000000000003,-1.4900000000000002,2018-04-19,2018-04-20,2018-04-18
002623.SZA,7.1385000000000005,1.787500000000001,5.35,2019-02-01,2019-02-11,2019-01-31
831177.SHA,1.1660000000000001,1.7850000000000001,-0.62,2019-02-15,2019-02-18,2019-02-14
300455.SZA,3.2359,1.7849,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
200025.SZA,3.2359,1.7849,1.4500000000000002,2019-07-16,2019-07-17,2019-07-13
