,rtn,pure_rtn,zz500_rtn,in_date,out_date,pub_date
300525.SZA,10.7902,10.6592,0.1299999999999999,2019-10-14,2019-10-15,2019-10-11
200056.SZA,12.3033,10.602300000000001,1.7,2018-04-17,2018-04-18,2018-04-14
002895.SZA,10.8108,10.449800000000002,0.36,2019-07-11,2019-07-12,2019-07-10
603335.SHA,13.0053,10.3743,2.63,2018-10-30,2018-10-31,2018-10-27
300724.SZA,9.6523,10.371300000000002,-0.72,2019-01-25,2019-01-28,2019-01-24
000005.SZA,9.557500000000001,10.296500000000002,-0.74,2018-07-17,2018-07-18,2018-07-14
400006.SZA,10.269,10.158000000000001,0.10999999999999988,2019-04-22,2019-04-23,2019-04-19
002927.SZA,10.269,10.158000000000001,0.10999999999999988,2018-08-21,2018-08-22,2018-08-18
200054.SZA,10.269,10.158000000000001,0.10999999999999988,2018-07-10,2018-07-11,2018-07-07
600131.SHA,7.584,10.103,-2.52,2018-10-12,2018-10-15,2018-10-11
002898.SZA,9.1519,10.0509,-0.9,2018-04-02,2018-04-03,2018-03-30
300394.SZA,2.365,10.004,-7.64,2018-10-11,2018-10-12,2018-10-10
300575.SZA,7.4652,9.984200000000001,-2.52,2018-10-12,2018-10-15,2018-10-11
603583.SHA,11.9608,9.969800000000001,1.9899999999999998,2019-01-31,2019-02-01,2019-01-30
000935.SZA,12.6787,9.8877,2.79,2018-07-09,2018-07-10,2018-07-06
002110.SZA,8.482199999999999,9.861199999999998,-1.38,2018-07-10,2018-07-11,2018-07-07
002020.SZA,3.1142,9.8232,-6.71,2019-04-30,2019-05-06,2019-04-27
002665.SZA,11.1086,9.7476,1.36,2019-04-02,2019-04-03,2019-03-30
836813.SHA,9.259699999999999,9.5787,-0.32000000000000006,2018-07-04,2018-07-05,2018-07-03
000823.SZA,12.1648,9.4938,2.67,2019-04-16,2019-04-17,2019-04-13
002333.SZA,14.8063,9.455300000000001,5.35,2019-02-01,2019-02-11,2019-01-31
600731.SHA,12.093399999999999,9.4224,2.67,2019-04-16,2019-04-17,2019-04-13
002847.SZA,8.8028,9.4218,-0.62,2019-10-16,2019-10-17,2019-10-15
834425.SHA,1.7670000000000003,9.406,-7.64,2019-03-29,2019-04-01,2019-03-28
000416.SZA,12.025,9.354000000000001,2.67,2019-04-16,2019-04-17,2019-04-13
300552.SZA,9.6366,9.3456,0.29000000000000004,2019-10-31,2019-11-01,2019-10-30
300152.SZA,6.974,9.203000000000001,-2.23,2019-04-10,2019-04-11,2019-04-09
300036.SZA,10.6365,9.195500000000001,1.44,2018-03-30,2018-04-02,2018-03-29
002010.SZA,10.5051,9.144100000000002,1.36,2019-04-02,2019-04-03,2019-03-30
300573.SZA,9.203100000000001,9.142100000000001,0.06,2019-04-09,2019-04-10,2019-04-08
300554.SZA,10.128,9.117,1.01,2018-04-10,2018-04-11,2018-04-09
300239.SZA,9.5442,9.103200000000001,0.43999999999999995,2018-07-13,2018-07-16,2018-07-12
300253.SZA,9.4541,9.013100000000001,0.44,2018-03-19,2018-03-20,2018-03-16
300773.SZA,10.3457,8.894700000000002,1.4500000000000002,2019-07-15,2019-07-16,2019-07-12
603227.SHA,10.891599999999999,8.8806,2.01,2019-07-23,2019-07-24,2019-07-20
002605.SZA,10.4071,8.8461,1.56,2018-09-03,2018-09-04,2018-08-31
300469.SZA,6.2768,8.7958,-2.52,2018-10-12,2018-10-15,2018-10-11
002215.SZA,9.627,8.786000000000001,0.84,2018-05-02,2018-05-03,2018-04-27
