,rtn,pure_rtn,zz500_rtn,net_rtn,in_date,out_date,code,pub_date,sum_pure_return,positions,is_real,forecasttype,forecast,zfpx,size,turnover_rate5,turnover_rate1,pct_change5,pct_change,pe_ttm,volume_ratio,industry,from_list_date
5841,-24.142236363636375,-25.96980414940154,1.6675677857651643,-0.0,2019-07-15,20190716,002759.SZ,2019-07-15,84.47454931260002,0.0,0,预增,2.0,907.8,279333.5015,3.1490599999999995,3.1697,0.006680584551148232,-0.005358338914936375,39.1478,1.01,10.0,7.31455283232408
3862,-24.11023926776741,-22.24770576797976,-2.022533499787651,-0.3705873677878239,2019-01-28,20190129,300391.SZ,2019-01-28,69.51701031206413,0.01665732959850609,1,预增,2.0,57.78,138408.1749,10.80186,12.1127,0.04786476868327401,0.1003159557661927,26.4161,1.56,61.0,7.3987862754199485
2681,-14.724488273615636,-21.99432782946307,7.109839555847433,-0.0,2018-10-12,20181113,300237.SZ,2018-10-12,27.663216222299553,0,0,略增,0.0,20.19,716620.906,0.91382,0.8366,-0.018879056047197657,-0.0300157977883097,13.0766,0.93,8.0,7.881559917056899
3,-18.986615384615387,-19.610608369575985,0.46399298496059915,-7.844243347830394,2018-01-24,20180125,002866.SZ,2018-01-24,-7.844243347830394,0.4,1,略增,0.0,37.745,119497.4976,4.4291599999999995,8.4322,-0.01407821229050277,-0.04532415375788865,54.647,2.16,14.0,5.583496308781699
6381,-19.80447682020802,-18.860684945668584,-1.103791874539435,-0.0,2019-10-14,20191016,300322.SZ,2019-10-14,99.33407829971988,0.0,0,预增,2.0,100.075,998406.1603,13.901259999999999,13.3724,0.01657280772325022,-0.02109090909090903,92.1274,0.96,31.0,7.8898337513942955
5165,-20.237226448737008,-18.613364275708623,-1.7838621730283866,-0.0,2019-04-29,20190430,002261.SZ,2019-04-27,70.06491279794014,0.0,0,预增,2.0,75.0,582008.0928,7.085179999999999,13.812000000000001,0.0015748031496063215,-0.031770045385779114,,2.56,2.0,8.274357006756292
3071,-17.7440636672326,-18.55203792512382,0.6479742578912209,-0.19943691066834557,2018-10-18,20181019,600738.SH,2018-10-18,26.18810252274116,0.010750134916351217,1,预增,2.0,1025.0,248121.1699,0.7073599999999999,0.7689,-0.028529839883551684,-0.0650793650793651,34.5065,1.33,51.0,9.000236434169777
4374,-17.015128641072515,-18.1660890073759,0.9909603663033846,-0.0,2019-02-28,20190301,300586.SZ,2019-02-28,61.13596317170838,0.0,0,预增,2.0,215.0,100449.7125,13.495980000000003,15.8183,0.043652561247216025,0.09986595174262736,71.0579,1.32,57.0,6.656726524178391
6806,-18.21152176165803,-18.031266043738537,-0.3402557179194936,-0.0,2019-10-28,20191029,002291.SZ,2019-10-28,100.97222077940631,0.0,0,预增,2.0,1858.895,307967.7029,5.34422,12.9771,0.07040280210157618,0.09971509971509974,126.28,4.29,97.0,8.216088098632316
5457,-15.462446856205572,-17.345829763029855,1.7233829068242836,-0.07227429067929068,2019-07-12,20190716,300630.SZ,2019-07-12,84.52256206995943,0.004166666666666645,1,预增,2.0,65.0,814626.0448,1.3977000000000002,0.8335,-0.01046632124352332,-0.010994953136265312,68.4232,0.55,39.0,6.720220155135295
6907,-16.887744171779143,-17.302406391796985,0.254662220017841,-0.0,2019-10-31,20191101,002740.SZ,2019-10-31,99.19078040175165,0.0,0,预增,2.0,115.0,154918.7151,8.263639999999999,30.9016,0.06504065040650407,0.09986504723346831,110.9627,12.79,97.0,7.459338895220296
5171,-16.87645278969956,-15.252590616671172,-1.7838621730283866,-0.0,2019-04-29,20190430,002054.SZ,2019-04-29,70.06491279794014,0.0,0,预增,2.0,75.63,363705.3331,16.39372,45.3731,0.09308176100628932,0.10009442870632677,87.58200000000002,5.69,57.0,8.445482343862237
