,date,ndate,instrument,sname,hymc,forecast,forecasttype,increasel,increaset,zfpx,forecastcontent
18,2020-03-31,2020-04-16,002089.SZA,ST新海,通讯行业,increase,扭亏,100.0,102.36,101.18,预计2020年1-3月归属于上市公司股东的净利润盈利:0万元至100万元。
19,2020-03-31,2020-04-16,601326.SHA,秦港股份,港口水运,increase,预增,103.0,120.0,111.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:24,000万元至26,000万元,同比上年增长:103%至120%。"
20,2020-03-31,2020-04-16,603887.SHA,城地股份,工程建设,increase,预增,195.0,220.0,207.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:6,980.35万元至7,571.9万元,同比上年增长:195%至220%。"
21,2020-03-31,2020-04-16,002979.SZA,雷赛智能,仪器仪表,increase,预增,90.0,110.0,100.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,700万元-2,900万元,同比上年同期上升90%-110%。"
22,2020-03-31,2020-04-16,603239.SHA,浙江仙通,汽车行业,increase,略增,14.11,14.11,14.11,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,178.07万元左右,同比上年增长:14.11%。"
23,2020-03-31,2020-04-15,002888.SZA,惠威科技,电子信息,increase,预增,130.0,160.0,145.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:848.24万元至958.88万元,同比上年增长:130%至160%。"
24,2020-03-31,2020-04-15,002810.SZA,山东赫达,化工行业,increase,略增,10.0,40.0,25.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,135.95万元至3,991.2万元,同比上年增长:10%至40%。"
25,2020-03-31,2020-04-15,002897.SZA,意华股份,电子元件,increase,预增,349.78,574.67,462.225,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,800万元至4,200万元,同比上年增长:349.78%至574.67%。"
26,2020-03-31,2020-04-15,603613.SHA,国联股份,电子信息,increase,预增,80.38,84.94,82.66,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,950万元至4,050万元,同比上年增长:80.38%至84.94%。"
27,2020-03-31,2020-04-15,002837.SZA,英维克,机械行业,increase,预增,43.28,85.42,64.35,"预计2020年1-3月归属于上市公司股东的净利润盈利:850万元至1,100万元,同比上年增长:43.28%至85.42%。"
28,2020-03-31,2020-04-15,002437.SZA,誉衡药业,医药制造,increase,预增,636.94,695.43,666.185,"预计2020年1-3月归属于上市公司股东的净利润盈利:63,000万元至68,000万元,同比上年增长:636.94%至695.43%。"
29,2020-03-31,2020-04-15,002880.SZA,卫光生物,医药制造,increase,略增,0.0,30.0,15.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,697.97万元至3,507.36万元,同比上年增长:0%至30%。"
30,2020-03-31,2020-04-15,603258.SHA,电魂网络,软件服务,increase,预增,122.51,171.52,147.015,"预计2020年1-3月归属于上市公司股东的净利润盈利:9,081.21万元至11,081.21万元,同比上年增长:122.51%至171.52%。"
31,2020-03-31,2020-04-15,002847.SZA,盐津铺子,食品饮料,increase,预增,75.52,110.63,93.075,"预计2020年1-3月归属于上市公司股东的净利润盈利:5,000万元至6,000万元,同比上年增长:75.52%至110.63%。"
32,2020-03-31,2020-04-15,688377.SHA,迪威尔,专用设备,increase,略增,10.0,20.0,15.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:约2,200万元至2,400万元,同比增长约10%至20%。"
33,2020-03-31,2020-04-15,002972.SZA,科安达,专用设备,increase,略增,3.47,26.5,14.985,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,689万元至2,065万元,同比上年增长:3.47%至26.5%。"
34,2020-03-31,2020-04-15,000735.SZA,罗牛山,农牧饲渔,increase,扭亏,259.87,276.97,268.42,"预计2020年1-3月归属于上市公司股东的净利润盈利:2,150万元至2,380万元,同比上年增长:259.87%至276.97%。"
35,2020-03-31,2020-04-15,002562.SZA,兄弟科技,医药制造,increase,扭亏,170.8,192.04,181.42,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,800万元至2,340万元。"
36,2020-03-31,2020-04-15,002456.SZA,欧菲光,电子元件,increase,扭亏,146.77,170.16,158.465,"预计2020年1-3月归属于上市公司股东的净利润盈利:12,000万元至18,000万元。"
37,2020-03-31,2020-04-15,002578.SZA,闽发铝业,有色金属,increase,略增,0.0,5.0,2.5,"预计2020年1-3月归属于上市公司股东的净利润盈利:427.04万元至448.39万元,同比上年增长:0%至5%。"
38,2020-03-31,2020-04-15,002522.SZA,浙江众成,包装材料,increase,预增,50.0,70.0,60.0,"预计2020年1-3月归属于上市公司股东的净利润盈利:1,770.21万元至2,006.24万元,同比上年增长:50%至70%。"
