n,date,ndate,instrument,,,
,2019-03-31,2019-04-09,300500.SZA,,,
,2019-03-31,2019-04-09,300415.SZA,,,
,2019-03-31,2019-04-09,300297.SZA,,,
,2019-03-31,2019-04-09,300273.SZA,,,
,2019-03-31,2019-04-09,300516.SZA,,,
,2019-03-31,2019-04-10,300648.SZA,,,
,2019-03-31,2019-04-10,300293.SZA,,,
,2019-03-31,2019-04-10,300387.SZA,,,
,2019-03-31,2019-03-20,300439.SZA,,,
,2019-03-31,2019-04-09,300535.SZA,,,
,2019-03-31,2019-03-29,002377.SZA,,,
,2019-03-31,2019-03-15,002013.SZA,,,
,2019-03-31,2019-01-19,002241.SZA,,,
,2019-03-31,2019-03-29,300416.SZA,,,
,2019-03-31,2019-04-10,300172.SZA,,,
,2019-03-31,2019-03-30,002853.SZA,,,
,2019-03-31,2019-02-27,300623.SZA,,,
,2019-03-31,2019-02-01,300748.SZA,,,
,2019-03-31,2019-04-09,300377.SZA,,,
,2019-03-31,2019-03-06,300722.SZA,,,
,2019-03-31,2019-03-09,002334.SZA,,,
,2019-03-31,2019-02-26,300033.SZA,,,
,2019-03-31,2019-03-30,002221.SZA,,,
,2019-03-31,2019-03-29,300732.SZA,,,
,2019-03-31,2019-03-30,002599.SZA,,,
,2019-03-31,2019-02-26,300398.SZA,,,
,2019-03-31,2019-01-22,300619.SZA,,,
,2019-03-31,2019-02-27,300602.SZA,,,
,2019-03-31,2019-02-28,002462.SZA,,,
,2019-03-31,2019-03-06,300059.SZA,,,
,2019-03-31,2019-03-29,300476.SZA,,,
,2019-03-31,2019-04-09,300664.SZA,,,
,2019-03-31,2019-04-11,300651.SZA,,,
,2019-03-31,2019-03-12,300455.SZA,,,
,2019-03-31,2019-04-09,300434.SZA,,,
,2019-03-31,2019-03-23,300579.SZA,,,
,2019-03-31,2019-03-25,603681.SHA,,,
,2019-03-31,2019-04-10,300270.SZA,,,
,2019-03-31,2019-03-27,002526.SZA,,,
,2019-03-31,2019-02-26,300751.SZA,,,
,2019-03-31,2019-03-19,603967.SHA,,,
,2019-03-31,2019-03-15,300536.SZA,,,
,2019-03-31,2019-04-09,300109.SZA,,,
,2019-03-31,2019-04-10,300385.SZA,,,
,2019-03-31,2019-04-09,300427.SZA,,,
,2019-03-31,2019-04-15,000885.SZA,,,
,2019-03-31,2019-04-09,300086.SZA,,,
,2019-03-31,2019-04-10,300547.SZA,,,
,2019-03-31,2019-04-08,300486.SZA,,,
,2019-03-31,2019-04-10,300375.SZA,,,
,2019-03-31,2019-04-09,300538.SZA,,,
,2019-03-31,2019-03-20,300179.SZA,,,
,2019-03-31,2019-03-26,300401.SZA,,,
,2019-03-31,2019-02-12,002958.SZA,,,
,2019-03-31,2019-04-09,300442.SZA,,,
,2019-03-31,2019-03-30,002829.SZA,,,
,2019-03-31,2019-04-09,300605.SZA,,,
,2019-03-31,2019-03-25,603068.SHA,,,
,2019-03-31,2019-04-09,300093.SZA,,,
,2019-03-31,2019-04-13,000059.SZA,,,
,2019-03-31,2019-03-26,300393.SZA,,,
,2019-03-31,2019-04-10,300413.SZA,,,
,2019-03-31,2019-04-10,300268.SZA,,,
,2019-03-31,2019-03-29,002574.SZA,,,
,2019-03-31,2019-03-28,300624.SZA,,,
,2019-03-31,2019-04-15,000402.SZA,,,
,2019-03-31,2019-03-15,300024.SZA,,,
,2019-03-31,2019-04-09,300717.SZA,,,
,2019-03-31,2019-04-11,002737.SZA,,,
,2019-03-31,2019-03-23,002831.SZA,,,
,2019-03-31,2019-03-16,300753.SZA,,,
,2019-03-31,2019-04-09,300265.SZA,,,
,2019-03-31,2019-03-05,300765.SZA,,,
,2019-03-31,2019-03-12,300692.SZA,,,
,2019-03-31,2019-03-29,300320.SZA,,,
,2019-03-31,2019-04-10,300342.SZA,,,
,2019-03-31,2019-04-01,300020.SZA,,,
,2019-03-31,2019-04-09,300089.SZA,,,
,2019-03-31,2019-03-29,300066.SZA,,,
,2019-03-31,2019-04-09,300576.SZA,,,
,2019-03-31,2019-04-02,300207.SZA,,,
,2019-03-31,2019-04-09,300468.SZA,,,
,2019-03-31,2019-03-30,300678.SZA,,,
,2019-03-31,2019-04-10,300430.SZA,,,
,2019-03-31,2019-04-10,300582.SZA,,,
,2019-03-31,2019-04-11,603982.SHA,,,
,2019-03-31,2019-04-11,000529.SZA,,,
,2019-03-31,2019-04-08,300712.SZA,,,
,2019-03-31,2019-04-12,000031.SZA,,,
,2019-03-31,2019-03-25,300768.SZA,,,
,2019-03-31,2019-04-09,300607.SZA,,,
,2019-03-31,2019-04-09,300131.SZA,,,
,2019-03-31,2019-04-09,300170.SZA,,,
,2019-03-31,2019-03-29,300009.SZA,,,
,2019-03-31,2019-03-28,300767.SZA,,,
,2019-03-31,2019-04-10,000723.SZA,,,
,2019-03-31,2019-03-30,002514.SZA,,,
,2019-03-31,2019-03-28,002896.SZA,,,
,2019-03-31,2019-02-27,300296.SZA,,,
,2019-03-31,2019-03-30,300244.SZA,,,
,2019-03-31,2019-04-09,300137.SZA,,,
,2019-03-31,2019-03-29,300233.SZA,,,
,2019-03-31,2019-03-15,300395.SZA,,,
,2019-03-31,2019-04-09,300670.SZA,,,
,2019-03-31,2019-04-10,300746.SZA,,,
,2019-03-31,2019-03-29,300007.SZA,,,
,2019-03-31,2019-03-12,300136.SZA,,,
,2019-03-31,2019-04-08,300243.SZA,,,
,2019-03-31,2019-03-28,300144.SZA,,,
,2019-03-31,2019-03-29,300726.SZA,,,
,2019-03-31,2019-04-09,300035.SZA,,,
,2019-03-31,2019-03-13,300723.SZA,,,
,2019-03-31,2019-03-27,300445.SZA,,,
,2019-03-31,2019-04-10,300119.SZA,,,
,2019-03-31,2019-04-09,300050.SZA,,,
,2019-03-31,2019-03-29,300259.SZA,,,
,2019-03-31,2019-04-09,300384.SZA,,,
,2019-03-31,2019-03-29,002115.SZA,,,
,2019-03-31,2019-04-10,300339.SZA,,,
