Code,Sname,ts_code
600000,浦发银行,600000.SH
600004,白云机场,600004.SH
600006,东风汽车,600006.SH
600007,中国国贸,600007.SH
600008,首创股份,600008.SH
600009,上海机场,600009.SH
600010,包钢股份,600010.SH
600011,华能国际,600011.SH
600015,华夏银行,600015.SH
600016,民生银行,600016.SH
600017,日照港  ,600017.SH
600018,上港集团,600018.SH
600019,宝钢股份,600019.SH
600020,中原高速,600020.SH
600021,上海电力,600021.SH
600022,山东钢铁,600022.SH
600023,浙能电力,600023.SH
600026,中远海能,600026.SH
600027,华电国际,600027.SH
600028,中国石化,600028.SH
600029,南方航空,600029.SH
600030,中信证券,600030.SH
600031,三一重工,600031.SH
600033,福建高速,600033.SH
600036,招商银行,600036.SH
600037,歌华有线,600037.SH
600038,中直股份,600038.SH
600039,四川路桥,600039.SH
600048,保利地产,600048.SH
600050,中国联通,600050.SH
600056,中国医药,600056.SH
600058,五矿发展,600058.SH
600059,古越龙山,600059.SH
600060,海信电器,600060.SH
600061,国投安信,600061.SH
600062,华润双鹤,600062.SH
600063,皖维高新,600063.SH
600064,南京高科,600064.SH
600066,宇通客车,600066.SH
600067,冠城大通,600067.SH
600068,葛洲坝  ,600068.SH
600073,上海梅林,600073.SH
600077,宋都股份,600077.SH
600078,澄星股份,600078.SH
600079,人福医药,600079.SH
600085,同仁堂  ,600085.SH
600086,东方金钰,600086.SH
600088,中视传媒,600088.SH
600089,特变电工,600089.SH
600094,大名城  ,600094.SH
600096,云天化  ,600096.SH
600098,广州发展,600098.SH
600100,同方股份,600100.SH
600104,上汽集团,600104.SH
600107,美尔雅  ,600107.SH
600108,亚盛集团,600108.SH
600109,国金证券,600109.SH
600110,诺德股份,600110.SH
600111,北方稀土,600111.SH
600112,天成控股,600112.SH
600113,浙江东日,600113.SH
600115,东方航空,600115.SH
600116,三峡水利,600116.SH
600118,中国卫星,600118.SH
600119,长江投资,600119.SH
600120,浙江东方,600120.SH
600123,兰花科创,600123.SH
600125,铁龙物流,600125.SH
600132,重庆啤酒,600132.SH
600135,乐凯胶片,600135.SH
600138,中青旅  ,600138.SH
600139,西部资源,600139.SH
600141,兴发集团,600141.SH
600143,金发科技,600143.SH
600146,商赢环球,600146.SH
600149,廊坊发展,600149.SH
600150,中国船舶,600150.SH
600151,航天机电,600151.SH
600153,建发股份,600153.SH
600155,宝硕股份,600155.SH
600157,永泰能源,600157.SH
600158,中体产业,600158.SH
600160,巨化股份,600160.SH
600161,天坛生物,600161.SH
600166,福田汽车,600166.SH
600168,武汉控股,600168.SH
600169,太原重工,600169.SH
600170,上海建工,600170.SH
600171,上海贝岭,600171.SH
600175,美都能源,600175.SH
600176,中国巨石,600176.SH
600177,雅戈尔  ,600177.SH
600183,生益科技,600183.SH
600185,格力地产,600185.SH
600186,莲花健康,600186.SH
600187,国中水务,600187.SH
600188,兖州煤业,600188.SH
600193,创兴资源,600193.SH
600196,复星医药,600196.SH
600197,伊力特  ,600197.SH
600198,大唐电信,600198.SH
600199,金种子酒,600199.SH
600200,江苏吴中,600200.SH
600201,生物股份,600201.SH
600206,有研新材,600206.SH
600208,新湖中宝,600208.SH
600209,罗顿发展,600209.SH
600210,紫江企业,600210.SH
600216,浙江医药,600216.SH
600218,全柴动力,600218.SH
600219,南山铝业,600219.SH
600220,江苏阳光,600220.SH
600221,海南航空,600221.SH
600222,太龙药业,600222.SH
600223,鲁商置业,600223.SH
600225,天津松江,600225.SH
600229,城市传媒,600229.SH
600237,铜峰电子,600237.SH
600239,云南城投,600239.SH
600240,华业资本,600240.SH
600251,冠农股份,600251.SH
600252,中恒集团,600252.SH
600256,广汇能源,600256.SH
600257,大湖股份,600257.SH
600259,广晟有色,600259.SH
600260,凯乐科技,600260.SH
600261,阳光照明,600261.SH
600266,北京城建,600266.SH
