rtn,pure_rtn,zz500_rtn,net_rtn,in_date,out_date,code,pub_date,sum_pure_return,positions,is_real,forecasttype,forecast,zfpx,size,turnover_rate5,turnover_rate1,pct_change5,pct_change,pe_ttm,volume_ratio,industry,from_list_date
-2.5822066650797524,-4.455397971636895,1.7131913065571427,-3.564318377309516,2016-01-22,20160125,002192.SZ,2016-01-22,-3.564318377309516,0.8,1,扭亏,1.0,128.58,480683.8351,4.56148,5.7645,0.01604525584983285,-0.04997738579828134,,1.33,47.0,7.993957547573565
-1.017395986038389,4.054343841410091,-5.2317398274484805,0.0,2016-01-25,20160126,002359.SZ,2016-01-25,-3.564318377309516,0,0,扭亏,1.0,155.17,962465.0889,1.9324400000000002,2.3253,0.031702385766275765,0.05408388520971298,,1.3,31.0,7.681560362559537
-12.73979211822661,-8.463678300582709,-4.436113817643902,-6.770942640466167,2016-01-27,20160128,300301.SZ,2016-01-27,-10.335261017775682,0.8,1,预增,2.0,91.36,192801.1379,6.38202,6.3682,-0.009389671361502356,-0.08558558558558575,74.2163,0.99,102.0,7.24422751560335
3.3639176470588246,1.1637633801733454,2.0401542668854793,0.9310107041386764,2016-02-01,20160202,300298.SZ,2016-01-30,-9.404250313637005,0.8,1,略增,0.0,35.0,526398.5618,1.1708,1.1708,0.0,0.0,40.57,0.76,37.0,7.247080584585756
1.0467741293532247,-1.1418955604228291,2.028669689776054,-0.9135164483382634,2016-02-03,20160204,300367.SZ,2016-02-03,-10.31776676197527,0.8,1,略增,0.0,25.0,903293.4452,3.7314599999999998,6.1159,0.03647058823529411,0.07736287296766121,131.9567,2.07,14.0,6.590301048196686
-7.24988492462311,-8.165562583220476,0.7556776585973648,-0.0,2016-02-04,20160205,300023.SZ,2016-02-04,-10.31776676197527,0,0,预增,2.0,735.89,199179.502,14.297799999999999,15.7264,0.025049476957873903,-0.02211302211302225,539.4515,1.09,47.0,7.732369222284388
-3.7618808510638324,-4.677558509661197,0.7556776585973648,-0.0,2016-02-04,20160205,002643.SZ,2016-02-04,-10.31776676197527,0,0,预增,2.0,285.0,1006747.8584,1.39352,1.3239,0.03303377750232413,-0.0021231422505307404,71.3277,0.87,57.0,7.313220387090301
11.524429872188641,9.768304081317154,1.5961257908714854,7.814643265053724,2016-02-17,20160219,300450.SZ,2016-02-17,-2.5031234969215452,0.8,1,预增,2.0,92.075,343162.0,11.09038,11.2431,0.03751029532886225,0.047317629967832335,121.3846,1.05,47.0,5.564520407322694
-1.3930872702046508,-2.73243056701999,1.179343296815339,-0.0,2016-02-19,20160222,300376.SZ,2016-02-19,-2.5031234969215452,0,0,略增,0.0,35.0,361482.072,14.694260000000003,20.8831,0.04432203389830506,0.03130030406009659,60.8703,1.6,25.0,6.6052979209482015
-5.052453846153852,-5.809575475344198,0.5971216291903461,-0.0,2016-02-23,20160224,300271.SZ,2016-02-23,-2.5031234969215452,0.0,0,预增,2.0,45.0,923896.2928,2.4226599999999996,2.2277,0.001648085312651495,0.03225806451612914,70.0671,0.92,42.0,7.3613754289773485
-10.029692607802868,-10.786814236993214,0.5971216291903461,-8.629451389594571,2016-02-23,20160224,002280.SZ,2016-02-23,-11.132574886516117,0.8,1,预增,2.0,67.28,1226531.1812,5.78214,5.5529,0.031079478054567043,0.025047358450852555,115.728,0.98,42.0,7.7706452341291765
-2.8141945324476243,4.071285982138844,-7.045480514586468,0.0,2016-02-24,20160225,300363.SZ,2016-02-24,-11.132574886516117,0,0,略增,0.0,35.0,280573.3287,2.5587799999999996,2.1258,-0.002920443101711975,-0.02442671984047849,57.9638,0.81,39.0,6.618738983517219
-14.307294176275166,-10.128511909307466,-4.3387822669677,-8.102809527445974,2016-02-26,20160229,002536.SZ,2016-02-26,-19.23538441396209,0.8,1,预增,2.0,75.0,448569.2684,4.6980200000000005,4.8207,-0.019187279151943463,-0.09991204925241864,96.6341,0.97,19.0,7.5310163320779155
-1.3775157816005983,1.656330426538765,-3.1938462081393633,0.0,2016-02-29,20160301,002309.SZ,2016-02-29,-19.23538441396209,0,0,扭亏,1.0,114.81,481698.5782,1.8057000000000003,1.2177,-0.020657276995305177,0.0,55.2781,0.6,25.0,7.731053144007127
