,rtn,pure_rtn,zz500_rtn,in_date,code,pub_date,sum_pure_return
2018-02-14,-1.7336055299539173,-1.7576055299539173,0.0,2018-02-13,300095.SZA,2018-02-12,-3.071168774098979
2019-04-10,-1.6687538755980855,-1.7017538755980854,0.009,2019-04-09,002825.SZA,2019-04-08,17.64486300795575
2019-06-04,-1.9624294697442313,-1.6294294697442313,-0.357,2019-06-03,002776.SZA,2019-05-31,26.195109971237788
2019-03-13,-1.6374735947712404,-1.5804735947712405,-0.081,2019-03-12,300559.SZA,2019-03-11,16.142817460297334
2018-04-17,-1.8475994607087833,-1.5325994607087834,-0.33899999999999997,2018-04-16,000537.SZA,2018-04-13,2.106149435041956
2018-02-13,-1.4238890253565755,-1.4478890253565755,0.0,2018-02-12,300151.SZA,2018-02-09,-1.3135632441450618
2018-06-21,-1.4398810950259824,-1.3138810950259825,-0.15,2018-06-20,603729.SHA,2018-06-19,0.4184059931184274
2018-02-07,-1.1625156224066397,-1.1865156224066398,0.0,2018-02-06,002009.SZA,2018-02-05,-0.9743339176342911
2019-10-21,-1.3943542307692305,-1.1828542307692305,-0.2355,2019-10-18,002876.SZA,2019-10-17,27.467309957392214
2019-03-12,-0.22048043021819616,-1.106980430218196,0.8624999999999999,2019-03-11,300657.SZA,2019-03-08,17.723291055068575
2019-10-09,-0.8614739092872566,-1.0129739092872567,0.1275,2019-10-08,300146.SZA,2019-09-30,29.940243657506933
2019-03-07,-0.5113383692569502,-0.9943383692569502,0.45899999999999996,2019-03-06,002384.SZA,2019-03-05,17.552031485286772
2018-04-18,-1.0702629481991104,-0.9937629481991104,-0.10049999999999999,2018-04-17,000786.SZA,2018-04-14,1.1123864868428457
2018-04-03,-1.052730731166912,-0.9417307311669121,-0.135,2018-04-02,002847.SZA,2018-03-30,3.3483185355021905
2018-11-26,-1.50207,-0.9185700000000001,-0.6074999999999999,2018-11-23,300449.SZA,2018-11-22,10.716645545219787
2019-11-04,-0.6527730653950963,-0.8897730653950963,0.213,2019-11-01,002740.SZA,2019-10-31,29.628824577305487
2019-04-17,-0.46135714285714124,-0.8858571428571412,0.40049999999999997,2019-04-16,000707.SZA,2019-04-13,17.140757210778872
2018-07-31,-1.034347536520584,-0.8858475365205841,-0.1725,2018-07-30,603367.SHA,2018-07-27,3.695670622667414
2019-03-15,-1.033075912240184,-0.878575912240184,-0.17850000000000002,2019-03-14,300042.SZA,2019-03-13,15.721320072647313
2018-10-23,-0.33427573216520595,-0.827775732165206,0.4695,2018-10-22,002735.SZA,2018-10-19,4.38927382632174
2018-04-20,-1.0200460843373511,-0.8205460843373511,-0.22350000000000003,2018-04-19,603388.SHA,2018-04-18,0.7789124376581309
