,rtn,pure_rtn,zz500_rtn,in_date,code,pub_date,sum_pure_return
2018-03-14,-1.0455988141650403,-0.8145988141650403,-0.255,2018-03-13,300584.SZA,2018-03-12,-1.4966982965647633
2019-10-15,-0.7691064087759818,-0.8126064087759818,0.019499999999999983,2019-10-14,300701.SZA,2019-10-11,28.879709553897886
2018-06-04,-0.9705492245989297,-0.8070492245989297,-0.1875,2018-06-01,300230.SZA,2018-05-31,1.1148359072066238
2018-08-02,-1.31292439849624,-0.77442439849624,-0.5625,2018-08-01,002139.SZA,2018-07-31,2.9030911331945664
2019-06-26,-0.9101871488961953,-0.7496871488961954,-0.1845,2019-06-25,300401.SZA,2019-06-24,24.231015341197885
2019-08-15,-0.5315719565217394,-0.7100719565217394,0.1545,2019-08-14,002438.SZA,2019-08-13,25.765437075204186
2018-09-28,-0.721057988313856,-0.700057988313856,-0.045000000000000005,2018-09-27,300571.SZA,2018-09-26,3.277534378641781
2019-01-16,-0.49767661707632505,-0.698676617076325,0.177,2019-01-15,300389.SZA,2019-01-12,13.661900993823515
2018-04-11,-0.5177475534914581,-0.6932475534914581,0.1515,2018-04-10,300707.SZA,2018-04-05,3.480638009018676
2018-12-27,-0.8985556966199507,-0.6930556966199508,-0.22949999999999998,2018-12-26,300476.SZA,2018-12-25,15.195733200213207
2018-09-03,-0.7468568946765899,-0.6853568946765899,-0.0855,2018-08-31,002789.SZA,2018-08-30,3.556990977336453
2019-12-19,-0.6314484508764792,-0.6719484508764791,0.0165,2019-12-18,002463.SZA,2019-12-17,43.99605142550953
2018-10-31,-0.2489034033613441,-0.6674034033613441,0.39449999999999996,2018-10-30,002112.SZA,2018-10-27,5.111677748602968
2019-06-17,-0.8667052332657199,-0.6612052332657199,-0.22949999999999998,2019-06-14,002249.SZA,2019-06-13,25.53390473797207
2019-07-25,-0.4224394742567073,-0.6564394742567073,0.21,2019-07-24,002674.SZA,2019-07-23,24.76553603513636
2019-07-02,-0.20697881443299063,-0.6389788144329906,0.408,2019-07-01,300146.SZA,2019-06-28,24.184942068101368
2018-04-27,-0.8548350543084713,-0.6313350543084713,-0.2475,2018-04-26,002849.SZA,2018-04-25,0.7557100392593838
2019-07-10,-0.6797617478510017,-0.6212617478510017,-0.0825,2019-07-09,002315.SZA,2019-07-06,23.843083343738524
2018-12-28,-0.7204710560093347,-0.6004710560093347,-0.14400000000000002,2018-12-27,300285.SZA,2018-12-26,14.595262144203872
2019-07-29,-0.5447640816326542,-0.5852640816326542,0.0165,2019-07-26,603366.SHA,2019-07-25,24.372236720945565
2019-03-21,-0.366450555555557,-0.573450555555557,0.18300000000000002,2019-03-20,300037.SZA,2019-03-19,15.03560475422438
2019-12-25,-0.24881516587677827,-0.5638151658767783,0.291,2019-12-24,300259.SZA,2019-12-23,49.65517392375482
2018-03-22,-0.7032057879234177,-0.5502057879234177,-0.177,2018-03-21,300122.SZA,2018-03-20,-0.9518655728013405
2018-11-06,-0.5111648952543831,-0.5366648952543831,0.0015000000000000013,2018-11-05,002727.SZA,2018-11-02,5.213857404782242
2019-09-02,-0.26787535055350553,-0.5198753505535055,0.22800000000000004,2019-08-30,002054.SZA,2019-08-29,27.822007320187215
2019-06-28,-0.5298332142857132,-0.5193332142857132,-0.03449999999999998,2019-06-27,300531.SZA,2019-06-26,23.63362588253436
2019-02-11,0.31418918918918964,-0.5123108108108102,0.8024999999999999,2019-02-01,603959.SHA,2019-01-31,14.48475299293626
2018-02-05,-0.453341741573033,-0.477341741573033,0.0,2018-02-02,300097.SZA,2018-02-01,0.5893417047723486
2019-01-14,-0.4367913462841647,-0.47729134628416475,0.016499999999999997,2019-01-11,300630.SZA,2019-01-10,14.698859753756981
2018-01-23,-0.44082877192982534,-0.46482877192982536,0.0,2018-01-22,300536.SZA,2018-01-19,-0.04734080750294922
2019-03-01,-0.27803448186528446,-0.4490344818652845,0.147,2019-02-28,300115.SZA,2019-02-27,18.636800380356345
2019-07-04,-0.5895894252873571,-0.43808942528735717,-0.1755,2019-07-03,300263.SZA,2019-07-02,23.802670546039817
2018-08-15,-0.7643112817089457,-0.4238112817089458,-0.36449999999999994,2018-08-14,002006.SZA,2018-08-11,3.88517646011091
2018-06-22,-0.47813300153727806,-0.39563300153727804,-0.10650000000000003,2018-06-21,300296.SZA,2018-06-20,0.02277299158114937
2018-12-18,-0.4730661797752818,-0.39356617977528185,-0.10350000000000001,2018-12-17,300568.SZA,2018-12-14,15.985265767336754
2018-06-26,-0.3640996744930638,-0.3895996744930638,0.0014999999999999846,2018-06-25,600986.SHA,2018-06-22,-0.39017236252356585
2019-10-08,-0.5528376923076926,-0.38633769230769266,-0.1905,2019-09-30,000739.SZA,2019-09-27,30.95321756679419
2018-02-06,-0.35316,-0.37716,0.0,2018-02-05,002191.SZA,2018-02-02,0.2121817047723486
2019-04-01,0.7145433273703029,-0.37445667262969706,1.065,2019-03-29,300144.SZA,2019-03-28,18.412080001330278
2018-07-25,-0.0772739743589749,-0.3742739743589749,0.273,2018-07-24,600236.SHA,2018-07-21,4.221709344286008
2019-04-04,-0.09288741935483709,-0.3658874193548371,0.249,2019-04-03,000811.SZA,2019-04-02,18.773044255974593
2019-03-22,-0.051635172413793326,-0.36363517241379334,0.288,2019-03-21,002836.SZA,2019-03-20,14.671969581810586
2019-09-27,-0.5741618366793254,-0.36116183667932544,-0.237,2019-09-26,300036.SZA,2019-09-25,31.339555259101882
2018-06-06,-0.08673260869565162,-0.3522326086956516,0.24149999999999996,2018-06-05,002274.SZA,2018-06-02,0.7626032985109723
2018-02-26,0.07358357670979916,-0.3419164232902009,0.3915,2018-02-23,300410.SZA,2018-02-22,-2.767658900153878
2019-01-25,-0.3080254037886358,-0.34102540378863583,0.009,2019-01-24,000014.SZA,2019-01-23,13.6235839042516
2019-01-15,-0.2002821428571401,-0.3382821428571401,0.11399999999999998,2019-01-14,600888.SHA,2019-01-11,14.36057761089984
2018-07-05,-0.9311900704225344,-0.3296900704225345,-0.6255,2018-07-04,300422.SZA,2018-07-03,2.717125145645391
2019-01-29,-0.5259109937888193,-0.3264109937888193,-0.2235,2019-01-28,300226.SZA,2019-01-25,14.88487791046278
2019-10-18,-0.529582777777778,-0.325582777777778,-0.22799999999999998,2019-10-17,600794.SHA,2019-10-16,28.650164188161444
2019-10-25,-0.2152490909090912,-0.3217490909090912,0.0825,2019-10-24,002481.SZA,2019-10-23,27.341418467822248
2018-03-13,-0.18128824590503848,-0.32078824590503846,0.11549999999999998,2018-03-12,300559.SZA,2018-03-09,-0.6820994823997228
2019-12-26,-0.12450456221198093,-0.3135045622119809,0.16499999999999998,2019-12-25,300014.SZA,2019-12-24,49.34166936154284
2019-10-17,-0.38224687500000215,-0.31324687500000215,-0.093,2019-10-16,000750.SZA,2019-10-15,28.975746965939223
2018-08-21,-0.00971953987730047,-0.3112195398773005,0.2775,2018-08-20,002811.SZA,2018-08-17,4.009205462511702
2019-04-29,-0.8184224891774894,-0.30992248917748944,-0.5325,2019-04-26,002695.SZA,2019-04-25,18.773376601410867
2019-04-18,-0.2838123809523795,-0.3033123809523795,-0.004500000000000004,2019-04-17,600655.SHA,2019-04-16,16.83744482982649
2019-04-08,-0.2491688870431905,-0.30316888704319056,0.03,2019-04-04,000420.SZA,2019-04-03,18.4698753689314
2019-10-14,-0.026407336668627483,-0.3024073366686275,0.252,2019-10-11,002230.SZA,2019-10-10,29.692315962673867
2019-06-24,-0.0516491436464099,-0.2856491436464099,0.21000000000000002,2019-06-21,000902.SZA,2019-06-20,24.98070249009408
2018-07-20,-0.20303047717842332,-0.28253047717842333,0.0555,2018-07-19,300527.SZA,2018-07-18,4.4682030848482714
2018-08-30,-0.5744552697302693,-0.2744552697302693,-0.324,2018-08-29,002382.SZA,2018-08-28,4.194950748725372
2018-03-01,-0.046667299270072626,-0.26866729927007266,0.198,2018-02-28,300072.SZA,2018-02-27,-2.9252060793038304
2019-06-20,0.24544689576842416,-0.2675531042315758,0.48899999999999993,2019-06-19,002643.SZA,2019-06-18,25.26635163374049
2018-03-23,-1.079422910602912,-0.26192291060291206,-0.8415,2018-03-22,300457.SZA,2018-03-21,-1.2137884834042527
2018-08-22,-0.2088067924528319,-0.24930679245283188,0.01649999999999998,2018-08-21,002401.SZA,2018-08-18,3.7598986700588704
2019-01-22,-0.3583671951219524,-0.2458671951219524,-0.1365,2019-01-21,300057.SZA,2019-01-18,14.32035913795187
2018-07-02,0.03648304878048945,-0.24401695121951056,0.2565,2018-06-29,600353.SHA,2018-06-28,1.7248806082931523
2019-02-28,-0.25317750289165863,-0.23817750289165862,-0.039,2019-02-27,300033.SZA,2019-02-26,19.085834862221628
2019-08-30,-0.32653242290748746,-0.22303242290748745,-0.1275,2019-08-29,601615.SHA,2019-08-28,28.34188267074072
2019-12-09,-0.027314064171121758,-0.22231406417112176,0.171,2019-12-06,601366.SHA,2019-12-05,44.667999876386006
2019-08-20,0.27904510471204247,-0.2219548952879575,0.477,2019-08-19,603033.SHA,2019-08-16,26.349642932369875
2019-01-24,-0.08518040462427888,-0.21268040462427887,0.10350000000000001,2019-01-23,000544.SZA,2019-01-22,13.964609308040236
2018-08-20,-0.3572551396070322,-0.2117551396070322,-0.16949999999999998,2018-08-17,002737.SZA,2018-08-16,4.320425002389003
2019-01-09,-0.1831041704619372,-0.2086041704619372,0.0015000000000000013,2019-01-08,300271.SZA,2019-01-07,15.075537628008403
2018-08-27,0.12010215976331291,-0.20239784023668714,0.29850000000000004,2018-08-24,002470.SZA,2018-08-23,3.8488941181860956
2018-04-16,-0.26939188172043016,-0.19739188172043015,-0.096,2018-04-13,000683.SZA,2018-04-12,3.6387488957507395
2019-08-28,0.05378636579572637,-0.1952136342042736,0.22499999999999998,2019-08-27,600894.SHA,2019-08-24,27.083575093648207
2018-11-01,0.16846302250803868,-0.19153697749196133,0.336,2018-10-31,002339.SZA,2018-10-30,4.920140771111007
2018-04-26,-0.4357617667844533,-0.18526176678445325,-0.2745,2018-04-25,002389.SZA,2018-04-24,1.387045093567855
2019-04-11,-0.49483648055832413,-0.18433648055832416,-0.33449999999999996,2019-04-10,300405.SZA,2019-04-09,17.460526527397423
2019-03-26,-0.7697543023255815,-0.1817543023255815,-0.612,2019-03-25,002800.SZA,2019-03-22,15.228719234708885
2019-07-12,-0.10198000000000039,-0.1799800000000004,0.054,2019-07-11,002642.SZA,2019-07-10,24.046954670269137
2019-07-08,-0.6144270512820502,-0.17942705128205025,-0.45899999999999996,2019-07-05,000829.SZA,2019-07-04,23.675659958846165
2018-09-20,0.005089205776173133,-0.17941079422382683,0.16049999999999998,2018-09-19,603636.SHA,2018-09-18,3.5105834826581166
2018-07-10,0.26548499999999997,-0.177015,0.4185,2018-07-09,000031.SZA,2018-07-06,3.9094620704689396
2018-10-16,-0.7793235093167702,-0.17182350931677023,-0.6315,2018-10-15,300244.SZA,2018-10-12,4.982330616339225
2019-08-02,-0.43212330033003227,-0.16962330033003223,-0.28650000000000003,2019-08-01,601319.SHA,2019-07-31,24.277374686124215
2018-08-09,0.004630564784054014,-0.16936943521594597,0.15,2018-08-08,002587.SZA,2018-08-07,3.651412414331097
2018-04-25,0.20507221859706207,-0.1684277814029379,0.3495,2018-04-24,601628.SHA,2018-04-21,1.5723068603523083
2018-01-26,-0.14336289473684266,-0.16736289473684265,0.0,2018-01-25,002866.SZA,2018-01-24,-0.21470370223979188
2018-05-04,-2.071823206178935e-06,-0.16200207182320617,0.13799999999999998,2018-05-03,002130.SZA,2018-04-28,0.42488513180555365
2019-03-20,-0.08416939878589753,-0.14716939878589752,0.039,2019-03-19,300753.SZA,2019-03-16,15.609055309779936
2019-01-23,-0.3185694252873546,-0.14306942528735458,-0.1995,2019-01-22,000791.SZA,2019-01-19,14.177289712664516
2018-07-06,-0.48257634048257303,-0.1420763404825731,-0.36449999999999994,2018-07-05,000591.SZA,2018-07-04,2.575048805162818
2018-09-19,0.31964747582205055,-0.13935252417794944,0.435,2018-09-18,300088.SZA,2018-09-17,3.6899942768819436
2019-08-14,-0.10209595530417906,-0.12309595530417908,-0.0029999999999999858,2019-08-13,300226.SZA,2019-08-10,26.475509031725927
2018-05-02,-0.0738003680981578,-0.1158003680981578,0.018,2018-04-27,002193.SZA,2018-04-26,0.639909671161226
2019-07-17,-0.074706401273887,-0.110706401273887,0.012000000000000002,2019-07-16,300759.SZA,2019-07-13,24.250624045125313
2018-03-20,-0.02059191192461066,-0.11059191192461065,0.066,2018-03-19,300073.SZA,2018-03-16,-0.7002432796618265
2019-09-26,-0.6965516358839046,-0.10555163588390468,-0.6149999999999999,2019-09-25,002274.SZA,2019-09-24,31.700717095781208
2019-03-28,-0.14711177966101682,-0.10361177966101684,-0.06749999999999999,2019-03-27,300366.SZA,2019-03-26,18.084484622677927
2019-08-26,-0.1766456249999981,-0.1016456249999981,-0.099,2019-08-23,002226.SZA,2019-08-22,26.698577867893267
2019-01-21,0.16697200445434363,-0.09852799554565633,0.24149999999999996,2019-01-18,300321.SZA,2019-01-17,14.566226333073823
2018-12-24,-0.018476870503597274,-0.09647687050359727,0.054,2018-12-21,000639.SZA,2018-12-20,15.888788896833157
2019-03-04,0.32806947418737903,-0.09043052581262093,0.39449999999999996,2019-03-01,300146.SZA,2019-02-28,18.546369854543723
2019-10-11,0.15364875617792562,-0.08785124382207438,0.2175,2019-10-10,000829.SZA,2019-10-09,29.994723299342493
2019-10-24,-0.20188244372990294,-0.08338244372990294,-0.1425,2019-10-23,002609.SZA,2019-10-22,27.663167558731338
2018-04-12,-0.08856564618165434,-0.08256564618165435,-0.029999999999999992,2018-04-11,300439.SZA,2018-04-10,3.3980723628370217
2019-06-27,0.04494375562218843,-0.07805624437781158,0.099,2019-06-26,300448.SZA,2019-06-25,24.152959096820073
2018-07-13,0.4553619230769239,-0.06663807692307602,0.49799999999999994,2018-07-12,601168.SHA,2018-07-11,4.567492608095702
2018-03-05,-0.10629372340425487,-0.06579372340425488,-0.0645,2018-03-02,300301.SZA,2018-03-01,-2.86523608550692
2018-07-24,0.3332843717277474,-0.0642156282722526,0.3735,2018-07-23,600456.SHA,2018-07-20,4.595983318644983
2018-10-22,1.1200739658444014,-0.05892603415559836,1.1549999999999998,2018-10-19,002014.SZA,2018-10-18,5.217049558486946
2019-04-16,0.13718252552756985,-0.05481747447243016,0.168,2019-04-15,002669.SZA,2019-04-12,18.026614353636013
2018-05-03,0.09697753246753375,-0.05302246753246625,0.126,2018-05-02,600187.SHA,2018-04-27,0.5868872036287598
2019-08-23,5.920743639859088e-05,-0.04044079256360141,0.0165,2019-08-22,000565.SZA,2019-08-21,26.800223492893267
2018-07-16,0.05092569620253291,-0.03907430379746708,0.06599999999999999,2018-07-13,300727.SZA,2018-07-12,4.528418304298235
2019-01-30,-0.3463532038834961,-0.035853203883496144,-0.33449999999999996,2019-01-29,300154.SZA,2019-01-26,14.849024706579284
2018-04-02,0.20578281021897687,-0.03421718978102312,0.216,2018-03-30,002871.SZA,2018-03-29,4.290049266669103
2018-06-25,0.10715432038834856,-0.02334567961165141,0.10649999999999997,2018-06-22,300492.SZA,2018-06-21,-0.0005726880305020401
2018-08-16,-0.44563917525773317,-0.021139175257733213,-0.44849999999999995,2018-08-15,002724.SZA,2018-08-14,3.8640372848531768
2019-01-07,0.6370741853699096,-0.019925814630090334,0.6329999999999999,2019-01-04,300122.SZA,2019-01-03,14.68970528161641
2018-08-01,-0.22515509097660746,-0.01815509097660748,-0.23099999999999998,2018-07-31,603127.SHA,2018-07-28,3.6775155316908066
2019-08-22,0.056300667166417184,-0.015699332833582817,0.048,2019-08-21,002810.SZA,2019-08-20,26.840664285456867
2018-10-30,-0.08868952380952327,-0.010689523809523281,-0.102,2018-10-29,002296.SZA,2018-10-26,5.779081151964312
2019-02-01,0.3136391803278687,-0.008860819672131239,0.29849999999999993,2019-01-31,300341.SZA,2019-01-30,14.99706380374707
2019-03-18,0.5842639309576849,-0.008236069042315088,0.5685,2019-03-15,000999.SZA,2019-03-14,15.713084003604997
2018-10-08,-0.32221427895981136,-0.007214278959811395,-0.33899999999999997,2018-09-28,300136.SZA,2018-09-27,3.2703200996819697
2018-02-08,0.022065882352941563,-0.0019341176470584372,0.0,2018-02-07,002741.SZA,2018-02-06,-0.9762680352813495
2019-01-02,-0.07898104795737133,0.0035189520426286633,-0.1065,2018-12-28,300146.SZA,2018-12-27,14.598781096246501
2019-01-11,0.122445,0.006945,0.0915,2019-01-10,000683.SZA,2019-01-09,15.176151100041146
2018-09-04,0.2674574131274124,0.009457413127412405,0.23399999999999999,2018-09-03,600247.SHA,2018-08-31,3.5664483904638655
2018-07-18,-0.0731840774907736,0.013815922509226398,-0.111,2018-07-17,300297.SZA,2018-07-14,4.727743512521745
2018-10-10,-0.015285974025974458,0.01471402597402554,-0.054,2018-10-09,300553.SZA,2018-10-08,3.2850341256559954
2019-07-30,0.12117884792626432,0.020678847926264322,0.0765,2019-07-29,002182.SZA,2019-07-26,24.392915568871828
2018-07-19,-0.19900995049505066,0.022990049504949338,-0.246,2018-07-18,600496.SHA,2018-07-17,4.750733562026695
2018-08-07,0.15164201298701468,0.0361420129870147,0.09149999999999998,2018-08-06,002860.SZA,2018-08-03,3.456289412151384
2018-07-30,-0.1896860150375948,0.0383139849624052,-0.252,2018-07-27,601968.SHA,2018-07-26,4.581518159187998
2019-07-15,0.31392304195804105,0.04092304195804105,0.249,2019-07-12,002300.SZA,2019-07-11,24.08787771222718
2019-03-19,0.5216407049608351,0.043140704960835184,0.45449999999999996,2019-03-18,300395.SZA,2019-03-15,15.756224708565833
2018-08-31,-0.3156028767123289,0.047397123287671115,-0.387,2018-08-30,002358.SZA,2018-08-29,4.242347872013043
2018-11-30,-0.14428536585366056,0.05071463414633944,-0.219,2018-11-29,000818.SZA,2018-11-28,11.881479465080412
2019-07-05,0.08241646408839937,0.052416464088399374,0.005999999999999997,2019-07-04,002444.SZA,2019-07-03,23.855087010128216
2019-04-24,-0.03432154205607627,0.052678457943923694,-0.11099999999999997,2019-04-23,300163.SZA,2019-04-22,18.30655291232528
2019-08-01,-0.08241758241758249,0.05408241758241752,-0.1605,2019-07-31,600726.SHA,2019-07-30,24.446997986454246
2019-07-03,-0.09568209677419329,0.0558179032258067,-0.1755,2019-07-02,300236.SZA,2019-07-01,24.240759971327176
2018-02-01,0.08533786287088825,0.06133786287088825,0.0,2018-01-31,000818.SZA,2018-01-30,-0.15336583936890363
2018-07-26,0.00024060975609896949,0.06324060975609896,-0.08700000000000001,2018-07-25,601898.SHA,2018-07-24,4.284949954042108
2018-08-13,0.24148983870967747,0.06748983870967748,0.15,2018-08-10,002849.SZA,2018-08-09,3.9078700451906414
2019-12-27,0.08048926900584853,0.06848926900584854,-0.01200000000000001,2019-12-26,002832.SZA,2019-12-25,49.41015863054869
2019-07-19,-0.047234804560259636,0.08026519543974037,-0.1515,2019-07-18,600863.SHA,2019-07-17,24.65256878880395
2020-01-02,0.4610804761904781,0.08308047619047806,0.35400000000000004,2019-12-31,300497.SZA,2019-12-30,50.24379410673917
2019-01-10,0.13416847203274326,0.09366847203274326,0.0165,2019-01-09,603369.SHA,2019-01-08,15.169206100041146
2018-08-24,0.16728624535316125,0.09528624535316124,0.04800000000000001,2018-08-23,002363.SZA,2018-08-22,4.051291958422783
2019-01-04,0.42285,0.11085000000000003,0.288,2019-01-03,300016.SZA,2019-01-02,14.7096310962465
2018-02-28,0.12012012012012022,0.11112012012012021,-0.015,2018-02-27,002217.SZA,2018-02-26,-2.656538780033758
2019-05-07,-0.7825974641148329,0.121902535885167,-0.9284999999999999,2019-05-06,002857.SZA,2019-04-30,21.11638914512403
2018-07-12,0.26155133093525085,0.12355133093525086,0.11399999999999999,2018-07-11,002463.SZA,2018-07-10,4.6341306850187785
2018-10-29,-0.10672689873417705,0.12427310126582294,-0.255,2018-10-26,002873.SZA,2018-10-25,5.789770675773835
2018-03-02,0.2307637172011652,0.12576371720116522,0.081,2018-03-01,002138.SZA,2018-02-28,-2.799442362102665
2018-03-07,0.20801802603036795,0.12701802603036794,0.057000000000000016,2018-03-06,002745.SZA,2018-03-05,-2.132693933739814
2018-06-07,0.04566787671232918,0.12816787671232918,-0.1065,2018-06-06,000818.SZA,2018-06-05,0.8907711752233015
2018-06-13,0.08659693641618506,0.12859693641618505,-0.06599999999999999,2018-06-12,600869.SHA,2018-06-09,1.0193681116394866
2019-10-22,0.28481709677419376,0.12881709677419376,0.132,2019-10-21,002479.SZA,2019-10-18,27.59612705416641
2018-04-10,0.26872131075110606,0.13072131075110607,0.11399999999999999,2018-04-09,300255.SZA,2018-04-04,4.173885562510134
2019-02-27,0.08217397655545679,0.1376739765554568,-0.0795,2019-02-26,002537.SZA,2019-02-25,19.324012365113287
2019-04-15,-0.02057394366197298,0.14142605633802702,-0.186,2019-04-12,000700.SZA,2019-04-11,18.081431828108443
2019-10-10,0.48133088565763477,0.14233088565763477,0.315,2019-10-09,300363.SZA,2019-10-08,30.08257454316457
2019-10-23,0.22392294829483014,0.15042294829483013,0.04950000000000001,2019-10-22,002299.SZA,2019-10-19,27.74655000246124
2019-01-31,-0.09360008316008324,0.1568999168399168,-0.2745,2019-01-30,300244.SZA,2019-01-29,15.005924623419201
2019-05-27,0.4703149999999981,0.16731499999999813,0.27899999999999997,2019-05-24,002593.SZA,2019-05-23,27.82453944098202
2019-01-18,0.234375,0.171375,0.039,2019-01-17,000875.SZA,2019-01-16,14.664754328619479
2018-10-26,0.1585998784194516,0.17509987841945163,-0.0405,2018-10-25,002474.SZA,2018-10-24,5.665497574508012
2018-03-28,0.38906747706422046,0.18356747706422047,0.1815,2018-03-27,300256.SZA,2018-03-24,3.112967940476054
2019-10-31,-0.0626914538310402,0.18480854616895984,-0.2715,2019-10-30,603033.SHA,2019-10-29,30.032751010047523
2018-07-17,0.18700928571428388,0.18550928571428388,-0.022500000000000003,2018-07-16,300593.SZA,2018-07-13,4.713927590012519
2018-08-10,0.6704677921498671,0.18896779214986711,0.45749999999999996,2018-08-09,002563.SZA,2018-08-08,3.840380206480964
2019-07-26,0.29246476744185945,0.19196476744185945,0.0765,2019-07-25,600410.SHA,2019-07-24,24.95750080257822
2018-07-23,0.5159958620689643,0.19199586206896432,0.3,2018-07-20,600126.SHA,2018-07-19,4.660198946917236
2019-07-22,0.011751728665208032,0.19475172866520804,-0.207,2019-07-19,600031.SHA,2019-07-18,24.847320517469157
2018-08-23,0.13460704301075108,0.19610704301075108,-0.0855,2018-08-22,002514.SZA,2018-08-21,3.9560057130696213
2019-09-04,0.4999950444225069,0.22249504442250692,0.2535,2019-09-03,603308.SHA,2019-08-31,28.86249004228381
2019-07-24,0.551219276527331,0.22571927652733112,0.30149999999999993,2019-07-23,603871.SHA,2019-07-22,25.421975509393068
2018-03-29,0.26170657894736815,0.23620657894736816,0.0015000000000000013,2018-03-28,300532.SZA,2018-03-27,3.349174519423422
2018-03-09,0.5727594412607456,0.2532594412607456,0.2955,2018-03-08,300505.SZA,2018-03-07,-1.2798017897763674
2018-07-27,0.11425422018348468,0.25825422018348465,-0.168,2018-07-26,600028.SHA,2018-07-25,4.543204174225592
2018-09-11,0.009398410596027529,0.26289841059602753,-0.2775,2018-09-10,300261.SZA,2018-09-07,3.8293468010598932
2019-07-16,0.5149527341720216,0.27345273417202154,0.21750000000000003,2019-07-15,300616.SZA,2019-07-12,24.3613304463992
2018-04-04,0.06034621076233297,0.29284621076233297,-0.2565,2018-04-03,601233.SHA,2018-03-31,3.6411647462645234
2018-10-18,0.023644976303318292,0.29364497630331826,-0.294,2018-10-17,002728.SZA,2018-10-16,5.275975592642544
2018-04-24,0.518039704097115,0.29603970409711494,0.198,2018-04-23,002757.SZA,2018-04-20,1.7407346417552463
2018-03-21,0.2625834947839037,0.29858349478390367,-0.05999999999999999,2018-03-20,300462.SZA,2018-03-19,-0.40165978487792287
2018-08-28,0.7056355660377381,0.3066355660377381,0.375,2018-08-27,002191.SZA,2018-08-24,4.155529684223834
2018-08-29,0.282376334231807,0.313876334231807,-0.0555,2018-08-28,002116.SZA,2018-08-25,4.469406018455641
2019-07-18,0.07867954823889763,0.3216795482388976,-0.267,2019-07-17,603609.SHA,2019-07-16,24.57230359336421
2019-10-29,0.38937608695652204,0.32187608695652203,0.043500000000000004,2019-10-28,002280.SZA,2019-10-25,29.512971666332554
2019-04-30,0.07737217054263686,0.3278721705426368,-0.27449999999999997,2019-04-29,603218.SHA,2019-04-26,19.101248771953504
2019-02-12,0.8586480898876403,0.3306480898876403,0.504,2019-02-11,300343.SZA,2019-02-01,14.8154010828239
2019-10-30,-0.04602920245398904,0.33497079754601095,-0.405,2019-10-29,002669.SZA,2019-10-26,29.847942463878564
2018-06-14,0.07872776735459781,0.33672776735459775,-0.282,2018-06-13,300410.SZA,2018-06-12,1.3560958789940845
2019-04-25,-0.08264136363636351,0.3403586363636365,-0.447,2019-04-24,002560.SZA,2019-04-23,18.646911548688916
2018-02-09,0.37114839549002454,0.3471483954900245,0.0,2018-02-08,600136.SHA,2018-02-07,-0.629119639791325
