,date,ndate,instrument,hymc,forecast,forecasttype,increasel,increaset,zfpx
29,2019-12-31,2019-11-29,688089.SHA,食品饮料,increase,略增,14.54,26.6,20.57
30,2019-12-31,2019-12-04,688268.SHA,化工行业,increase,略增,14.96,23.81,19.385
31,2019-12-31,2019-10-31,002465.SZA,通讯行业,increase,略增,15.0,35.0,25.0
32,2019-12-31,2019-10-29,002236.SZA,安防设备,increase,略增,15.0,30.0,22.5
33,2019-12-31,2019-10-24,002049.SZA,电子元件,increase,略增,15.0,45.0,30.0
34,2019-12-31,2019-10-23,002262.SZA,医药制造,increase,略增,15.0,35.0,25.0
35,2019-12-31,2019-11-12,688310.SHA,医疗行业,increase,略增,15.0,22.19,18.595
36,2019-12-31,2019-11-14,688258.SHA,软件服务,increase,略增,16.33,26.02,21.175
37,2019-12-31,2019-10-29,601658.SHA,银行,increase,略增,16.55,18.64,17.595
38,2019-12-31,2019-12-17,300811.SZA,电子元件,increase,略增,17.41,20.31,18.86
39,2019-12-31,2019-11-07,300564.SZA,工程建设,increase,略增,17.77,28.74,23.255
40,2019-12-31,2019-12-03,430662.SZA,nan,increase,略增,19.47,19.47,19.47
41,2019-12-31,2019-12-20,603890.SHA,电子信息,increase,略增,19.68,28.89,24.285
42,2019-12-31,2019-12-03,300809.SZA,机械行业,increase,略增,19.71,19.71,19.71
43,2019-12-31,2019-10-21,002967.SZA,综合行业,increase,略增,19.84,19.84,19.84
44,2019-12-31,2019-10-26,600510.SHA,工程建设,increase,略增,20.0,20.0,20.0
45,2019-12-31,2019-10-25,002191.SZA,包装材料,increase,略增,20.0,30.0,25.0
46,2019-12-31,2019-10-29,002539.SZA,化肥行业,increase,略增,20.0,50.0,35.0
47,2019-12-31,2019-10-30,603131.SHA,机械行业,increase,预增,21.25,75.13,48.19
48,2019-12-31,2019-11-05,300800.SZA,仪器仪表,increase,略增,21.75,32.82,27.285
49,2019-12-31,2019-11-04,688123.SHA,电子元件,increase,略增,22.18,37.95,30.065
50,2019-12-31,2019-10-31,688081.SHA,通讯行业,increase,略增,22.2,44.42,33.31
51,2019-12-31,2019-12-19,832651.SHA,nan,increase,略增,22.61,32.83,27.72
52,2019-12-31,2019-10-25,002963.SZA,工程建设,increase,略增,24.03,48.84,36.435
53,2019-12-31,2019-11-22,688039.SHA,软件服务,increase,略增,25.0,40.0,32.5
54,2019-12-31,2019-10-25,002821.SZA,医疗行业,increase,略增,25.0,40.0,32.5
55,2019-12-31,2019-09-26,831392.SHA,nan,increase,略增,25.01,25.01,25.01
56,2019-12-31,2019-12-18,300807.SZA,专用设备,increase,略增,25.01,25.01,25.01
57,2019-12-31,2019-12-23,300812.SZA,专用设备,increase,略增,25.46,37.73,31.595
58,2019-12-31,2019-12-16,002973.SZA,公用事业,increase,略增,27.31,27.31,27.31
59,2019-12-31,2019-10-23,002034.SZA,环保工程,increase,略增,27.33,37.12,32.225
60,2019-12-31,2019-12-27,300627.SZA,电子信息,increase,略增,28.39,37.9,33.145
61,2019-12-31,2019-10-24,000715.SZA,商业百货,increase,预增,29.58,80.53,55.055
62,2019-12-31,2019-10-29,002384.SZA,金属制品,increase,略增,30.0,50.0,40.0
63,2019-12-31,2019-12-25,002832.SZA,纺织服装,increase,略增,30.0,50.0,40.0
64,2019-12-31,2019-10-29,002303.SZA,包装材料,increase,略增,30.0,50.0,40.0
65,2019-12-31,2019-10-21,002244.SZA,房地产,increase,预增,30.0,60.0,45.0
66,2019-12-31,2019-10-25,002395.SZA,塑胶制品,increase,预增,30.0,80.0,55.0
67,2019-12-31,2019-10-31,002382.SZA,医疗行业,increase,预增,30.0,60.0,45.0
68,2019-12-31,2019-11-14,300091.SZA,机械行业,increase,略增,30.1,47.38,38.74
69,2019-12-31,2019-12-27,300773.SZA,软件服务,increase,略增,32.0,35.0,33.5
70,2019-12-31,2019-12-12,834779.SHA,nan,increase,略增,34.22,34.22,34.22
71,2019-12-31,2019-10-24,002241.SZA,电子元件,increase,预增,35.0,55.0,45.0
72,2019-12-31,2019-10-28,300799.SZA,电子信息,increase,预增,35.0,55.0,45.0
73,2019-12-31,2019-10-22,002398.SZA,工程建设,increase,预增,35.0,75.0,55.0
74,2019-12-31,2019-12-05,601366.SHA,商业百货,increase,略增,35.0,50.0,42.5
75,2019-12-31,2019-10-31,688178.SHA,环保工程,increase,预增,35.65,65.79,50.72
76,2019-12-31,2019-10-26,000411.SZA,医药制造,increase,预增,38.52,81.14,59.83
77,2019-12-31,2019-12-16,002970.SZA,电子信息,increase,略增,39.61,47.61,43.61
78,2019-12-31,2019-12-13,831450.SHA,nan,increase,略增,39.83,39.83,39.83
79,2019-12-31,2019-10-23,002683.SZA,化工行业,increase,预增,40.0,60.0,50.0
80,2019-12-31,2019-10-30,002578.SZA,有色金属,increase,预增,40.0,70.0,55.0
81,2019-12-31,2019-10-22,002609.SZA,电子信息,increase,预增,40.0,80.0,60.0
82,2019-12-31,2019-10-24,002278.SZA,机械行业,increase,预增,40.0,60.0,50.0
83,2019-12-31,2019-10-25,002020.SZA,医药制造,increase,略增,40.0,50.0,45.0
84,2019-12-31,2019-10-24,002335.SZA,输配电气,increase,预增,40.0,90.0,65.0
85,2019-12-31,2019-11-04,300806.SZA,材料行业,increase,预增,43.7,63.29,53.495
86,2019-12-31,2019-11-08,688399.SHA,医疗行业,increase,预增,43.89,61.19,52.54
87,2019-12-31,2019-10-26,002841.SZA,电子元件,increase,预增,45.0,70.0,57.5
88,2019-12-31,2019-10-22,002475.SZA,电子元件,increase,预增,45.0,55.0,50.0
89,2019-12-31,2019-10-30,002798.SZA,木业家具,increase,预增,45.0,55.0,50.0
90,2019-12-31,2019-10-30,000999.SZA,医药制造,increase,预增,47.34,57.11,52.225
91,2019-12-31,2019-10-25,002576.SZA,输配电气,increase,预增,48.71,98.02,73.365
92,2019-12-31,2019-10-29,603966.SHA,专用设备,increase,预增,50.0,,50.0
93,2019-12-31,2019-10-29,002414.SZA,安防设备,increase,预增,50.0,100.0,75.0
94,2019-12-31,2019-10-26,002669.SZA,材料行业,increase,预增,50.0,80.0,65.0
95,2019-12-31,2019-10-25,002028.SZA,输配电气,increase,预增,50.0,100.0,75.0
96,2019-12-31,2019-10-29,002734.SZA,农药兽药,increase,预增,50.0,70.0,60.0
97,2019-12-31,2019-10-29,002651.SZA,机械行业,increase,预增,50.0,80.0,65.0
98,2019-12-31,2019-10-31,600834.SHA,交运物流,increase,预增,50.0,,50.0
99,2019-12-31,2019-10-30,002364.SZA,输配电气,increase,预增,50.0,80.0,65.0
100,2019-12-31,2019-10-29,600020.SHA,高速公路,increase,预增,50.0,,50.0
101,2019-12-31,2019-10-29,000961.SZA,房地产,increase,预增,50.0,,50.0
102,2019-12-31,2019-10-31,000757.SZA,汽车行业,increase,预增,51.58,76.84,64.21
103,2019-12-31,2019-10-31,000710.SZA,医疗行业,increase,预增,52.93,64.12,58.525
104,2019-12-31,2019-10-25,830866.SHA,nan,increase,预增,54.36,79.54,66.95
105,2019-12-31,2019-12-30,300497.SZA,医药制造,increase,预增,55.0,75.0,65.0
106,2019-12-31,2019-10-25,603456.SHA,医药制造,increase,预增,55.0,80.0,67.5
107,2019-12-31,2019-10-26,000906.SZA,商业百货,increase,预增,56.9,76.91,66.905
108,2019-12-31,2019-10-24,002579.SZA,电子元件,increase,预增,59.4,83.92,71.66
109,2019-12-31,2019-12-23,300259.SZA,仪器仪表,increase,预增,60.0,90.0,75.0
110,2019-12-31,2019-10-31,002625.SZA,汽车行业,increase,预增,60.0,110.0,85.0
111,2019-12-31,2019-10-30,002318.SZA,钢铁行业,increase,预增,60.0,80.0,70.0
112,2019-12-31,2019-10-23,002226.SZA,化工行业,increase,预增,60.0,90.0,75.0
113,2019-12-31,2019-10-30,002616.SZA,家电行业,increase,预增,60.0,100.0,80.0
114,2019-12-31,2019-10-25,002809.SZA,化工行业,increase,预增,60.0,100.0,80.0
115,2019-12-31,2019-12-21,300360.SZA,仪器仪表,increase,预增,60.0,90.0,75.0
116,2019-12-31,2019-10-29,002801.SZA,机械行业,increase,预增,60.0,80.0,70.0
117,2019-12-31,2019-12-09,688078.SHA,软件服务,increase,预增,60.65,74.25,67.45
118,2019-12-31,2019-10-29,300130.SZA,电子信息,increase,预增,61.37,76.5,68.935
119,2019-12-31,2019-10-25,603429.SHA,造纸印刷,increase,预增,70.0,90.0,80.0
120,2019-12-31,2019-10-28,603227.SHA,化工行业,increase,预增,70.0,110.0,90.0
121,2019-12-31,2019-10-23,002628.SZA,工程建设,increase,预增,70.0,120.0,95.0
122,2019-12-31,2019-10-31,603308.SHA,专用设备,increase,预增,70.0,90.0,80.0
123,2019-12-31,2019-10-23,002351.SZA,电子信息,increase,预增,70.0,110.0,90.0
124,2019-12-31,2019-10-19,603333.SHA,输配电气,increase,预增,70.0,100.0,85.0
125,2019-12-31,2019-10-25,300715.SZA,水泥建材,increase,预增,70.0,100.0,85.0
126,2019-12-31,2019-10-30,002498.SZA,输配电气,increase,预增,71.66,116.83,94.245
127,2019-12-31,2019-12-30,430556.SZA,nan,increase,预增,72.0,108.0,90.0
