,date,ndate,instrument,hymc,forecast,forecasttype,increasel,increaset,zfpx
0,2018-03-31,2018-04-10,300042.SZA,电子信息,increase,略增,0.0,5.0,2.5
1,2018-03-31,2018-04-10,300466.SZA,仪器仪表,increase,略增,0.0,20.0,10.0
2,2018-03-31,2018-03-28,300429.SZA,化工行业,increase,略增,0.0,20.0,10.0
3,2018-03-31,2018-03-28,300421.SZA,金属制品,increase,略增,0.0,20.0,10.0
4,2018-03-31,2018-03-31,002762.SZA,纺织服装,increase,略增,0.0,20.0,10.0
5,2018-03-31,2018-03-30,300619.SZA,专用设备,increase,略增,0.0,15.0,7.5
6,2018-03-31,2018-03-28,002879.SZA,输配电气,increase,略增,0.0,30.0,15.0
7,2018-03-31,2018-03-23,300001.SZA,输配电气,increase,略增,0.0,10.0,5.0
8,2018-03-31,2018-04-10,300079.SZA,通讯行业,increase,略增,0.0,10.0,5.0
9,2018-03-31,2018-04-04,300740.SZA,化工行业,increase,略增,0.0,30.0,15.0
10,2018-03-31,2018-04-09,300667.SZA,仪器仪表,increase,略增,0.0,20.0,10.0
11,2018-03-31,2018-03-17,300453.SZA,医疗行业,increase,略增,0.0,15.0,7.5
12,2018-03-31,2018-04-10,300295.SZA,电子信息,increase,略增,0.0,30.0,15.0
13,2018-03-31,2018-03-30,300692.SZA,环保工程,increase,略增,0.0,30.0,15.0
14,2018-03-31,2018-04-09,300254.SZA,医药制造,increase,略增,0.0,20.0,10.0
15,2018-03-31,2018-04-10,300141.SZA,输配电气,increase,略增,0.0,10.0,5.0
16,2018-03-31,2018-04-09,300713.SZA,输配电气,increase,略增,0.0,15.0,7.5
17,2018-03-31,2018-04-10,300560.SZA,通讯行业,increase,略增,0.0,20.0,10.0
18,2018-03-31,2018-02-28,300413.SZA,文化传媒,increase,略增,0.0,30.0,15.0
19,2018-03-31,2018-04-09,300232.SZA,电子元件,increase,略增,0.0,20.0,10.0
20,2018-03-31,2018-03-29,002860.SZA,家电行业,increase,略增,0.0,10.0,5.0
21,2018-03-31,2018-03-31,002475.SZA,电子元件,increase,略增,0.0,20.0,10.0
22,2018-03-31,2018-04-10,300503.SZA,机械行业,increase,略增,0.0,20.0,10.0
23,2018-03-31,2018-04-09,300220.SZA,电子元件,increase,略增,0.0,30.0,15.0
24,2018-03-31,2018-03-29,300504.SZA,通讯行业,increase,略增,0.0,10.0,5.0
25,2018-03-31,2018-04-10,300737.SZA,水泥建材,increase,略增,0.0,20.0,10.0
26,2018-03-31,2018-04-09,300726.SZA,电子元件,increase,略增,0.0,30.0,15.0
27,2018-03-31,2018-04-09,300697.SZA,有色金属,increase,略增,0.0,10.0,5.0
28,2018-03-31,2018-03-24,300270.SZA,安防设备,increase,略增,0.0,30.0,15.0
29,2018-03-31,2018-03-26,300381.SZA,农牧饲渔,increase,略增,0.0,10.0,5.0
30,2018-03-31,2018-03-31,300147.SZA,医药制造,increase,略增,0.0,20.0,10.0
31,2018-03-31,2018-04-09,300017.SZA,软件服务,increase,略增,0.0,20.0,10.0
32,2018-03-31,2018-03-30,002151.SZA,电子信息,increase,略增,0.0,15.07,7.535
33,2018-03-31,2018-04-09,300720.SZA,机械行业,increase,略增,0.0,25.0,12.5
34,2018-03-31,2018-04-09,300294.SZA,医药制造,increase,略增,0.0,20.0,10.0
35,2018-03-31,2018-04-09,300326.SZA,医疗行业,increase,略增,0.0,30.0,15.0
36,2018-03-31,2018-04-09,300605.SZA,软件服务,increase,略增,0.0,30.0,15.0
37,2018-03-31,2018-04-09,300430.SZA,机械行业,increase,略增,0.0,20.0,10.0
38,2018-03-31,2018-04-09,300297.SZA,软件服务,increase,略增,0.0,30.0,15.0
39,2018-03-31,2018-03-27,002726.SZA,农牧饲渔,increase,略增,0.0,20.0,10.0
40,2018-03-31,2018-03-13,300681.SZA,机械行业,increase,略增,0.0,20.0,10.0
41,2018-03-31,2018-04-09,300447.SZA,输配电气,increase,略增,0.0,30.0,15.0
42,2018-03-31,2018-04-09,300418.SZA,文教休闲,increase,略增,0.0,20.0,10.0
43,2018-03-31,2018-04-04,300211.SZA,通讯行业,increase,略增,0.0,12.23,6.115
44,2018-03-31,2018-02-28,300741.SZA,食品饮料,increase,略增,0.0,13.5,6.75
45,2018-03-31,2018-04-09,300632.SZA,电子元件,increase,略增,0.0,15.0,7.5
46,2018-03-31,2018-04-04,300255.SZA,医药制造,increase,略增,0.0,10.0,5.0
47,2018-03-31,2018-04-10,300057.SZA,包装材料,increase,略增,0.0,20.0,10.0
48,2018-03-31,2018-02-28,300016.SZA,医药制造,increase,略增,0.0,15.0,7.5
49,2018-03-31,2018-03-31,002169.SZA,输配电气,increase,略增,0.0,30.0,15.0
50,2018-03-31,2018-03-30,002043.SZA,木业家具,increase,略增,0.0,30.0,15.0
51,2018-03-31,2018-04-10,300336.SZA,文化传媒,increase,略增,0.0,20.0,10.0
52,2018-03-31,2018-03-20,300563.SZA,电子元件,increase,略增,0.0,10.0,5.0
53,2018-03-31,2018-04-09,300424.SZA,航天航空,increase,略增,0.0,10.0,5.0
54,2018-03-31,2018-03-30,002335.SZA,输配电气,increase,略增,0.0,40.0,20.0
55,2018-03-31,2018-04-09,300187.SZA,环保工程,increase,略增,0.0,10.0,5.0
56,2018-03-31,2018-04-10,300049.SZA,医药制造,increase,略增,0.0,20.0,10.0
57,2018-03-31,2018-03-20,300178.SZA,旅游酒店,increase,略增,0.0,30.0,15.0
58,2018-03-31,2018-03-31,300259.SZA,仪器仪表,increase,略增,0.0,30.0,15.0
59,2018-03-31,2018-03-28,300127.SZA,电子元件,increase,略增,0.0,10.0,5.0
60,2018-03-31,2018-04-09,300390.SZA,电子元件,increase,略增,0.0,20.0,10.0
61,2018-03-31,2018-03-12,002649.SZA,软件服务,increase,略增,0.0,30.0,15.0
62,2018-03-31,2018-04-09,300638.SZA,通讯行业,increase,略增,0.0,10.0,5.0
63,2018-03-31,2018-04-02,300408.SZA,电子元件,increase,略增,0.0,10.0,5.0
64,2018-03-31,2018-03-31,002558.SZA,文教休闲,increase,略增,0.03,5.01,2.52
65,2018-03-31,2018-04-09,300664.SZA,环保工程,increase,略增,0.05,2.93,1.49
66,2018-03-31,2018-04-09,300417.SZA,仪器仪表,increase,略增,0.08,10.05,5.065
67,2018-03-31,2018-03-26,603773.SHA,电子元件,increase,略增,0.17,9.49,4.83
68,2018-03-31,2018-04-09,300651.SZA,文教休闲,increase,略增,0.18,5.19,2.685
69,2018-03-31,2018-02-07,603059.SHA,化工行业,increase,略增,0.33,10.42,5.375
70,2018-03-31,2018-03-13,002426.SZA,金属制品,increase,略增,0.36,26.32,13.34
71,2018-03-31,2018-03-27,300136.SZA,通讯行业,increase,略增,0.36,10.16,5.26
72,2018-03-31,2018-04-10,300053.SZA,安防设备,increase,略增,0.39,19.73,10.06
73,2018-03-31,2018-04-09,300676.SZA,医药制造,increase,略增,0.62,11.21,5.915
74,2018-03-31,2018-03-27,300593.SZA,机械行业,increase,略增,0.67,30.03,15.35
75,2018-03-31,2018-04-10,000723.SZA,煤炭采选,increase,略增,0.72,7.22,3.97
76,2018-03-31,2018-04-14,000402.SZA,房地产,increase,略增,1.0,5.0,3.0
